"Employers Who Were Issued a Negative Labour Market Impact Assessment (LMIA) by Program Stream, National Occupational Classification (NOC) 2011 and Business Location, January to March 2020",,,,,
Province/Territory,Program Stream,Employer ,Address ,Occupation ,Requested Positions
Ontario,    High Wage,SHISH MAHAL INDIAN CUISINE INC.,"MISSISSAUGA, L5L5S6",6322-Cooks,1
Ontario,    High Wage,Shyam and Shrinidhi Consulting Inc.,"Aurora, L4G0J3",2171-Information systems analysts and consultants,1
Ontario,    High Wage,Sinclair Name Badge Inc.,"Oakville, L6K3E5",0621-Retail and wholesale trade managers,1
Ontario,    High Wage,Skin and Bones Film Company,"TORONTO, M6J1H6",5221-Photographers,1
Ontario,    High Wage,"SOFT CITIZEN, INC","TORONTO, M5A2N4","5131-Producers, directors, choreographers and related occupations",1
Ontario,    High Wage,SRIMA CANADA INC,"TORONTO, M6K2J6","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
Ontario,    High Wage,Star School,"North York, M2J4T4",0125-Other business services managers,1
Ontario,    High Wage,Starlink Global Services Inc,"TORONTO, M5T1X5","0013-Senior managers - financial, communications and other business services",1
Ontario,    High Wage,Station Film Inc.,"Brooklyn, 11222","5131-Producers, directors, choreographers and related occupations",1
Ontario,    High Wage,Steam Films Inc.,"TORONTO, M5A2N4","5131-Producers, directors, choreographers and related occupations",1
Ontario,    High Wage,Summit SS Inc.,"Hamilton, L8N3W1","0014-Senior managers - health, education, social and community services and membership organizations",1
Ontario,    High Wage,Suneeva Ltd.,"Toronto, M5B2E7","5131-Producers, directors, choreographers and related occupations",1
Ontario,    High Wage,Sunnyside Auto Ltd.,"Markham, L3P7R4",7322-Motor vehicle body repairers,1
Ontario,    High Wage,Sunrise Beijing International Inc,"Richmond Hill, L4B3J6","1123-Professional occupations in advertising, marketing and public relations",1
Ontario,    High Wage,Sunwing Vacations Inc.,"Toronto, M9W1K6",1225-Purchasing agents and officers,1
Ontario,    High Wage,Technology One Limited,"Etobicoke, M9V3Y7",1221-Administrative officers,1
Ontario,    High Wage,Tru-Die Limited,"St. Thomas, N5P1Z5",2283-Information systems testing technicians,1
Ontario,    High Wage,Two Bay Enterprizes Limited,"Moosonee, P0L1Y0","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
Ontario,    High Wage,Urban Mechanical Contracting Ltd.,"Toronto, M9W5B2",7371-Crane operators,1
Ontario,    High Wage,Urgiles Brothers Excavating Inc.,"Toronto, M9L1Z8","7301-Contractors and supervisors, mechanic trades",1
Ontario,    High Wage,UTOI Management Consulting Inc.,"MARKHAM, L3R0N8","1123-Professional occupations in advertising, marketing and public relations",1
Ontario,    High Wage,visaforyou inc,"Vaughan, L4K0G7",4163-Business development officers and marketing researchers and consultants,1
Ontario,    High Wage,Vision Entertainment Inc,"TORONTO, M6A2A4","5131-Producers, directors, choreographers and related occupations",1
Ontario,    High Wage,Wise Decisions Financial Consulting Inc.,"Markham, L3P 1Z2","0013-Senior managers - financial, communications and other business services",1
Ontario,    High Wage,Woodcraft Inc.,"Markham, L3R1B9","0124-Advertising, marketing and public relations managers",1
Ontario,    High Wage,World Media Corp (Canada) Inc,"Oakville, L6H7L8",1221-Administrative officers,1
Ontario,    High Wage,XtremeEDA Corporation,"Ottawa, K1Y4R9",2147-Computer engineers (except software engineers and designers),1
Ontario,    High Wage,YEON-SUNG CHOI DENTISTRY PROFESSIONAL CORPORATION,"North York, M2M3V9",3411-Dental assistants,1
Ontario,    High Wage,Yes Study Education Group Inc.,"Toronto, M4P2C6","1211-Supervisors, general office and administrative support workers",1
Ontario,    High Wage,Zeba Enterprises Inc.,"Mississauga, L4Z1X3",1221-Administrative officers,1
Ontario,   Low Wage, 2389387 ONTARIO INC.,"Parry Sound, P2A1S3",6311-Food service supervisors,2
Ontario,   Low Wage,11002287 Canada Ltd,"Concord, L4K5W4",6322-Cooks,1
Ontario,   Low Wage,1143294 Ontario Inc,"BANCROFT, K0L1C0",6211-Retail sales supervisors,1
Ontario,   Low Wage,1299234 ONTARIO INC.,"Brampton, L6T5H8",6211-Retail sales supervisors,1
Ontario,   Low Wage,1299234 ONTARIO INC.,"Brampton, L6T5H8",6611-Cashiers,1
Ontario,   Low Wage,1472359 ONTARIO LIMITED,"Toronto, M2N7E7",4163-Business development officers and marketing researchers and consultants,1
Ontario,   Low Wage,1495075 ONTARIO INC.,"MISSISSAUGA, L5B4M6",6322-Cooks,1
Ontario,   Low Wage,1611565 Ontario Limited,"Toronto, M5V1M5",6513-Food and beverage servers,1
Ontario,   Low Wage,1635003 ONTARIO LIMITED,"HAMILTON, L8P1A7",6311-Food service supervisors,1
Ontario,   Low Wage,1707994 ontario inc,"TORONTO, M3J1Y6",1241-Administrative assistants,1
Ontario,   Low Wage,1743335 Ontario Inc,"Kitchener, N2E4E9",6311-Food service supervisors,1
Ontario,   Low Wage,1760625 Ontario Inc.,"RENFREW, K7V1Y3",6211-Retail sales supervisors,1
Ontario,   Low Wage,1819414 Ontario Inc.,"Toronto, M5C2V9",6321-Chefs,1
Ontario,   Low Wage,1839446 Ont Inc,"windsor, N8T3K7",2281-Computer network technicians,1
Ontario,   Low Wage,1904390 Ontario Inc.,"Brampton, L6T5K1",1311-Accounting technicians and bookkeepers,1
Ontario,   Low Wage,1940875 ONTARIO INC.,"EAST YORK, M4B1N9",6211-Retail sales supervisors,1
Ontario,   Low Wage,1950233 ONTARIO INC,"Mississauga, L4T1G3","9462-Industrial butchers and meat cutters, poultry preparers and related workers",2
Ontario,   Low Wage,1953022 ONTARIO INC.,"Toronto, M6E1B2",6311-Food service supervisors,1
Ontario,   Low Wage,1954631 Ontario Inc,"Kirkland Lake, P2N1X4",6211-Retail sales supervisors,1
Ontario,   Low Wage,1995143 ONTARIO INC.,"North York, M2M4J1",6311-Food service supervisors,1
Ontario,   Low Wage,1996298 Ontario Inc,"Guelph, N1H4H6",6321-Chefs,1
Ontario,   Low Wage,2073742 ontario inc,"Brampton, L6W3J7","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Ontario,   Low Wage,2073965 Ontatrio Inc.,"SCARBOROUGH, M1X1C9",6211-Retail sales supervisors,1
Ontario,   Low Wage,2110237 Ontario Inc.,"Etobicoke, M8W1P6","3223-Dental technologists, technicians and laboratory assistants",1
Ontario,   Low Wage,2124964 Ontario Inc,"Brampton, L6Y1N6",6211-Retail sales supervisors,1
Ontario,   Low Wage,2178404 Ontario Inc.,"Mississauga, L4T1H2",0114-Other administrative services managers,1
Ontario,   Low Wage,2204225 ONTARIO INC.,"MISSISSAUGA, L5N3K6",6311-Food service supervisors,1
Ontario,   Low Wage,2253488 Ontario Ltd.,"Fergus, N1M2W8",6411-Sales and account representatives - wholesale trade (non-technical),1
Ontario,   Low Wage,2264821 Ontario Inc,"Concord, L4K2M9",4214-Early childhood educators and assistants,1
Ontario,   Low Wage,2272825 Ontario Inc.,"Kingston, K7L4V3",6211-Retail sales supervisors,1
Ontario,   Low Wage,2285647 ONTARIO LIMITED,"Scarborough, M1S3V6",6211-Retail sales supervisors,1
Ontario,   Low Wage,2291830 Ontario Inc.,"Scarborough, M1S5M9",3237-Other technical occupations in therapy and assessment,1
Ontario,   Low Wage,2295788 Ontario Inc.,"Woodbridge, L4H0S5",6311-Food service supervisors,1
Ontario,   Low Wage,2329131 Ontario Inc,"Markham, L3R1E2",6211-Retail sales supervisors,1
Ontario,   Low Wage,2334872 Ontario Inc.,"Toronto, M6A2C1",6311-Food service supervisors,1
Ontario,   Low Wage,2360325 ONTARIO INC,"TORONTO, M1S4A4",4215-Instructors of persons with disabilities,1
Ontario,   Low Wage,2413061 Ontario INC.,"Woodstock, N4S3W1",0631-Restaurant and food service managers,1
Ontario,   Low Wage,2460759 Ontario Inc,"MISSISSAUGA, L5V0A6",6322-Cooks,2
Ontario,   Low Wage,2475797 Ontario Inc.,"Mississauga, L5T1B6",6322-Cooks,1
Ontario,   Low Wage,2476729 Ontario Ltd,"Brampton, L6Y0L8",6322-Cooks,1
Ontario,   Low Wage,2486133 Ontario Inc.,"Thornhill, L4J2L1",0631-Restaurant and food service managers,1
Ontario,   Low Wage,2493086 ONTARIO INC.,"Brampton,, L6R3P4",6311-Food service supervisors,1
Ontario,   Low Wage,2525528 ONTARIO LTD,"Georgetown, L7G4S8",7441-Residential and commercial installers and servicers,1
Ontario,   Low Wage,2549090 ONTARIO INC.,"WINDSOR, N9A4M7",6321-Chefs,1
Ontario,   Low Wage,2582186 Ontario Ltd,"Toronto, M4N2L2",6322-Cooks,1
Ontario,   Low Wage,2591825 Ontario Inc.,"BRAMPTON, L6R2K7",6322-Cooks,4
Ontario,   Low Wage,2700647 Ontario Inc.,"Kingston, K7M3E9",6322-Cooks,1
Ontario,   Low Wage,6910793 Canada Inc,"Woodbridge, L4L8B7",6311-Food service supervisors,1
Ontario,   Low Wage,9471928 Canada Inc.,"North York, M2J5A7",6211-Retail sales supervisors,1
Ontario,   Low Wage,9710051 Canada Limited,"Englehart, P0J1H0",0631-Restaurant and food service managers,1
Ontario,   Low Wage,9971343 Canada Inc.,"Ottawa, K2G3J8",0631-Restaurant and food service managers,1
Ontario,   Low Wage,9983708 Canada Inc.,"Barrie, L4M1A6","6711-Food counter attendants, kitchen helpers and related support occupations",1
Ontario,   Low Wage,9984755 Canada Inc.,"Orillia, L3V5W9",6311-Food service supervisors,2
Ontario,   Low Wage,Aakriti threading & wax bar Inc,"Toronto, M6H1M5",6211-Retail sales supervisors,1
Ontario,   Low Wage,Airsorted (Canada) Limited,"Toronto, M5V1V6","6733-Janitors, caretakers and building superintendents",1
Ontario,   Low Wage,All Season Fencing Ltd.,"Toronto, M3J2J4",7441-Residential and commercial installers and servicers,1
Ontario,   Low Wage,Alsamee foods inc,"TORONTO, M3N2K1",6311-Food service supervisors,1
Ontario,   Low Wage,Barco Materials Handling Ltd.,"PUSLINCH, N0B2J0",9533-Other wood products assemblers and inspectors,13
Ontario,   Low Wage,BEAVER TRANSPORTATION INC.,"BRAMPTON, L6T5J4",1311-Accounting technicians and bookkeepers,1
Ontario,   Low Wage,Blooming Light Inc.,"Richmond Hill, L3T7T1",6211-Retail sales supervisors,1
Ontario,   Low Wage,Burlington Paving Company Limited,"Burlington, L7T1H6",7521-Heavy equipment operators (except crane),1
Ontario,   Low Wage,Cafenucci foods Inc.,"TORONTO, M3M1A2",6321-Chefs,2
Ontario,   Low Wage,Canadian Property Maintenance Inc.,"Mississauga, L5M6W9",1241-Administrative assistants,1
Ontario,   Low Wage,Canadian Property Maintenance Inc.,"Mississauga, L5M6W9",1311-Accounting technicians and bookkeepers,1
Ontario,   Low Wage,CANBE FOODS INC.,"Scarborough, M1P2N9",6311-Food service supervisors,1
Ontario,   Low Wage,CANBE FOODS INC.,"Scarborough, M1P2N9",6321-Chefs,1
Ontario,   Low Wage,ChimneyFusion Inc,"Mississauga, L5W1Z3",6321-Chefs,1
Ontario,   Low Wage,Conforti Holdings Ltd.,"Markham, L3R0N3",6341-Hairstylists and barbers,1
Ontario,   Low Wage,Crayatt Corp,"Oshawa, L1G6L5",6731-Light duty cleaners,1
Ontario,   Low Wage,Daily Seafood Inc,"Toronto, M4J3E2","9213-Supervisors, food, beverage and associated products processing",1
Ontario,   Low Wage,DHANOA GROUP LTD.,"Mississauga, L4W1C2",6311-Food service supervisors,1
Ontario,   Low Wage,DIGI Technologies International Inc.,"Mississauga, L4W1E4","1211-Supervisors, general office and administrative support workers",1
Ontario,   Low Wage,DIGI Technologies International Inc.,"Mississauga, L4W1E4",1225-Purchasing agents and officers,1
Ontario,   Low Wage,Dolte Foods Inc,"Burlington, L7M0V7",6322-Cooks,1
Ontario,   Low Wage,Dominion Farm Produce Ltd.,"Bradford, L3Z3G9","9617-Labourers in food, beverage and associated products processing",3
Ontario,   Low Wage,DONALD COUSENS CHILDREN'S CENTRE,"MARKHAM, L6E1T5",4214-Early childhood educators and assistants,1
Ontario,   Low Wage,Down Under Bedding & Linen Center LTD,"Mississauga, L4W1E3",6211-Retail sales supervisors,1
Ontario,   Low Wage,Dragon Express Inc.,"Napanee, K7R3K6",6321-Chefs,1
Ontario,   Low Wage,Dundas.B&W Corporation,"Toronto, M6K1T5",6322-Cooks,1
Ontario,   Low Wage,Ecounion International Ltd.,"Brantford, N3S3P7",6211-Retail sales supervisors,1
Ontario,   Low Wage,Giant Leap Childcare Incorporated,"Brampton, L6P3A3",4214-Early childhood educators and assistants,1
Ontario,   Low Wage,Glam Art Ltd.,"Markham, L3R4M9","6562-Estheticians, electrologists and related occupations",1
Ontario,   Low Wage,Grey Matlock Bakery Inc.,"Brampton, L6W3G6",6332-Bakers,4
Ontario,   Low Wage,Har-Paul holdings inc,"Thunder Bay, P7E5R7",6311-Food service supervisors,1
Ontario,   Low Wage,Heughes Canada Inc,"Toronto, M3H5T5","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
Ontario,   Low Wage,Hupup Inc.,"Mississauga, L5V3B7",6311-Food service supervisors,1
Ontario,   Low Wage,Indaba Hair Studio Inc.,"Georgetown, L7G4S5",6341-Hairstylists and barbers,1
Ontario,   Low Wage,Industrial Floor Systems Corp,"Barrie, L4N9A5",7282-Concrete finishers,2
Ontario,   Low Wage,JIYA ENTERPRISE INC,"RUSSELL, K4R1C8",6211-Retail sales supervisors,1
Ontario,   Low Wage,JIYA ENTERPRISE INC,"RUSSELL, K4R1C8",6311-Food service supervisors,1
Ontario,   Low Wage,JohnJules Management Ltd.,"Hamilton, L8N2R2","3413-Nurse aides, orderlies and patient service associates",1
Ontario,   Low Wage,Julia Carey Racing Stable Inc.,"Mississauga, L5E1Y5",6563-Pet groomers and animal care workers,1
Ontario,   Low Wage,KOTHUR INC,"TORONTO, M4Y1Z9",6322-Cooks,2
Ontario,   Low Wage,Kwant Enterprises,"Mississauga, L6M7L9",6311-Food service supervisors,1
Ontario,   Low Wage,Leasehold Tenant Improvements Inc.,"Vaughan, L4K3R3",7294-Painters and decorators (except interior decorators),1
Ontario,   Low Wage,Lucky Day Nursery Inc,"Hamilton, L8H4V5",4214-Early childhood educators and assistants,1
Ontario,   Low Wage,Madhav Inc.,"Brockville, K6V3H2",1431-Accounting and related clerks,1
Ontario,   Low Wage,Maillette Holdings Inc,"Cambridge, N3C4N6",6211-Retail sales supervisors,2
Ontario,   Low Wage,MALOWAL FREIGHTS LTD,"BRAMPTON, L7A2A7",7511-Transport truck drivers,1
Ontario,   Low Wage,Microdea Inc,"Markham, L6G0B5",2282-User support technicians,1
Ontario,   Low Wage,N Bar Inc,"toronto, M5V0J8","6562-Estheticians, electrologists and related occupations",2
Ontario,   Low Wage,Niagara Skydive Centre Inc.,"Pelham, L3B5N6","5254-Program leaders and instructors in recreation, sport and fitness",3
Ontario,   Low Wage,Ompriya Food Corporation,"Port Perry, L9L1B5",6311-Food service supervisors,1
Ontario,   Low Wage,Ontario Bakery Supplies Limited,"Downsview, M3N1V9",6332-Bakers,1
Ontario,   Low Wage,OSMOW'S INC.,"Mississauga, L4Z1P1",6322-Cooks,1
Ontario,   Low Wage,PJ RESTAURANT,"ARNPRIOR, K7S3H2",6322-Cooks,2
Ontario,   Low Wage,PM-International Nutrition & Cosmetics Canada Inc.,"Mississauga, L5L5Z8",6552-Other customer and information services representatives,1
Ontario,   Low Wage,PRP PIZZA INC,"Mississauga, L5N4C4",0621-Retail and wholesale trade managers,1
Ontario,   Low Wage,Pumpernickels c/o Ontario Ltd 2394069,"Mississauga, L5M2N1",6322-Cooks,2
Ontario,   Low Wage,RAR RESTAURANTS 1 INC.,"Brampton, L6V4K2",6311-Food service supervisors,1
Ontario,   Low Wage,Ristogest Limited,"Toronto, M6J1V2",6311-Food service supervisors,1
Ontario,   Low Wage,Rose Bakery & Cafe Inc,"Mississauga, L5C1C3",6332-Bakers,1
Ontario,   Low Wage,Sahaj inc,"Burlington, L7L0G3",6311-Food service supervisors,2
Ontario,   Low Wage,Sahiba Inc.,"Brampton, L6Y2X8",6211-Retail sales supervisors,1
Ontario,   Low Wage,SAI SHAKTI INC,"WOODBRIDGE, L4H0A2",0631-Restaurant and food service managers,1
Ontario,   Low Wage,SARTREX POWER CONTROL SYSTEMS INC.,"Concord, L4K2K1",2133-Electrical and electronics engineers,1
Ontario,   Low Wage,Shahab Uddin Inc.,"Mississauga, L5N0G5",1223-Human resources and recruitment officers,1
Ontario,   Low Wage,Shriji Catering & Takeout Services Inc.,"Brampton, L6T5E2",6311-Food service supervisors,1
Ontario,   Low Wage,Sign House Inc,"North York, M2M3C1",5223-Graphic arts technicians,1
Ontario,   Low Wage,SSRP Telecom Inc.,"Brampton, L6P2K9",6221-Technical sales specialists - wholesale trade,1
Ontario,   Low Wage,Superior Door & Gate Systems Ltd.,"Mississauga, L4W1G6",7441-Residential and commercial installers and servicers,1
Ontario,   Low Wage,TAAB CLEANING INC,"Toronto, M4K3W1",6731-Light duty cleaners,2
Ontario,   Low Wage,Tara Indian Cuisine Ltd,"Barrie, L4M1A4",6321-Chefs,1
Ontario,   Low Wage,TEMPTATION NAILS AND BEYOND LTD.,"London, N6H5L7","6562-Estheticians, electrologists and related occupations",1
Ontario,   Low Wage,Thai Lanna Cuisine,"Ottawa, K1V8R9",6322-Cooks,1
Ontario,   Low Wage,The Food Dudes Inc.,"Toronto, M4M2R7",1226-Conference and event planners,2
Ontario,   Low Wage,tokyo kitchen limited,"toronto, M4Y1T1",6322-Cooks,1
Ontario,   Low Wage,Top Choice Electronics Inc.,"Woodbridge, ON, L4L8C2",1241-Administrative assistants,1
Ontario,   Low Wage,Transam Carriers Inc.,"Concord, L4K1P6","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
Ontario,   Low Wage,Yarmouth Physio Therapy Inc.,"Toronto, M8X2X2",3144-Other professional occupations in therapy and assessment,1
Ontario,  Primary Agriculture,2317945 Ontario Inc.,"Madoc, K0K2K0",8431-General farm workers,12
Ontario,  Primary Agriculture,A.G.DICK & SONS LIMITED,"Ruthven, N0P2G0","8255-Contractors and supervisors, landscaping, grounds maintenance and horticulture services",1
Ontario,  Primary Agriculture,A.G.DICK & SONS LIMITED,"Ruthven, N0P2G0",8432-Nursery and greenhouse workers,1
Ontario,  Primary Agriculture,Aphria Inc,"LEAMINGTON, N8H1N8",8432-Nursery and greenhouse workers,55
Ontario,  Primary Agriculture,Hundt Farms Incorporated,"Seaforth, N0K1W0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,Kent Farm Supplies Limited,"Blenheim, N0P1A0",8431-General farm workers,2
Ontario,  Primary Agriculture,Manderley Turf Products Inc.,"Ottawa, K2E7S6","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",4
Ontario,  Primary Agriculture,Ontario Mushroom Farms Inc.,"Ashburn, L0B1A0",8431-General farm workers,12
Ontario,  Primary Agriculture,Peeters Mushrooms Inc.,"Blenheim, N0P1A0",8431-General farm workers,10
Ontario,  Primary Agriculture,Sitko Farms Inc.,"wilsonville, N0E1Z0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,Urban Crops Inc.,"Schomberg, L0G1T0",8431-General farm workers,1
Ontario, Global Talent Stream,Cloud SynApps Inc.,"Oakville, L6M3L8",2171-Information systems analysts and consultants,1
Ontario, Global Talent Stream,iceFree Driveways Limited,"Newmarket, L3X1R5","0016-Senior managers - construction, transportation, production and utilities",1
Manitoba,    High Wage,A@W Flooring Inc,"West St Paul, R4A1C5",7295-Floor covering installers,2
Manitoba,    High Wage,Continental Travel Group Ltd.,"Winnipeg, R3G0V7",6531-Tour and travel guides,1
Manitoba,    High Wage,DREAMLINER TRUCKING LTD.,"THOMPSON, R8N0W2",7511-Transport truck drivers,1
Manitoba,    High Wage,Euromart Enterprises,"Winnipeg, R2V4P6","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Manitoba,    High Wage,Gpex Transport Inc,"RM of St. Andrews, R1A3P2",7511-Transport truck drivers,10
Manitoba,    High Wage,PTS Pritchard Transport Service Ltd.,"Winnipeg, R3W0C1",7511-Transport truck drivers,4
Manitoba,    High Wage,Speedy Singh Logistics Inc.,"Oakbank, R0E1J0",1221-Administrative officers,1
Manitoba,   Low Wage,5614547 MANITOBA LTD.,"Gimli, R0C1B0",6322-Cooks,1
Manitoba,   Low Wage,7107404 Manitoba Ltd,"Ashern, R0C0E0",6211-Retail sales supervisors,1
Manitoba,   Low Wage,7151382 Manitoba Limited,"Winnipeg, R3G0W4",6211-Retail sales supervisors,1
Manitoba,   Low Wage,Amethyst Stores Ltd,"Elkhorn, R0M0N0",6611-Cashiers,4
Manitoba,   Low Wage,Punjab Banquet Hall & Restaurant Ltd,"Winnipeg, R2P1V8",6322-Cooks,3
Manitoba,   Low Wage,RAZIA AND FATIMA ENTERPRISES LTD.,"Thompson, R8N0C7",6316-Other services supervisors,1
Manitoba,  Primary Agriculture,Destiny Road Inc.,"Gunton, R0C1H0",8431-General farm workers,3
Manitoba,  Primary Agriculture,Dufferin Market Gardens Ltd.,"Carman, R0G0J0",8431-General farm workers,4
Manitoba,  Primary Agriculture,Kroeker Farms Limited,"Winkler, R6W0K7",8611-Harvesting labourers,6
Saskatchewan,    High Wage,SOUTH POLE TRANSPORT INC.,"saskatoon, S7L5X5",1241-Administrative assistants,1
Saskatchewan,   Low Wage,101285982 Saskatchewan Ltd,"Saskatoon, SK, S7K0W1",0621-Retail and wholesale trade managers,1
Saskatchewan,   Low Wage,102020961 Saskatchewan Corporation,"Wakaw, S0K4P0",6211-Retail sales supervisors,1
Saskatchewan,   Low Wage,102024982 SASKATCHEWAN LTD.,"WARMAN, S0K4S1",0631-Restaurant and food service managers,1
Saskatchewan,   Low Wage,Lina Kwon’s Hair Salon,"Saskatoon, S7K7A9",6341-Hairstylists and barbers,1
Saskatchewan,   Low Wage,Poncho's Pub and Grill,"Whitewood, S0G5C0",6513-Food and beverage servers,1
Saskatchewan,   Low Wage,RAM PAINTING LTD,"Saskatoon, S7K1W4",7294-Painters and decorators (except interior decorators),1
Saskatchewan,   Low Wage,Real Good Oil Enterprises Ltd.,"Cochin, S0M0L0",6211-Retail sales supervisors,1
Saskatchewan,   Low Wage,SKYWAY BRANDS REGINA INC.,"REGINA, S4W1B3",6311-Food service supervisors,1
Alberta,    High Wage,1143201 AB LTD,"Edmonton, T5Y0L5",7511-Transport truck drivers,2
Alberta,    High Wage,1520879 Alberta Ltd. o/a Rowena Consulting,"CALGARY, T2G4X6",2171-Information systems analysts and consultants,1
Alberta,    High Wage,1667134 ALBERTA LTD,"Fort Mcmurray, T9H1W5",0621-Retail and wholesale trade managers,1
Alberta,    High Wage,1765952 ALBERTA LTD,"CALGARY, T2H2K6",0711-Construction managers,1
Alberta,    High Wage,2132408 ALBERTA LTD.,"Edmonton, T5C3E1","6711-Food counter attendants, kitchen helpers and related support occupations",2
Alberta,    High Wage,2156243 Alberta Ltd.,"CALGARY, T1Y5V2",0631-Restaurant and food service managers,1
Alberta,    High Wage,4HR DELIVERY INC,"Sherwood Park, T8A6K9",1311-Accounting technicians and bookkeepers,1
Alberta,    High Wage,898562 Alberta Ltd.,"Edmonton, T5M4C9",1311-Accounting technicians and bookkeepers,1
Alberta,    High Wage,A CLASS TRUCK & TRAILER  REPAIR LTD,"calgary, T2C5A1",1522-Storekeepers and partspersons,1
Alberta,    High Wage,AC Capital Inc,"Calgary AB, T2P1X5",1122-Professional occupations in business management consulting,1
Alberta,    High Wage,AKAL DRYWALL & CONTRACTING LTD.,"EDMONTON, T6T0A3",7611-Construction trades helpers and labourers,2
Alberta,    High Wage,Alberta Exteriors Ltd,"EDMONTON, T5T2E3",7441-Residential and commercial installers and servicers,2
Alberta,    High Wage,AM& M RIAR LTD.,"EDMONTON, T6L5S5",7237-Welders and related machine operators,1
Alberta,    High Wage,AMAR ENTERPRISES LTD.,"Edmonton, T6T0H5",1311-Accounting technicians and bookkeepers,1
Alberta,    High Wage,Amar Trucking Ltd,"Edmonton, T6T0H5","7305-Supervisors, motor transport and other ground transit operators",1
Alberta,    High Wage,Bansal's Transport Ltd,"Calgary, T3J0E9",7511-Transport truck drivers,2
Alberta,    High Wage,Belterra Corporation,"Edmonton, T5V0A5",7311-Construction millwrights and industrial mechanics,1
Alberta,    High Wage,Belterra Corporation,"Edmonton, T5V0A5",9432-Pulp mill machine operators,4
Alberta,    High Wage,City Carpentry LTD,"Edmonton, T6T0Z6",7271-Carpenters,1
Alberta,    High Wage,Designers Touch Building Products Inc.,"Calgary, T2E6M2",6221-Technical sales specialists - wholesale trade,1
Alberta,    High Wage,Frontech Solutions Inc.,"Edmonton, T6N1J1",2173-Software engineers and designers,1
Alberta,    High Wage,Galimax Trading Inc.,"Nobleford, T0L1S0","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Alberta,    High Wage,Grand Matrix Consulting Inc.,"Edmonton, T6R0T8",7246-Telecommunications installation and repair workers,1
Alberta,    High Wage,Honeywell Custom Homes Inc.,"Calgary, T3J5H3",1411-General office support workers,1
Alberta,    High Wage,ICON KITCHEN CABINETS LTD,"CALGARY, T3J4N4",1241-Administrative assistants,1
Alberta,    High Wage,J Punni Trucking Ltd.,"EDMONTON, T6X0R4",7511-Transport truck drivers,3
Alberta,    High Wage,Jinnuojiayin Culture and Development (Canada) Ltd.,"Calgary, T2E7W6",0213-Computer and information systems managers,1
Alberta,    High Wage,K & G BUILDING MAINTENANCE SERVICES (KULWANT CHANA),"CALGARY, T3J4Y3",6315-Cleaning supervisors,1
Alberta,    High Wage,Lou Desmarais Enterprises Ltd.,"Calgary, T2E4B5",7271-Carpenters,1
Alberta,    High Wage,MacDougal Transport Inc.,"Edmonton, T6B2V5",7511-Transport truck drivers,10
Alberta,    High Wage,MAND TRUCKING LTD.,"EDMONTON, T6T2C4",7511-Transport truck drivers,1
Alberta,    High Wage,Margaux Resources Ltd.,"Calgary, T2P3S2","0013-Senior managers - financial, communications and other business services",1
Alberta,    High Wage,New Western Motors Ltd.,"Calgary, T2E2N3",0621-Retail and wholesale trade managers,1
Alberta,    High Wage,PB Finance Consulting Ltd,"Calgary, T2E8W7",0125-Other business services managers,1
Alberta,    High Wage,Popov L&N Transport Ltd.,"EDmonton, T5Y0L7",7511-Transport truck drivers,1
Alberta,    High Wage,RAE Engineering and Inspection Ltd.,"Edmonton, T6E5M4",2261-Non-destructive testers and inspection technicians,1
Alberta,    High Wage,SAVE Emergency Hospital,"Okotoks, T1S1A6",3114-Veterinarians,1
Alberta,    High Wage,Sidhu and Sons Trucking LTD,"Edmonton, T5Y3H7",7511-Transport truck drivers,2
Alberta,    High Wage,Sidhu Truck Repairs Ltd.,"Edmonton, T5Y3H7","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",2
Alberta,    High Wage,SJJS Techno Services Ltd,"Edmonton, T5Z3L2",1221-Administrative officers,1
Alberta,    High Wage,SLK Transport Ltd.,"Edmonton, T6L6S1",7511-Transport truck drivers,8
Alberta,    High Wage,Standard Roofing & Exteriors Ltd.,"Grande Prairie, T8V2R8",7291-Roofers and shinglers,2
Alberta,    High Wage,Sunflower Developments Inc.,"CARDSTON, T0K0K0",1311-Accounting technicians and bookkeepers,1
Alberta,    High Wage,Sungrace Transport Ltd.,"Calgary, T2B1N4",1525-Dispatchers,1
Alberta,    High Wage,Techni-Craft Equipment Services Limited,"Albert, T8N4A4",7313-Refrigeration and air conditioning mechanics,1
Alberta,    High Wage,United Roofing Inc.,"Calgary, T2G3K5",7291-Roofers and shinglers,3
Alberta,    High Wage,West Central Contracting Ltd.,"Hinton, T7V2G3","7302-Contractors and supervisors, heavy equipment operator crews",1
Alberta,   Low Wage, NELSON LUMBER COMPANY LTD,"Acheson, T7X6N5","9227-Supervisors, other products manufacturing and assembly",1
