"Employers who were issued a positive Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and business location in 2018 (July-September)",,,,, 
Province/Territory,Stream,Employer,Address,Occupations under NOC 2011,Approved Positions 
,,Val des Rosacées senc,"Mirabel, QC J7N 2P7",8431-General farm workers,3
,,Verger Caron Inc.,"Frelighsburg, QC J0J 1C0",8431-General farm workers,86
,,Verger Coeur De Pommes senc,"Oka, QC J0N 1E0",8431-General farm workers,4
,,Verger des Bois-Francs inc.,"Princeville, QC G6L 4K6",8431-General farm workers,61
,,Verger et Serres St-Paul senc,"St-Paul-d'Abbotsford, QC J0E 1A0",8431-General farm workers,20
,,Verger Henryville senc.,"Henryville, QC J0J 1E0",8431-General farm workers,1
,,Verger Jodoin & frères inc,"St-Jean-Baptiste, QC J0L 2B0",8431-General farm workers,107
,,Verger Larivière SENC,"ST-THÉODORE-D'ACTON, QC J0H 1Z0",8431-General farm workers,3
,,Verger Messier SENC,"SAINT-JEAN-DE-ROUVILLE, QC J0L 2B0",8431-General farm workers,5
,,Verger Pierre Tremblay et fils inc,"Mont St-Grégoire, QC J0J 1K0",8431-General farm workers,4
,,Verger R et J Bouchard Inc.,"Saint-Paul-d'Abbotsford, QC J0E 1A0",8431-General farm workers,5
,,Verger RC Guertin (2011) inc.,"Saint-Paul-d'Abbotsford, QC J0E 1A0",8431-General farm workers,17
,,Verger Thomson Inc.,"Saint-Paul d'Abbotsford, QC J0E 1A0",8431-General farm workers,123
,,Verger Yvan Duchesne inc.,"Mont St-Grégoire, QC J0J 1K0",8431-General farm workers,2
,,Vergers & Jardins Caouette SENC,"St-Eugène de l'Islet, QC G0R 1X0",8431-General farm workers,5
,,Vergers DM Boileau Inc.,"Havelock, QC J0S 2C0",8431-General farm workers,15
,,Vergers du Lac SENC,"St-Joseph-du-Lac, QC J0N 1M0",8431-General farm workers,1
,,Vergers Paul Jodoin Inc.,"St-Jean-Baptiste, QC J0L 2B0",8431-General farm workers,18
,,Vergers Stevenson inc.,"Franklin, QC J0S 1E0",8431-General farm workers,7
,,Vert Nature Inc.,"Sherrington, QC J0L 2N0",8431-General farm workers,19
,,Vignoble Camy inc.,"SAINT-BERNARD-DE-LACOLLE, QC J0J 1V0",8431-General farm workers,2
,,Vivaces Marie Michel Inc.,"St-Constant, QC J5A 2E7",8432-Nursery and greenhouse workers,3
, Global Talent Stream,Adnia Conseils inc.,"QUÉBEC, QC G1N 4G2",2174-Computer programmers and interactive media developers,1
,,Algolux inc,"Montréal, QC H3K 1G6",2173-Software engineers and designers,1
,,,,2174-Computer programmers and interactive media developers,1
,,Alten Canada inc.,"MONTRÉAL, QC H3B 4N4",2171-Information systems analysts and consultants,1
,,,,2174-Computer programmers and interactive media developers,2
,,Animation Squeeze Studio Inc,"Québec, QC G1K 3J3","5131-Producers, directors, choreographers and related occupations",1
,,,,5241-Graphic designers and illustrators,1
,,Atelier A.H.R. Inc,"Brossard, QC J4Y 2R2",0601-Corporate sales managers,1
,,Atomic Fiction Canada Inc.,"Montréal, QC H3A 2J5",5241-Graphic designers and illustrators,7
,,Autodesk Canada Co.,"Montreal, QC H3C 2L7",2173-Software engineers and designers,1
,,,,2174-Computer programmers and interactive media developers,1
,,Banque de développement du Canada,"Montréal, QC H3B 5E7",2173-Software engineers and designers,2
,,Beyond Technologies Consulting Inc./Solutions Beyond Technologies Inc.,"MONTRÉAL, QC H3C 2M1",2174-Computer programmers and interactive media developers,1
,,Bombardier Inc.,"Montréal, QC H3B 1Y8",0211-Engineering managers,1
,,CGI Information Systems and Management Consultants Inc,"Montreal, QC H3G 1T4",2174-Computer programmers and interactive media developers,1
,,CIAO technologies Inc.,"QUÉBEC, QC G1W 2R2",2171-Information systems analysts and consultants,1
,,,,2174-Computer programmers and interactive media developers,2
,,Cinesite Inc.,"MONTRÉAL, QC H2Y 0A3",2173-Software engineers and designers,2
,,,,"5131-Producers, directors, choreographers and related occupations",1
,,,,5241-Graphic designers and illustrators,7
,,Cofomo Développement Inc.,"Montréal, QC H3B 4W5",2174-Computer programmers and interactive media developers,3
,,Communications Imago Inc.,"SAINTE-MARIE, QC G6E 4E8",2175-Web designers and developers,1
,,Compulsion Games inc.,"Montreal, QC H4C 2Z6",2174-Computer programmers and interactive media developers,1
,,,,5241-Graphic designers and illustrators,1
,,Conseil Zenika inc,"Montréal, QC H3B 2E3",2174-Computer programmers and interactive media developers,1
,,CONSEILLERS EN GESTION ET INFORMATIQUE CGI INC,"Montreal, QC H3G 1T4",0213-Computer and information systems managers,6
,,,,2171-Information systems analysts and consultants,12
,,,,2172-Database analysts and data administrators,1
,,,,2174-Computer programmers and interactive media developers,31
,,Copap Inc,"POINTE-CLAIRE, QC H9R 5M9","0013-Senior managers - financial, communications and other business services",1
,,CS Communication & Systemes Canada Inc.,"St-Laurent, QC H4R 2N1",2173-Software engineers and designers,2
,,Davidson Canada inc.,"Montréal, QC H3B 2E3",2174-Computer programmers and interactive media developers,1
,,Divertissements Gameloft Inc.,"Montréal, QC H2R 2Z5",0213-Computer and information systems managers,1
,,Element AI Inc.,"Montréal, QC H2W 2R2",2171-Information systems analysts and consultants,1
,,,,2174-Computer programmers and interactive media developers,1
,,Excelitas Canada Inc.,"Vaudreuil-Dorion, QC J7V 8P7",0213-Computer and information systems managers,1
,,Fluent.ai Inc.,"Montréal, QC H3G 2E3",2173-Software engineers and designers,1
,,Geotic inc,"VAL D'OR, QC J9P 4P5",2174-Computer programmers and interactive media developers,1
,,Giro Inc. (Le groupe en informatique et recherche opérationnelle),"Montreal, QC H3L 3T1",2174-Computer programmers and interactive media developers,3
,,GradeSlam inc.,"MONTREAL, QC H3Y 1Y1",2172-Database analysts and data administrators,1
,,Groupe Alithya Inc,"Montréal, QC H3B 5M2",2171-Information systems analysts and consultants,1
,,,,2172-Database analysts and data administrators,1
,,,,2174-Computer programmers and interactive media developers,4
,,Groupe Atallah inc.,"Montréal, QC H2N 2E7",2173-Software engineers and designers,1
,,,,2175-Web designers and developers,1
,,Groupe Conseil ERA,"Ile Des Soeurs, QC H3E 1J4",2171-Information systems analysts and consultants,4
,,Groupe Conseil Fxinnovation Inc.,"MONTRÉAL, QC H3A 1L4",2173-Software engineers and designers,2
,,Groupe Nexio Inc.,"Montréal, QC H3A 2J5",2174-Computer programmers and interactive media developers,1
,,Groupe Progima Inc.,"MONTRÉAL, QC H3M 3B2",0211-Engineering managers,1
,,Hybride Technologies Inc.,"Piedmont, QC J0R 1K0",5241-Graphic designers and illustrators,2
,,IDEKA SERVICES CONSEILS INC.,"BLAINVILLE, QC J7C 4Y1",2174-Computer programmers and interactive media developers,1
,,Iron Ore Company Of Canada,"MONTREAL, QC H3B 0E3",2171-Information systems analysts and consultants,1
,,Jive Communications Technology Canada Ltd,"Québec, QC G1K 8G3",2173-Software engineers and designers,1
,,,,2174-Computer programmers and interactive media developers,1
,,KS2 Corp Inc.,"MONTRÉAL, QC H4C 2S6",2173-Software engineers and designers,1
,,La Capitale assureur de l'administration publique Inc,"QUÉBEC, QC G1R 2G5",2174-Computer programmers and interactive media developers,1
,,Laboratoire MarketMuse Canada Inc.,"Montréal, QC H3B 2E3",2173-Software engineers and designers,1
,,Laboratoires Charles River Montreal,"Senneville, QC H9X 3R3",3114-Veterinarians,1
,,Lallemand Inc,"Montreal, QC H1W 2N8",0212-Architecture and science managers,1
,,Les Laboratoires Interdata Inc.,"Montréal, QC H2S 1R4",2173-Software engineers and designers,1
,,Les Services Conseils Systématix Inc.,"QUÉBEC, QC G1V 4W2",2174-Computer programmers and interactive media developers,3
,,Levio Conseils inc.,"Québec, QC G1W 0C4",2171-Information systems analysts and consultants,17
,,,,2174-Computer programmers and interactive media developers,30
,,Lexalytics Canada ULC,"MONTRÉAL, QC H2V 4M1",2171-Information systems analysts and consultants,1
,,Lien par le Réseau Inc.,"MONTRÉAL, QC H3B 3G1",2172-Database analysts and data administrators,1
,,L'industrielle Alliance,"Québec, QC G1K 7M3",0213-Computer and information systems managers,1
,,,,2171-Information systems analysts and consultants,1
,,Masimo Canada ULC,"ST. LAURENT, QC H4R 2P1",2173-Software engineers and designers,1
,,Nanomonx Inc.,"MONTRÉAL, QC H2M 2E9",2174-Computer programmers and interactive media developers,1
,,Navut inc.,"Montreal, QC H3C 1N8",0213-Computer and information systems managers,1
,,Northforge Innovations Inc,"Gatineau, QC J8X 3H3",2173-Software engineers and designers,2
,,ODS Médical Inc.,"MONTRÉAL, QC H2S 3B5","2148-Other professional engineers, n.e.c.",2
,,OSF Global Services inc.,"QUÉBEC, QC G2K 2H6",2174-Computer programmers and interactive media developers,4
,,Poudre Noire Inc.,"MONTRÉAL, QC H4C 2Z6",2175-Web designers and developers,1
,,Premier Tech Home & Garden Inc,"Rivière-du-Loup, QC G5R 6C1",2171-Information systems analysts and consultants,1
,,,,2172-Database analysts and data administrators,2
,,,,2174-Computer programmers and interactive media developers,1
,,Premier Tech Limitée,"Rivière-du-Loup, QC G5R 6C1",1122-Professional occupations in business management consulting,1
,,,,2175-Web designers and developers,1
,,,,2233-Industrial engineering and manufacturing technologists and technicians,1
,,Productions Double Negative Montréal Ltée,"MONTRÉAL, QC H2Y 1A6","5131-Producers, directors, choreographers and related occupations",1
,,,,5241-Graphic designers and illustrators,14
,,Reel FX Creative Studios Inc.,"Montréal, QC H3K 1G6",2174-Computer programmers and interactive media developers,2
,,,,5241-Graphic designers and illustrators,13
,,Rio Tinto Alcan Inc.,"Montréal, QC H3B 0E3",2172-Database analysts and data administrators,1
,,Rodeo FX Inc.,"MONTRÉAL, QC H3C 2M7",5241-Graphic designers and illustrators,7
,,Scanline VFX Montreal inc.,"MONTRÉAL, QC H3B 2S2",5241-Graphic designers and illustrators,1
,,Société Conseil Groupe LGS,"QUÉBEC, QC G1V 4K5",0213-Computer and information systems managers,1
,,,,2171-Information systems analysts and consultants,1
,,,,2174-Computer programmers and interactive media developers,4
,,Statflo Inc.,"MONTREAL, QC H3Z 1T3",2173-Software engineers and designers,2
,,Stratuscent inc.,"SAINT-LAURENT, QC H4S 1Z9",2173-Software engineers and designers,1
,,Studios Framestore Inc.,"Montréal, QC H2T 3B3","5131-Producers, directors, choreographers and related occupations",2
,,,,5241-Graphic designers and illustrators,6
,,TandemLaunch Inc,"Montréal, QC H4C 2K1",2174-Computer programmers and interactive media developers,2
,,"Technicolor Canada, Inc.","MONTRÉAL, QC H3C 1T2",0213-Computer and information systems managers,1
,,,,5241-Graphic designers and illustrators,12
,,Techniglobe Solutions Inc.,"MONTRÉAL, QC H3A 1E7",2174-Computer programmers and interactive media developers,1
,,Transat A.T. inc.,"MONTRÉAL, QC H2X 4C2",2171-Information systems analysts and consultants,1
,,Transat Tours Canada Inc.,"MONTREAL, QC H2X 4C2",0731-Managers in transportation,1
,,Ubisoft Divertissements Inc.,"Montréal, QC H2T 1S6",2171-Information systems analysts and consultants,1
,,,,2172-Database analysts and data administrators,1
,,,,2173-Software engineers and designers,1
,,,,2174-Computer programmers and interactive media developers,8
,,,,"5131-Producers, directors, choreographers and related occupations",2
,,,,5241-Graphic designers and illustrators,1
,,Umano Medical Inc.,"L'ISLET, QC G0R 2C0",2174-Computer programmers and interactive media developers,2
,,Via Science Inc,"MONTRÉAL, QC H3J 1R4",2172-Database analysts and data administrators,1
,,V-Neo Inc,"Québec, QC G1W 0E8",2171-Information systems analysts and consultants,3
,,Voonyx Inc,"LAC-BEAUPORT, QC G3B 1M7",2171-Information systems analysts and consultants,2
,,Walsh Integrated Inc,"MONTREAL, QC H3K 3G9",2174-Computer programmers and interactive media developers,1
Ontario,    High Wage,10820300 CANADA INCORPORATED,"CALEDON, ON L7C 2X3",0621-Retail and wholesale trade managers,1
,,1250803 Ontario Ltd.,"Brampton, ON L6T 4J2",2241-Electrical and electronics engineering technologists and technicians,1
,,1256975 Ontario Inc.,"North York, ON M9L 2Y7","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",1
,,1261789 Ontario Inc.,"Brampton, ON L6X 1H9",1221-Administrative officers,1
,,1336209 Ontario Inc.,"MISSISSAUGA, ON L5G 1E6",0631-Restaurant and food service managers,1
,,1373282 Ontario Inc.,"HAMILTON, ON L8E 4P2",1311-Accounting technicians and bookkeepers,1
,,13E13 Inc,"BRAMPTON, ON L6T 5B2",7233-Sheet metal workers,1
,,1432126 Ontario Inc,"Mississauga, ON L4W 1G8",7231-Machinists and machining and tooling inspectors,1
,,1436206 Ontario Limited,"MARKHAM, ON L3R 2V4","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,1514342 Ontario Ltd.,"Mississauga, ON L4W 1A1",1241-Administrative assistants,1
,,1516643 Ontario Inc.,"Mississauga, ON L4W 3Y2","1211-Supervisors, general office and administrative support workers",1
,,1527530 Ontario Inc.,"BOLTON, ON L7E 4H8","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,1542766 Ontario Inc. O/A Fix-Rite Auto Tech,"Mississauga, ON L5T 1E6",0621-Retail and wholesale trade managers,1
,,1550034 Ontario Inc.,"BRAMPTON, ON L6R 1T4",6311-Food service supervisors,1
,,1578342 Ontario Inc o/a PRINTWELL PRINTERS,"Mississauga, ON L4W 1S4","7303-Supervisors, printing and related occupations",1
,,,,7381-Printing press operators,1
,,1591267 Ontario Ltd.,"MISSISSAUGA, ON L4Z 3E8",0631-Restaurant and food service managers,1
,,1602964 Ontario Ltd O/A Auto Quest Group,"NORTH YORK, ON M3J 2A8","7384-Other trades and related occupations, n.e.c.",1
,,1637720 Ontario Inc.,"BRADFORD, ON L3Z 3G3","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,1645374 Ontario Inc.,"TORONTO, ON M1V 4S5","6313-Accommodation, travel, tourism and related services supervisors",1
,,1654072 Ontario Inc.,"BRAMPTON, ON L6W 3K7",0621-Retail and wholesale trade managers,1
,,1659656 Ontario inc,"Mississauga, ON L4X 1B1",7281-Bricklayers,1
,,1666563 Ontario Inc.,"BRAMPTON, ON L6T 4L6",1221-Administrative officers,1
,,1726146 Ontario Inc,"Mississauga, ON L5W 1T2",1311-Accounting technicians and bookkeepers,1
,,1808056 Ontario Inc.,"MISSISSAUGA, ON L5N 2V7","7284-Plasterers, drywall installers and finishers and lathers",1
,,1865512 Ontario Inc.,"LONDON, ON N6E 1K2",7281-Bricklayers,2
,,1904390 Ontario Inc,"Brampton, ON L6T 5K1",1221-Administrative officers,1
,,,,1241-Administrative assistants,1
,,1910963 Ontario Inc,"KITCHENER, ON N2H 5E6",0621-Retail and wholesale trade managers,1
,,1921609 Ontario Ltd,"MARKHAM, ON L3R 5P4",5223-Graphic arts technicians,1
,,1924505 Ontario Inc .,"OTTAWA, ON K2C 3L6",0631-Restaurant and food service managers,1
,,1954027 Ontario Inc,"OAKVILLE, ON L6K 3C7",0631-Restaurant and food service managers,1
,,1995030 Ontario Inc.,"AURORA, ON L4G 0K3","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
,,2079644 Ontario Inc.,"Woodbridge, ON L4H 3T6",0631-Restaurant and food service managers,1
,,2103574 Ontario Inc.,"BRAMPTON, ON L6Y 5V2",1221-Administrative officers,1
,,2110120 Ontario Inc,"BRAMPTON, ON L6R 2H8","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",2
,,2115298 Ontario Inc.,"BRAMPTON, ON L6P 2R1",0631-Restaurant and food service managers,1
,,2135395 Ontario Inc.,"Mississauga, ON L4T 3X2","7305-Supervisors, motor transport and other ground transit operators",1
,,2147959 Ontario Inc O/A Ocean Fresh Market,"Brampton, ON L6T 4P9","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,2178022 Ontario Ltd.,"MISSISSAUGA, ON L4X 2X7",1221-Administrative officers,1
,,2196456 Ontario Inc.,"Brampton, ON L6X 5E9",6322-Cooks,3
,,2217512 Ontario Inc..,"PETERBOROUGH, ON K9J 1Z5",1223-Human resources and recruitment officers,1
,,2218769 Ontario Inc.,"Mississauga, ON L5L 5Z9",6322-Cooks,1
,,2243740 Ontario Inc. o/a Carisma Restaurant,"Toronto, ON M5C 1G3",6321-Chefs,1
,,2246512 Ontario Inc.,"VAUGHAN, ON L4K 1Z8",6222-Retail and wholesale buyers,1
,,2261853 Ontario Inc.,"Brampton, ON L6T 2W8",2175-Web designers and developers,1
,,2277376 Ontario Inc.,"Concord, ON L4K 1G6",1225-Purchasing agents and officers,1
,,2303285 Ontario Inc. o/a Wok of Asia,"Etobicoke, ON M9W 0B3",6322-Cooks,2
,,2318328 Ontario Ltd,"Mississauga, ON L5V 2X8",3414-Other assisting occupations in support of health services,1
,,2320610 Ontario Inc. o/a Active Security Enterprises,"BRAMPTON, ON L6Y 0P6","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
,,,,2282-User support technicians,1
,,2327729 Ontario Inc.,"TORONTO, ON M5V 1K4",0631-Restaurant and food service managers,1
,,2349131 Ontario Ltd.,"Brampton, ON L7A 1C1",1311-Accounting technicians and bookkeepers,1
,,2369865 Ontario Inc.,"SCARBOROUGH, ON M1P 0A3",3111-Specialist physicians,1
,,2372405 Ontario Inc.,"ETOBICOKE, ON M9V 3Z7",6211-Retail sales supervisors,1
,,2375582 Ontario Inc.,"Vaughan, ON L4L 9C1",6314-Customer and information services supervisors,1
,,2389165 Ontario Inc.,"Ancaster, ON L9K 0A6","7284-Plasterers, drywall installers and finishers and lathers",1
,,2407475 Ontario Inc.,"Brampton, ON L6Y 5Z6",0621-Retail and wholesale trade managers,1
,,2410234 Ontario Inc,"BRAMPTON, ON L6T 2W4","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,2414660 Ontario Limited,"THORNHILL, ON L4J 1C3",3112-General practitioners and family physicians,1
,,2415554 Ontario Inc,"Burlington, ON L7R 2G5",6321-Chefs,1
,,2423415 Ontario Inc.,"WOODSTOCK, ON N4S 7V9","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,2434217 Ontario Inc.,"Ancaster, ON L9K 3G9",1243-Medical administrative assistants,1
,,2440642 Ontario Inc.,"ETOBICOKE, ON M8Z 5K7",6332-Bakers,1
,,2442018 Ontario Limited,"Toronto, ON M5V 3X8",0631-Restaurant and food service managers,1
,,2466168 Ontario Inc.,"MISSISSAUGA, ON L5S 1Z1",0631-Restaurant and food service managers,1
,,2467349 Ontario Inc.,"ST CATHARINES, ON L2R 4Z1",0621-Retail and wholesale trade managers,1
,,2469522 Ontario Inc.,"ETOBICOKE, ON M9W 6P8",6315-Cleaning supervisors,1
,,2471116 Ontario Inc OA Roop Mahal Jeweller,"MISSISSAUGA, ON L5V 0C7","6344-Jewellers, jewellery and watch repairers and related occupations",1
,,2480105 Ontario Inc.,"St. Catharines, ON L2M 3W2",1243-Medical administrative assistants,1
,,2489120 Ontario Inc,"ETOBICOKE, ON M9V 1A7",1241-Administrative assistants,1
,,2523928 Ontario Inc.,"LINDSAY, ON K9V 2Y1",0631-Restaurant and food service managers,1
,,2532021 Ontario Limited,"SCARBOROUGH, ON M1S 5G2","9213-Supervisors, food, beverage and associated products processing",1
,,2557576 Ontario Inc.,"EAST YORK, ON M4B 2S6",2253-Drafting technologists and technicians,1
,,2561231 Ontario Inc.,"RICHMOND HILL, ON L4B 3K6",5252-Coaches,1
,,2591331 Ontario Limited,"MARKHAM, ON L3R 7X4","7284-Plasterers, drywall installers and finishers and lathers",1
,,2594080 Ontario Limited,"MISSISSAUGA, ON L5A 2G9",6322-Cooks,1
,,2616290 Ontario Inc.,"MISSISSAUGA, ON L5R 2G4",0621-Retail and wholesale trade managers,1
,,2645022 Ontario Ltd.,"PORT PERRY, ON L9L 1B4",5135-Actors and comedians,1
,,30 Forensic Engineering,"TORONTO, ON M5J 1T1","0016-Senior managers - construction, transportation, production and utilities",1
,,444362 Ontario Limited,"Toronto, ON M2H 2E1",7231-Machinists and machining and tooling inspectors,1
,,578898 Ontario Limited,"Toronto, ON M4K 3L1",7291-Roofers and shinglers,2
,,7013990 Canada Inc.,"Guelph, ON N1G 5H7","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,7214821 Canada Inc.,"Mississauga, ON L5H 2S1",7291-Roofers and shinglers,2
,,7771487 Canada Inc.,"Toronto, ON M1L 4C2","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,7806167 Canada Ltd,"TORONTO, ON M5V 1T4",5221-Photographers,1
,,,,"5227-Support occupations in motion pictures, broadcasting, photography and the performing arts",1
,,,,"5232-Other performers, n.e.c.",4
,,8031991 Canada Corporation,"Dunrobin, ON K0A 1T0",0621-Retail and wholesale trade managers,1
,,907687 Ontario Inc.,"TORONTO, ON M5A 4K2",5241-Graphic designers and illustrators,1
,,9144242 Canada Inc.,"SCARBOROUGH, ON M1B 2Y8",7231-Machinists and machining and tooling inspectors,1
,,9408860 Canada Inc.,"LONDON, ON N6H 0H8",6322-Cooks,1
,,9535900 Canada Inc,"BRAMPTON, ON L6Z 2T6","1123-Professional occupations in advertising, marketing and public relations",1
,,9900748 Canada Inc,"Barrie, ON L4N 1T9",7271-Carpenters,1
,,A.C. PAZ CONSTRUCTION INC.,"TORONTO, ON M6E 4X3",1122-Professional occupations in business management consulting,1
,,Aace Financial Services Ltd.,"BRAMPTON, ON L6T 4K8","1212-Supervisors, finance and insurance office workers",1
,,Absolute Interior Inc.,"Toronto, ON M4B 3E5",7283-Tilesetters,4
,,Ad hoc Content Inc.,"Toronto, ON M6K 3E9","5131-Producers, directors, choreographers and related occupations",1
,,Aecon Construction Group Inc.,"Toronto, ON M9W 7K6","0016-Senior managers - construction, transportation, production and utilities",2
,,,,0731-Managers in transportation,1
,,AF Eighteen Productions Inc.,"TORONTO, ON M5H 2T7","5232-Other performers, n.e.c.",8
,,AGF Woodworking Inc.,"TORONTO, ON M8V 3C3",7271-Carpenters,1
,,AGM Automation Systems Inc,"TORONTO, ON M3H 5S4",7231-Machinists and machining and tooling inspectors,1
,,AIP Equipment and Supplies Inc,"TORONTO, ON M2H 3B4",2242-Electronic service technicians (household and business equipment),1
,,Air & Oceanland Inc.,"Brampton, ON L6P 0X4","1211-Supervisors, general office and administrative support workers",1
,,Air Bravo Corp.,"SHANTY BAY, ON L0L 2L0","2271-Air pilots, flight engineers and flying instructors",2
,,AJF Forming Ltd.,"North York, ON M6M 3E5",7236-Ironworkers,1
,,AK Harmony Canada Inc.,"BRAMPTON, ON L6Y 5X1","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
,,Alex Ferguson Law Office,"CARLETON PLACE, ON K7C 2V3",4211-Paralegal and related occupations,1
,,Alketa Concrete Ltd.,"Kitchener, ON N2C 2S1",7282-Concrete finishers,1
,,Allwood Industries Ltd.,"Toronto, ON M8Z 5K8",7271-Carpenters,3
,,Al-Medina Halal Meat Inc.,"Maple, ON L6A 0A5","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
,,Altitextil Canada Inc.,"TORONTO, ON M5N 1L7","0016-Senior managers - construction, transportation, production and utilities",1
,,Amandeep Bajwa Insurance Agency Inc.,"Brampton, ON L6P 1Y7",6231-Insurance agents and brokers,1
,,Amaya Leasing Ltd.,"TORONTO, ON M4N 1T2",0631-Restaurant and food service managers,1
,,Andy Scherer Gardening and Landscaping Ltd.,"Dalkeith, ON K0B 1E0",2225-Landscape and horticulture technicians and specialists,2
,,Animals Inc,"TORONTO, ON M6J 1C5","5131-Producers, directors, choreographers and related occupations",3
,,Apollon Ironworks,"NORTH YORK, ON M3J 2N1",7237-Welders and related machine operators,1
,,Applewood Roofing And Sheet Metal Ltd,"Toronto, ON M9L 1P6",7291-Roofers and shinglers,1
,,Arconas Corporation,"MISSISSAUGA, ON L5R 3H5",2282-User support technicians,1
,,Asymetric Media Ltd.,"Toronto, ON M5B 2E7","5131-Producers, directors, choreographers and related occupations",1
,,Atelier Theatre Society,"Toronto, ON M5C 1G9",5133-Musicians and singers,1
,,Atlantic Contracting Group Inc.,"TORONTO, ON M6M 4K9",7281-Bricklayers,4
,,Atlawn Grounds Maintenance Inc.,"MISSISSUAGA, ON L5C 1V1",5244-Artisans and craftspersons,1
,,ATS Automation Tooling Systems Inc.,"CAMBRIDGE, ON N3H 4R7","0016-Senior managers - construction, transportation, production and utilities",1
,,AUDIENCEVIEW TICKETING CORPORATION,"TORONTO, ON M5V 3C7","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
,,Aurora Lighting Technologies Inc,"Markham, ON L3R 4C1",6221-Technical sales specialists - wholesale trade,1
,,Avion Technologies Inc.,"Mississauga, ON L5S 1M9",7231-Machinists and machining and tooling inspectors,2
,,Aztec Structural Restoration Inc.,"BOLTON, ON L7E 1G4",7271-Carpenters,4
,,Bank of Canada,"Ottawa, ON K1A 0G9",4162-Economists and economic policy researchers and analysts,3
,,Bank of Nova Scotia,"Toronto, ON M5C 2W1","0013-Senior managers - financial, communications and other business services",1
,,Beauty Era Inc.,"Concord, ON L4K 1L4",6211-Retail sales supervisors,1
,,Bertino Kitchens Ltd.,"MISSISSAUGA, ON L4W 2S2",7271-Carpenters,1
,,Best Electric Co.,"Markham, ON L3R 7P3",2253-Drafting technologists and technicians,1
,,Big Boss Carriers Ltd.,"BRAMPTON, ON L9T 3H3",1221-Administrative officers,1
,,Biosystems & Technology Inc,"CAMBRIDGE, ON N3C 0C5","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
,,BMT Fleet Technology Limited,"Ottawa, ON K2K 1Z8","2148-Other professional engineers, n.e.c.",1
,,Boomtech Equipment Ltd.,"WHITBY, ON L1N 6M2",7312-Heavy-duty equipment mechanics,1
,,Bounce House Productions LLC,"TORONTO, ON M8W 3Z8","5226-Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",1
,,BR Bathla Technologies Limited,"TORONTO, ON M4C 4X4","0013-Senior managers - financial, communications and other business services",1
,,Breakthru Beverage Canada Inc.,"TORONTO, ON M5V 2H2","1123-Professional occupations in advertising, marketing and public relations",1
,,Broad Media Inc.,"Ricnmond Hill, ON L4B 3A8",4163-Business development officers and marketing researchers and consultants,1
,,Brock University,"St. Catharines, ON L2S 3A1",4011-University professors and lecturers,1
,,Brookfield Renewable Power Inc.,"TORONTO, ON M5J 2T3",1112-Financial and investment analysts,1
,,Brotherhood Pontion Panagia Soumela of Toronto,"Toronto, ON M4K 1P1",5133-Musicians and singers,1
,,Bruce Mau Design Inc.,"TORONTO, ON M5A 1K8","0013-Senior managers - financial, communications and other business services",1
,,,,"0124-Advertising, marketing and public relations managers",1
,,BSA Diagnostic Imaging Inc.,"Toronto, ON M1S 1S6",1225-Purchasing agents and officers,1
,,BTL Railings Inc.,"Toronto, ON M6M 1J2","9536-Industrial painters, coaters and metal finishing process operators",1
,,Business Ethics Film Inc.,"TORONTO, ON M5R 3V4","5131-Producers, directors, choreographers and related occupations",1
,,Buyer Group Canada Inc.,"Mississauga, ON L4W 1R3",1221-Administrative officers,1
,,BVGlazing Systems Ltd.,"CONCORD, ON L4K 3Z9",2252-Industrial designers,1
,,Camoes Radio Inc.,"TORONTO, ON M6G 1C4",5231-Announcers and other broadcasters,1
,,Camp Bil-o-Wood Ltd.,"Blind River, ON P0R 1B0",0632-Accommodation service managers,1
,,Campus Auto Collision and Heavy Equipment Refinishing Ltd,"Toronto, ON M3J 2A2","9536-Industrial painters, coaters and metal finishing process operators",1
,,Canada Goose Inc.,"Toronto, ON M6E 4Y2","5232-Other performers, n.e.c.",8
,,Canada Medlaser,"Concord, ON L4K 1L4",1225-Purchasing agents and officers,1
,,Canada's National Ballet School,"Toronto, ON M4Y 2G6",5134-Dancers,1
,,Canadian Mental Health Association,"GUELPH, ON N1H 0A1",3111-Specialist physicians,1
