"Employers who were issued a positive Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and business location in 2018 (April-June)",,,,, 
Province/Territory,Stream,Employer,Address,Occupation,Approved Positions 
,,,,2173-Software engineers and designers,1
,,,,2174-Computer programmers and interactive media developers,1
,,Cinesite Inc.,"MONTRÉAL, QC H2Y 0A3","5131-Producers, directors, choreographers and related occupations",1
,,,,5241-Graphic designers and illustrators,2
,,Compulsion Games inc.,"Montreal, QC H4C 2Z6",5241-Graphic designers and illustrators,1
,,Conseil Zenika inc,"MONTRÉAL, QC H2J 2L1",2175-Web designers and developers,1
,,Conseiller en Gestion et Informatique CGI Inc,"Montreal, QC H3G 1T4",0213-Computer and information systems managers,4
,,,,2171-Information systems analysts and consultants,11
,,,,2174-Computer programmers and interactive media developers,19
,,,,2283-Information systems testing technicians,1
,,De Marque Inc.,"Québec, QC G1K 8W1",0213-Computer and information systems managers,1
,,Element AI Inc.,"MONTRÉAL, QC H2S 3G9","0013-Senior managers - financial, communications and other business services",1
,,,,2171-Information systems analysts and consultants,1
,,,,2173-Software engineers and designers,1
,,Excelitas Canada Inc.,"Vaudreuil-Dorion, QC J7V 8P7",2241-Electrical and electronics engineering technologists and technicians,2
,,Facilité Conseils et Solutions Inc.,"Montréal, QC H3B 2G2",2171-Information systems analysts and consultants,2
,,Fédération des caisses Desjardins du Québec,"MONTRÉAL, QC H5B 1B2",2171-Information systems analysts and consultants,1
,,Fujitsu Consulting (Canada) Inc.,"QUÉBEC, QC G2K 0B8",2174-Computer programmers and interactive media developers,7
,,GFT Technologies Canada inc.,"QUÉBEC, QC G1W 0E8",2174-Computer programmers and interactive media developers,4
,,Groupe Atallah inc./SSENSE,"Montréal, QC H2N 2E7","0013-Senior managers - financial, communications and other business services",1
,,,,"0124-Advertising, marketing and public relations managers",1
,,Groupe Conseil ERA,"VERDUN, QC H3E 1J4",2171-Information systems analysts and consultants,2
,,Groupe Technologies Desjardins Inc.,"MONTRÉAL, QC H5B 1B2",2171-Information systems analysts and consultants,2
,,KINESSOR GROUPE-CONSEILS INC.,"Montréal, QC H3B 1P5",2147-Computer engineers (except software engineers and designers),1
,,Larochelle Groupe Conseil Inc.,"Montréal, QC H3B 2N2",0213-Computer and information systems managers,1
,,,,2171-Information systems analysts and consultants,1
,,Les Pneus Moins Chers Inc.,"SHERBROOKE, QC J1G 1Y7",2174-Computer programmers and interactive media developers,1
,,Levio Conseils inc.,"Québec, QC G1W 0C4",2171-Information systems analysts and consultants,2
,,,,2174-Computer programmers and interactive media developers,8
,,Lien par le Réseau Inc.,"MONTRÉAL, QC H3B 3G1",2147-Computer engineers (except software engineers and designers),1
,,Maltem Canada inc.,"Montréal, QC H3B 2E3",2172-Database analysts and data administrators,1
,,MELS Studios et Postproduction s.e.n.c.,"Montréal, QC H2L 4P2",5241-Graphic designers and illustrators,1
,,Mistplay Inc.,"SAINT-LAURENT, QC H4R 2M8",2174-Computer programmers and interactive media developers,1
,,Momentum Technologies inc.,"Québec, QC G2J 0B9",2172-Database analysts and data administrators,2
,,NoviFlow Inc,"Montréal, QC H4C 2K1",2173-Software engineers and designers,1
,,ObjectSharp Corporation,"Montreal, QC H2Y 2E1",2174-Computer programmers and interactive media developers,1
,,OOHLALA Mobile inc,"MONTRÉAL, QC H2L 4C6",2173-Software engineers and designers,2
,,Productions Double Negative Montréal Ltée,"MONTRÉAL, QC H2Y 1A6",5241-Graphic designers and illustrators,13
,,Reel FX Creative Studios Inc.,"MONTRÉAL, QC H3K 1G6",5241-Graphic designers and illustrators,2
,,Repare Therapeutics Inc.,"MONTRÉAL, QC H2Y 2E1",2121-Biologists and related scientists,1
,,Richter LLP,"MONTREAL, QC H3A 0G6",2171-Information systems analysts and consultants,1
,,Rodeo FX  inc.,"MONTRÉAL, QC H3C 2M7","5131-Producers, directors, choreographers and related occupations",1
,,,,5241-Graphic designers and illustrators,4
,,Spark Microsystems International Inc.,"Montréal, QC H3A 1T1","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
,,Studio Singing Frog,"MONTRÉAL, QC H2V 4E1",5241-Graphic designers and illustrators,1
,,Studios Framestore Inc.,"Montréal, QC H2T 3B3",2174-Computer programmers and interactive media developers,1
,,,,5241-Graphic designers and illustrators,7
,,TandemLaunch Inc,"Montréal, QC H4C 2K1",2173-Software engineers and designers,2
,,,,2174-Computer programmers and interactive media developers,1
,,Technologies Synergx inc,"LAVAL, QC H7R 0A3",2241-Electrical and electronics engineering technologists and technicians,1
,,Technology Evaluation Centers Inc / CENTRES D'ÉVALUATION DE LA TECHNOLOGIE INC.,"LONGUEUIL, QC J4K 5B1",2175-Web designers and developers,1
,,WA Nouvelle Solution Inc.,"MONTRÉAL, QC H4T 1G4",2174-Computer programmers and interactive media developers,2
,,WOLTERS KLUWER CANADA LIMITÉE,"Sherbrooke, QC J1K 2N8",0213-Computer and information systems managers,1
Ontario,    High Wage,10327131 Canada Inc.,"Ottawa, ON K1S 1N4","0651-Managers in customer and personal services, n.e.c.",1
,,1068679 Ontario Ltd,"LONDON, ON N6P 1P9",3219-Other medical technologists and technicians (except dental health),1
,,1445913 Ontario Inc. o/a HGC The Harman Group,"Caledon, ON L7C 3M6",7511-Transport truck drivers,7
,,1530483 Ontario Inc.,"Cambridge, ON N3C 1E9",0631-Restaurant and food service managers,1
,,1541335 Ontario Inc. O/A Road Link Xpress,"Mississauga, ON L4W 1J3","1211-Supervisors, general office and administrative support workers",1
,,,,"1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,1550034 Ontario Inc. o/a Warraich Meat Shop Inc.,"BRAMPTON, ON L6R 1T4",6311-Food service supervisors,1
,,1697010 Ontario Ltd o/a Colaba Junction,"TORONTO, ON M5S 1Y9",6322-Cooks,1
,,1785634 Ontario Inc,"Thornhill, ON L3T 1L3",7511-Transport truck drivers,2
,,1865787 Ontario Ltd (Evergreen College),"Markham, ON L3R 9Y7","1123-Professional occupations in advertising, marketing and public relations",1
,,,,1221-Administrative officers,1
,,1910963 Ontario Inc,"KITCHENER, ON N2H 5E6",1221-Administrative officers,1
,,1956595 Ontario Ltd,"TORONTO, ON M3A 1B2",6321-Chefs,1
,,1975873 Ontario Limited,"TORONTO, ON L0J 1C0",6321-Chefs,1
,,2007064 Ontario Inc.,"MISSISSAUGA, ON L4W 4L9",6321-Chefs,2
,,2065745 Ontario Ltd.,"Bradford, ON L3Z 3A3",7271-Carpenters,1
,,2105561 ONTARIO INC.,"TORONTO, ON M5V 2N3",5244-Artisans and craftspersons,1
,,2135395 Ontario Inc.,"Mississauga, ON L4T 3X2",1241-Administrative assistants,1
,,2162350 Ontario INC. (Pruvera),"BRAMPTON, ON L6R 3G7",2175-Web designers and developers,1
,,2200926 Ontario Inc.,"Brampton, ON L6R 0E1",6311-Food service supervisors,1
,,2209664 Ontario Inc. o/a Knights Inn Motel,"London, ON N5W 3E3",6315-Cleaning supervisors,1
,,2226004 Ontario Ltd.,"MARKHAM, ON L3S 0B6",1223-Human resources and recruitment officers,1
,,2230434 Ontario Inc,"ETOBICOKE, ON M9W 6P8","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",1
,,,,7241-Electricians (except industrial and power system),1
,,2231734 Ontario Inc.,"MISSISSAUGA, ON L4W 4Z2",6221-Technical sales specialists - wholesale trade,1
,,2241889 Ontario Inc.,"Iron Bridge, ON P0R 1H0",0632-Accommodation service managers,1
,,2243740 Ontario Inc. o/a Carisma Restaurant,"Toronto, ON M5C 2E3",6321-Chefs,1
,,2244055 Ontario Inc. o/a New Hot & Sour Restaurant,"Mississauga, ON L5V 3A4",6322-Cooks,1
,,2264236 Ontario Inc.o/a Ameri-Can Systems,"Brampton, ON L6T 2H5","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,2314892 ON INC,"Ottawa, ON K1R 6Y4",5134-Dancers,1
,,2320610 Ontario Inc. o/a Active Security Enterprises,"BRAMPTON, ON L6Y 0P6",1221-Administrative officers,1
,,,,6316-Other services supervisors,4
,,2325231 Ontario Inc.,"Orleans, ON K1E 3V7",3112-General practitioners and family physicians,1
,,2350936 Ontario Inc.,"Brampton, ON L6Y 5K4",1221-Administrative officers,1
,,2372578 Ontario Inc.,"BRAMPTON, ON L6W 3N3",1221-Administrative officers,1
,,2389187 Ontario Inc.,"ATWOOD, ON N0G 1B0",7237-Welders and related machine operators,3
,,2389346 Ontario Inc.,"Scarborough, ON M1P 2L6",6211-Retail sales supervisors,1
,,2390285 Ontario Inc. o/a 360 Demolition & Environmental Services,"ETOBICOKE, ON M9W 6S9","7302-Contractors and supervisors, heavy equipment operator crews",1
,,2396832 Ontario Inc.,"VAUGHAN, ON L6A 4N9","0651-Managers in customer and personal services, n.e.c.",1
,,2413262 Ontario Inc.,"MISSISSAUGA, ON L5V 2N6",6322-Cooks,4
,,2416741 Ontario Inc,"MINDEN, ON K0M 2K0",0621-Retail and wholesale trade managers,1
,,2432146 Ontario Inc.,"Markham, ON L3R 1H3",1221-Administrative officers,1
,,2462547 Ontario Inc.,"Toronto, ON M4P 3A1",3236-Massage therapists,3
,,2463175 Ontario Inc,"Ignace, ON P0T 1T0","6313-Accommodation, travel, tourism and related services supervisors",1
,,2468765 Ontario Incorporated o/a Active Green+Ross,"RICHMOND HILL, ON L4E 0N9",0621-Retail and wholesale trade managers,1
,,2468976 Ontario Inc.,"Mississauga, ON L5T 2Y3",0631-Restaurant and food service managers,1
,,2470123 Ontario Inc. o/a St. Louis Bar and Grill,"THORNHILL, ON L4J 7S1",6322-Cooks,1
,,2470217 Ontario INC.,"TORONTO, ON M5B 1S8","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
,,2489035 Ontario Inc. o/a Golden Staffing Services,"Brampton, ON L6T 5K1","0124-Advertising, marketing and public relations managers",1
,,,,1221-Administrative officers,1
,,2489120 Ontario Inc,"Etobicoke, ON M9V 1A7",1221-Administrative officers,1
,,2509227 Ontario Inc,"Mississauga, ON L5M 7B1",6311-Food service supervisors,1
,,2512833 Ontario Inc. dba Target Wireless,"BRAMPTON, ON L6P 2K7","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
,,2520969 Ontario Corporation o/a South St. Burger,"LONDON, ON N6C 2V3",0631-Restaurant and food service managers,1
,,2524483 Ontario Inc.,"TORONTO, ON M4R 2E4",1226-Conference and event planners,1
,,2538734 Ontario Inc. O/A Akira Back,"TORONTO, ON M5V 1J6",6321-Chefs,1
,,2541464 Ontario Inc. o/a King's Mini Mart,"BOBCAYGEON, ON K0M 1A0",6211-Retail sales supervisors,1
,,2542933 Ontario Inc.,"BRAMPTON, ON L6R 3J6",1221-Administrative officers,1
,,,,1311-Accounting technicians and bookkeepers,1
,,2582140 Ontario Inc O/A Le Kochi Cuisine,"MISSISSAUGA, ON L4V 1E6",6321-Chefs,3
,,7146957 Canada Inc. o.a Ali Motors,"Mississauga, ON L4W 1A2","7301-Contractors and supervisors, mechanic trades",1
,,7806167 Canada Ltd,"TORONTO, ON M5C 1K9",5135-Actors and comedians,1
,,792839 Ontario Inc.,"Timmins, ON P4N 8S3",7333-Electrical mechanics,1
,,8143374 Canada Inc.,"BRAMPTON, ON L6W 3E7",1221-Administrative officers,1
,,9098186 Canada Inc.,"HAMILTON, ON L8R 2K1",6311-Food service supervisors,1
,,9144242 Canada Inc. o/a Ideal Window and Door,"SCARBOROUGH, ON M1B 2Y8","0016-Senior managers - construction, transportation, production and utilities",1
,,9322191 Canada Inc.,"TORONTO, ON M3J 2Z1","9213-Supervisors, food, beverage and associated products processing",1
,,A & J Security Company Ltd.,"Toronto, ON M1V 4B9",2282-User support technicians,1
,,A + Development and Management Corp.,"Toronto, ON M4Y 2P7",0712-Home building and renovation managers,1
,,A La Carte Kitchen Inc.,"Toronto, ON M4H 1H2",6321-Chefs,1
,,A&P Junk Removal Corp.,"Toronto, ON M6K 2J3",0731-Managers in transportation,1
,,Abacus Growth Agency Incorporated,"TORONTO, ON M5V 2A5","1123-Professional occupations in advertising, marketing and public relations",1
,,Absolute Change Management Inc.,"ST. CATHERINES, ON L2R 6P7",2141-Industrial and manufacturing engineers,1
,,Ace Bricklayers Ltd,"Toronto, ON M6J 1X3",7281-Bricklayers,1
,,Ad hoc Content Inc.,"Toronto, ON M6K 3E9","5131-Producers, directors, choreographers and related occupations",2
,,Advanced Fan Systems Inc.,"CONCORD, ON L4K 5A2","0013-Senior managers - financial, communications and other business services",1
,,Aecon Construction Group Inc.,"Toronto, ON M9W 7K6","0016-Senior managers - construction, transportation, production and utilities",1
,,,,0711-Construction managers,1
,,,,0731-Managers in transportation,1
,,AeroSoft Systems Inc.,"Mississauga, ON L4V 1R9","0013-Senior managers - financial, communications and other business services",1
,,Afeera Inc,"TORONTO, ON M5V 2A4",0621-Retail and wholesale trade managers,1
,,Albany Medical Clinic,"Toronto, ON M4K 2P8",3112-General practitioners and family physicians,1
,,Algoma Central Corporation,"St. Catharines, ON L2R 3C4","0016-Senior managers - construction, transportation, production and utilities",1
,,Algoma Steel Inc.,"Sault Ste. Marie, ON P6A 7B4","9211-Supervisors, mineral and metal processing",1
,,All Green Landscaping Ltd.,"TORONTO, ON M5A 0A2","8255-Contractors and supervisors, landscaping, grounds maintenance and horticulture services",1
,,Alliance Site Construction Ltd.,"Bolton, ON L7E 4E3",7271-Carpenters,4
,,Almer Corporation,"RICHMOND HILL, ON L4B 3A8",2175-Web designers and developers,1
,,"Amazing Print, Corp","Toronto, ON M3J 2N2",1221-Administrative officers,1
,,Ameta International Co. Ltd.,"Markham, ON L3R 9T5","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,Amid's Retail Inc.,"Wahnaitae, ON P0M 3C0",0621-Retail and wholesale trade managers,1
,,Analytics For Life Inc,"Toronto, ON M5G 0B7","0016-Senior managers - construction, transportation, production and utilities",1
,,ANLEJUCANADA LTD,"NORTH YORK, ON M2J 1W8",1226-Conference and event planners,1
,,Aon Reed Stenhouse Inc.,"Toronto, ON M5J 2N9","0013-Senior managers - financial, communications and other business services",1
,,Argcon Group Inc.,"SCARBOROUGH, ON M1R 3C3","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",2
,,Aroma Fresh Inc,"CONCORD, ON L4K 4G9",1122-Professional occupations in business management consulting,1
,,AS General Contracting And Investment,"Scarborough, ON M1X 1E7","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",1
,,ASA Truck Repairs Inc,"BRAMPTON, ON L6X 0X9",7312-Heavy-duty equipment mechanics,1
,,ASEAL Roofing & Sheet Metal Ltd.,"Etobicoke, ON M9W 6X9",7291-Roofers and shinglers,1
,,Associated Paving & Materials Ltd.,"Burlington, ON L7L 5M7",7521-Heavy equipment operators (except crane),1
,,Asymetric Media Ltd.,"Toronto, ON M5B 2E7","5131-Producers, directors, choreographers and related occupations",1
,,Atlas-Apex Roofing Inc.,"Etobicoke, ON M9W 1M2",7291-Roofers and shinglers,3
,,Aviva Canada Inc.,"MARKHAM, ON L6G 0G1","0013-Senior managers - financial, communications and other business services",1
,,AXIOM PLASTICS INC.,"AURORA, ON L4G 1G3",5121-Authors and writers,1
,,Ayal Capital Advisors Limited,"TORONTO, ON M5H 2W9","0122-Banking, credit and other investment managers",1
,,Baaron Group Inc.,"MAPLE, ON L6A 2V7","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",1
,,Bank of Nova Scotia,"Toronto, ON M5H 1H1","0013-Senior managers - financial, communications and other business services",2
,,Barcelos Masonry Inc.,"Toronto, ON M6M 2R1",7281-Bricklayers,17
,,Barkerville Gold Mines Ltd.,"Toronto, ON M5H 2V1",0212-Architecture and science managers,1
,,Bernina of Canada Inc.,"Markham, ON L3R 9R7","0013-Senior managers - financial, communications and other business services",1
,,Better Home Fashion Inc.,"CONCORD, ON L4K 1J9",6222-Retail and wholesale buyers,1
,,"BHI Energy Canada, Inc.","TORONTO, ON M5R 2A5",2263-Inspectors in public and environmental health and occupational health and safety,11
,,Binalli Maintenance Inc.,"Toronto, ON M4R 1K8",6315-Cleaning supervisors,5
,,Brickmaster Inc.,"Toronto, ON M9P 1S2",7281-Bricklayers,1
,,Broteching Inc.,"Woodbridge, ON L4H 8N5",2242-Electronic service technicians (household and business equipment),1
,,Business Ethics Film Inc.,"TORONTO, ON M5R 3V4",5135-Actors and comedians,2
,,Caledonia Bakery & Pastry Inc.,"Toronto, ON M6E 1C7",6321-Chefs,1
,,Camera di Commercio Italiana dell' Ontario,"TORONTO, ON M6G 1B6",1226-Conference and event planners,1
,,Canada Goose Inc.,"Toronto, ON M6E 4Y2","5232-Other performers, n.e.c.",2
,,Canada Medlaser,"Concord, ON L4K 1L4","1123-Professional occupations in advertising, marketing and public relations",1
,,Canada's National Ballet School,"Toronto, ON M4Y 2G6",5134-Dancers,1
,,Canadian Bank Note Company Limited,"Ottawa, ON K1Z 1A1",5241-Graphic designers and illustrators,1
,,Canadian Broadcasting Corporation,"Toronto, ON M5V 3G7",5231-Announcers and other broadcasters,2
,,Canadian Foot and Ankle Orthopedic Service Inc.,"Toronto, ON M2N 7E9","0014-Senior managers - health, education, social and community services and membership organizations",1
,,Canadian Opera Company,"Toronto, ON M5A 1E8",5133-Musicians and singers,1
,,Cancoil Thermal Corporation,"Kingston, ON K7L 4V3","0016-Senior managers - construction, transportation, production and utilities",1
,,Capela Surfaces Inc.,"North York, ON M6M 3E6",7283-Tilesetters,1
,,Carmel Transport International Ltd,"CONCORD, ON L4K 5V4","7305-Supervisors, motor transport and other ground transit operators",1
,,Catholic Cemeteries&Funeral Services-Arch. of T.,"TORONTO, ON M2N 6K1",7283-Tilesetters,2
,,Cedar Springs Landscape Group Inc.,"OAKVILLE, ON L6L 6T1","8255-Contractors and supervisors, landscaping, grounds maintenance and horticulture services",1
,,Centre for Addiction and Mental Health,"Toronto, ON M6J 1H4",3111-Specialist physicians,1
,,Centum Fairtrust Financial Group Inc.,"MISSISSAUGA, ON L4W 2Z6","1211-Supervisors, general office and administrative support workers",1
,,Cervelo Cycles Inc.,"Toronto, ON M6A 1J8",0601-Corporate sales managers,1
,,Cheng Li Barrister & Solicitor Professional Corp.,"TORONTO, ON M2J 4G8",1242-Legal administrative assistants,1
,,Circle Productions Ltd,"Toronto, ON M5V 1T2","5131-Producers, directors, choreographers and related occupations",4
,,,,5135-Actors and comedians,4
,,Cisco Systems Canada Co.,"Toronto, ON M5J 0B8",2173-Software engineers and designers,1
,,CIT Corp. o/a Cloud IT,"Toronto, ON M3J 2N2",2281-Computer network technicians,1
,,Cochin Delights Inc.,"LONDON, ON N6H 4L1",6321-Chefs,2
,,Columbia Masonry Contracting Inc.,"Nobleton, ON L0G 1N0",7281-Bricklayers,2
,,Compound Metal Coatings Inc.,"Mississauga, ON L5T 1L9",2232-Mechanical engineering technologists and technicians,1
,,Constant Power Inc.,"TORONTO, ON M5C 1S1","0016-Senior managers - construction, transportation, production and utilities",1
,,Contran Flatbed Group,"WOODSTOCK, ON N4S 0A9",7511-Transport truck drivers,6
,,Core Architects Inc,"TORONTO, ON M5V 1P9","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",1
,,Core Avionics & Industrial (Canada) Inc.,"WATERLOO, ON N2J 1P5","0013-Senior managers - financial, communications and other business services",1
,,Crawford Roofing Corporation,"TORONTO, ON M3J 1Z4",7291-Roofers and shinglers,2
,,CRM Global Capital Inc.,"Toronto, ON M5H 3K6","0016-Senior managers - construction, transportation, production and utilities",1
,,Custom Renovations Ltd.,"MISSISSAUGA, ON L4X 2X9",7271-Carpenters,1
,,Cypruss Contracting Inc.,"Brampton, ON L6T 3Y3","7204-Contractors and supervisors, carpentry trades",1
,,Da-Lee Pavement Products Limited Partnership,"STONEY CREEK, ON L8E 5N2",0601-Corporate sales managers,1
,,Danclair Construction Ltd.,"TORONTO, ON M6L 1C7",7271-Carpenters,1
,,Deloitte LLP,"TORONTO, ON M5H 0A9",0111-Financial managers,2
,,,,1111-Financial auditors and accountants,3
,,Dental Corporation of Canada Inc.,"TORONTO, ON M4T 1L9",3113-Dentists,1
,,Dhanoa Group Ltd. o/a A&W,"Mississauga, ON L5W 1T2",0631-Restaurant and food service managers,1
,,Digital Extremes Ltd.,"London, ON N6A 6K2",2174-Computer programmers and interactive media developers,1
,,,,5241-Graphic designers and illustrators,3
,,Dominion Colour Corporation,"Toronto, ON M2J 4Z2","0016-Senior managers - construction, transportation, production and utilities",1
,,DP Square Inc. o/a Mucho Burrito,"Barrie, ON L4M 3C4",0631-Restaurant and food service managers,1
,,Dr. Bushra Farooq Medicine Professional Corporation,"OAKVILLE, ON L6J 4V1",3112-General practitioners and family physicians,1
,,Dr. C. Ojiegbe Medicine Prof. Corporation,"Toronto, ON M1E 5K9",1243-Medical administrative assistants,1
,,Dr. Maryam Adibfar Dentistry Professional Corp.,"Toronto, ON M4S 1Y2",1221-Administrative officers,1
,,Drayton Theatres Inc.,"Cambridge, ON N1S 2L8","5131-Producers, directors, choreographers and related occupations",1
,,,,5135-Actors and comedians,1
,,DULAY & DULAY PROFESSIONAL CORPORATION,"MISSISSAUGA, ON L5S 0A2",1311-Accounting technicians and bookkeepers,1
,,Dundee Precious Metals Inc.,"TORONTO, ON M5C 2V9",2113-Geoscientists and oceanographers,1
,,Durham College,"Oshawa, ON L1H 7J4",4011-University professors and lecturers,1
,,Dxpert Reno & Handyman Services Ltd,"Toronto, ON M4R 1K8",7271-Carpenters,1
,,Eagle Temporary Staffing Inc,"Toronto, ON M5C 3G7",2173-Software engineers and designers,1
,,El Fouly & El Ghandour Dentistry Professional Corporation,"DUNDAS, ON L9H 1V1",1221-Administrative officers,1
,,Elite Designed Concrete Inc,"Thornhill, ON L3T 2M3",7271-Carpenters,5
,,,,7282-Concrete finishers,4
,,Elite Model Management Toronto Inc,"Toronto, ON M5A 1V2","5232-Other performers, n.e.c.",4
,,Ethnic Channels Group Ltd.,"Markham, ON L3R 3A3",5222-Film and video camera operators,1
,,Euro Motor Tech Ltd.,"Guelph, ON N1H 6H8","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,Eurowood Carpentry 2000 Inc.,"MISSISSAUGA, ON L5T 2T3",7271-Carpenters,1
,,Everest Transportation Inc.,"CALEDON EAST, ON L7C 2X6","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,,,1241-Administrative assistants,1
,,Falcon Motor Xpress Ltd,"CALEDON, ON L7C 2X3",2281-Computer network technicians,1
,,Fanshawe Health Group,"London, ON N6G 5A9",3112-General practitioners and family physicians,1
,,First Global Technologies Inc.,"TORONTO, ON M5V 3B1","0013-Senior managers - financial, communications and other business services",1
,,Flynn Canada Ltd.,"Mississauga, ON L4V 1K2",7233-Sheet metal workers,3
,,,,7291-Roofers and shinglers,15
,,,,7292-Glaziers,6
,,Forty Creek Distillery Ltd.,"Grimsby, ON L3M 1Y6","0016-Senior managers - construction, transportation, production and utilities",1
,,ForYou Real Estate Inc.,"MARKHAM, ON L3S 0B6","1123-Professional occupations in advertising, marketing and public relations",1
,,"Free Society.TV, Inc.","Toronto, ON M4M 1C4","5131-Producers, directors, choreographers and related occupations",1
,,FTD Construction Inc.,"CALEDON, ON L7E 0Z8",7282-Concrete finishers,1
,,Fulland Logistics Ltd.,"CONCORD, ON L4K 4T3","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,General Dynamics Land Systems-Canada,"London, ON N5V 2Z7",2132-Mechanical engineers,1
,,GKN Sinter Metals - St. Thomas,"St. Thomas, ON N5P 1H1",2141-Industrial and manufacturing engineers,1
,,Glass Box Research Ltd.,"TORONTO, ON M5E 1W7","0013-Senior managers - financial, communications and other business services",1
,,Glen-Merritt Collision Ltd.,"ST. CATHERINES, ON L2S 0B6",7322-Motor vehicle body repairers,1
,,"GN Hearing Care Canada, Ltd.","TORONTO, ON M3J 2M4","0016-Senior managers - construction, transportation, production and utilities",1
,,Goral Carpentry Inc.,"Mississauga, ON L5B 1A8","7284-Plasterers, drywall installers and finishers and lathers",2
,,Gordon Lightfoot,"Toronto, ON M4T 2P7","5226-Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",1
,,Grapco Tooling Inc.,"MISSISSAUGA, ON L4W 2W4",7231-Machinists and machining and tooling inspectors,1
,,Grapesoft Canada Inc,"Toronto, ON M5X 1C7",2174-Computer programmers and interactive media developers,3
,,Grease Toronto 2016 Limited Partnership,"Toronto, ON M6G 2W7",5135-Actors and comedians,3
,,Greater Toronto Acres Surveying Inc.,"TORONTO, ON M9W 0A2",2254-Land survey technologists and technicians,1
,,Green Solutions Industries International Ltd.,"MISSISSAUGA, ON L5G 4J5",7333-Electrical mechanics,1
,,Guru Animation Studio Ltd.,"TORONTO, ON M5V 2K4",5241-Graphic designers and illustrators,1
,,H. Breiter Window Cleaning Ltd.,"North York, ON M6A 1P3",6315-Cleaning supervisors,2
,,Hamati Roofing Ltd.,"Toronto, ON M2P 1S8",7291-Roofers and shinglers,1
,,Harmony Valley Medical Clinic,"Oshawa, ON L1K 0V4",3112-General practitioners and family physicians,1
,,Health Sciences North,"SUDBURY, ON P3E 5J1",3111-Specialist physicians,1
,,Health Standards Organization,"OTTAWA, ON K1J 7S9","0014-Senior managers - health, education, social and community services and membership organizations",1
,,Heyd and Seek Inc.,"TORONTO, ON M5A 3J7","5131-Producers, directors, choreographers and related occupations",1
,,Holiday Films Inc.,"TORONTO, ON M5A 1J2","5131-Producers, directors, choreographers and related occupations",1
,,"Holt, Renfrew & Co., Limited","Toronto, ON M4W 3B8","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
,,,,6222-Retail and wholesale buyers,1
,,,,"6561-Image, social and other personal consultants",1
,,Horst Dental Services Inc.,"BURLINGTON, ON L7N 3N2","3223-Dental technologists, technicians and laboratory assistants",1
,,HQ 7 Prince Productions Inc.,"NEWMARKET, ON L3Y 4B1",5135-Actors and comedians,1
,,HR Wireless Netware Technology,"Markham, ON L3R 6A8",2171-Information systems analysts and consultants,1
,,Hunterpro Corporation,"Toronto, ON M3H 5S4",4163-Business development officers and marketing researchers and consultants,1
,,InCode Consulting Inc.,"TORONTO, ON M4V 1L5",2174-Computer programmers and interactive media developers,1
,,In-Con Industrial Ltd.,"London, ON N6K 4L4",0125-Other business services managers,1
,,Indian Sizzler Inc.,"Caledon, ON L7C 4C4",6322-Cooks,2
,,Infinera Canada Inc.,"KANATA, ON K2K 2X3",2147-Computer engineers (except software engineers and designers),2
,,Infinity Glass Group Inc.,"BRAMPTON, ON L6T 5P7",7231-Machinists and machining and tooling inspectors,1
,,Infrabiz Inc.,"TORONTO, ON M4W 3H1","0013-Senior managers - financial, communications and other business services",1
,,Ironstone Forming Ltd.,"ETOBICOKE, ON M9P 2Z7",7271-Carpenters,2
,,J.F. Millenium Construction Inc.,"Toronto, ON M6M 5G3",7271-Carpenters,1
,,Jabil Canada Corporation,"KANATA, ON K2K 2B5",2133-Electrical and electronics engineers,1
,,Jasco Food Inc.,"London, ON N6E 1V4",0621-Retail and wholesale trade managers,1
,,JDB Plastic Recycling Inc.,"Mississauga, ON L4W 2W5",7231-Machinists and machining and tooling inspectors,1
,,Jeem Services Ltd.,"Kitchener, ON N2P 2H8",0711-Construction managers,1
,,Jia Development Inc,"TORONTO, ON M2N 0G3","0013-Senior managers - financial, communications and other business services",1
,,Jomar Carpentry Inc,"Toronto, ON M9P 2R6",7271-Carpenters,1
,,K.O.S Design Inc.,"ETOBICOKE, ON M8Z 1M6",7271-Carpenters,1
,,Kingfield Racing Stable Ltd.,"Maple, ON L6A 2A5","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,,,8431-General farm workers,2
,,King's University College at Western University,"London, ON N6A 2M3",4011-University professors and lecturers,1
