"Employers who were Issued a Positive Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and Business Location in 2020 (April-June)",,,,,
Province/Territory,Stream,Employer Name,Address,Occupation,Approved Positions
Quebec,  Primary Agriculture,Ferme Saguelait Inc.,"La Baie, QC G7B 3N8",8431-General farm workers,1
Quebec,  Primary Agriculture,Ferme Saindon & Fils Inc.,"ST-ALEXANDRE-DE-KAMOURASKA, QC G0L 2G0",8431-General farm workers,1
Quebec,  Primary Agriculture,Ferme Saint-Justin S.E.N.C,"JOLIETTE, QC J6E 2L6",8431-General farm workers,1
Quebec,  Primary Agriculture,Ferme Samson et fils (1987) SENC.,"FARNHAM, QC J2N 2P9",8431-General farm workers,4
Quebec,  Primary Agriculture,Ferme Samuel Bérubé Inc.,"Sainte-Mélanie, QC J0K 3A0",8431-General farm workers,1
Quebec,  Primary Agriculture,Ferme St-Ours Inc.,"SAINT-OURS, QC J0G 1P0",8431-General farm workers,3
Quebec,  Primary Agriculture,Ferme Strebel et Fils Inc.,"SAINT-BLAISE-SUR-RICHELIEU, QC J0J 1W0",8431-General farm workers,1
Quebec,  Primary Agriculture,Ferme St-Valentin senc,"St-Valentin, QC J0L 2L0",8431-General farm workers,1
Quebec,  Primary Agriculture,Ferme Turcotte et Fils SENC.,"SAINT-BRUNO, QC G0W 2L0",8431-General farm workers,1
Quebec,  Primary Agriculture,Ferme Unik Inc.,"Farnham, QC J2N 2N4",8431-General farm workers,1
Quebec,  Primary Agriculture,Ferme Vachalê senc.,"Sainte-Anne-des-Plaines, QC J0N 1H0",8431-General farm workers,1
Quebec,  Primary Agriculture,Ferme Valupierre Inc,"Saint-Laurent-de-l'Ile-d'Orléans, QC G0A 3Z0",8431-General farm workers,4
Quebec,  Primary Agriculture,Ferme Vertulait 2006 Inc.,"WARWICK, QC J0A 1M0",8431-General farm workers,1
Quebec,  Primary Agriculture,Ferme Viajac et Fils Senc.,"MIRABEL, QC J7N 2T4",8431-General farm workers,2
Quebec,  Primary Agriculture,Ferme Vianney et Marguerite Turcot inc.,"Saint-André-Avellin, QC J0V 1W0",8431-General farm workers,1
Quebec,  Primary Agriculture,Ferme Villers 2003 Inc.,"Bécancour, QC G9H 3P1",8431-General farm workers,1
Quebec,  Primary Agriculture,Ferme YM Lacasse Senc,"ROUYN-NORANDA, QC J0Z 1S0",8431-General farm workers,2
Quebec,  Primary Agriculture,Ferme Yves Croteau & Fils Inc,"UPTON, QC J0H  2E",8431-General farm workers,1
Quebec,  Primary Agriculture,Ferme Yves Lacoste et Fils Inc.,"UPTON, QC J0H 2E0",8431-General farm workers,1
Quebec,  Primary Agriculture,Fermes D & M Sauriol SENC.,"Laval, QC H7J 1C9",8431-General farm workers,7
Quebec,  Primary Agriculture,Fermes Froment & Fils inc. (Les),"St-Paul-de-Joliette, QC J0K 3E0",8431-General farm workers,3
Quebec,  Primary Agriculture,Fermes G.N.C. inc. (Les),"Saint-Lin-Laurentides, QC J5M 1Y6",8431-General farm workers,12
Quebec,  Primary Agriculture,Fermes Gasser Ltée,"PIKE RIVER, QC J0J 1P0",8431-General farm workers,2
Quebec,  Primary Agriculture,Fermes J.-F. & C. Gagnon inc.,"Saint-Roch-de-L'Achigan, QC J0K 3H0",8431-General farm workers,6
Quebec,  Primary Agriculture,Fermes J.N. Beauchemin & Fils Inc.,"SAINT-OURS, QC J0G 1P0",8431-General farm workers,2
Quebec,  Primary Agriculture,Fermes Jacques Coulombe et Fils Ltée,"Saint-Laurent-de-l'île-d'Orléans, QC G0A 3Z0",8431-General farm workers,15
Quebec,  Primary Agriculture,"Fermes Rivest, Bourgeois inc. (Les)","Rawdon, QC J0K 1S0",8431-General farm workers,2
Quebec,  Primary Agriculture,Fermes Roger Gariépy & Fils inc. (Les),"Saint-Roch-de-L'Achigan, QC J0K 3H0",8431-General farm workers,3
Quebec,  Primary Agriculture,Fermes Trudeau inc.,"SAINT-MATHIEU-DE-BELOEIL, QC J3G 0E3",8432-Nursery and greenhouse workers,3
Quebec,  Primary Agriculture,Fermili (2010) Inc.,"NICOLET, QC J3T 1G8",8431-General farm workers,2
Quebec,  Primary Agriculture,Filles Auclair inc. (Les),"Lavaltrie, QC J5T 3M9",8431-General farm workers,1
Quebec,  Primary Agriculture,Fraisière Faucher inc.,"Pont-Rouge, QC G3H 1L2",8431-General farm workers,38
Quebec,  Primary Agriculture,Fraisière ROU.G.I. et fils inc.,"Sainte-Sabine, QC J0J 2B0",8431-General farm workers,4
Quebec,  Primary Agriculture,François et Lise Méthot Inc.,"LÉVIS, QC G7A 2N7",8431-General farm workers,20
Quebec,  Primary Agriculture,Fromagerie au Gré des Champs Inc.,"St-Jean-sur-Richelieu, QC J2X 5T9",8431-General farm workers,1
Quebec,  Primary Agriculture,Fruits et Légumes RG inc.,"L'ISLET, QC G0R 1X0",8431-General farm workers,4
Quebec,  Primary Agriculture,G Locas et frères Inc,"St Roch de l'Achigan, QC J0K 3H0",8431-General farm workers,4
Quebec,  Primary Agriculture,G.D. Hébert Senc.,"SAINT-CONSTANT, QC J5A 2E7",8431-General farm workers,1
Quebec,  Primary Agriculture,Gabriel Turgeon Inc.,"SAINT-FLAVIEN, QC G0S 2M0",8431-General farm workers,1
Quebec,  Primary Agriculture,Gérard Asselin et Fils Ltée,"N.-D.-de-Lourdes, QC J0K 1K0",8431-General farm workers,6
Quebec,  Primary Agriculture,Gérard Bergeron et fils inc.,"SAINT-LÉON-LE-GRAND, QC J0K 2W0",8431-General farm workers,9
Quebec,  Primary Agriculture,Gérard Bergeron et fils inc.,"SAINT-LÉON-LE-GRAND, QC J0K 2W0",8611-Harvesting labourers,3
Quebec,  Primary Agriculture,Gestion G.R.Y.N. Gilbert Inc.,"SAINTE-CLOTILDE-DE-BEAUCE, QC G0N 1C0",8432-Nursery and greenhouse workers,19
Quebec,  Primary Agriculture,GESTION LIDO INC,"Saint-Lambert, QC G0S 2W0",8431-General farm workers,2
Quebec,  Primary Agriculture,Gestion YFL Inc,"LAC-DROLET, QC G0Y 1C0",8431-General farm workers,1
Quebec,  Primary Agriculture,Groupe Lieutenant inc.,"Stoke, QC J0B 3G0",8431-General farm workers,1
Quebec,  Primary Agriculture,Groupe Passeporc Senc.,"Saint-Sébastien, QC J0J 2C0",8431-General farm workers,1
Quebec,  Primary Agriculture,Isabelle Inc.,"Saint-Michel, QC J0L 2J0",8431-General farm workers,7
Quebec,  Primary Agriculture,Jardin Jouvence Inc.,"Québec, QC G2G 2R2",8432-Nursery and greenhouse workers,3
Quebec,  Primary Agriculture,Jardinier Huard Inc.,"Saint-Joseph, QC G0S 2V0",8431-General farm workers,3
Quebec,  Primary Agriculture,Jardinier Rolland Legault & fils inc.,"Côteau-du-Lac, QC J0L 1B0",8431-General farm workers,6
Quebec,  Primary Agriculture,Jardins de Versailles Inc.,"Mont-St-Grégoire, QC J0J 1K0",8431-General farm workers,5
Quebec,  Primary Agriculture,Jardins G & R Ltée (Les),"SAINT-LIN-LAURENTIDES, QC J5M 2N1",8431-General farm workers,7
Quebec,  Primary Agriculture,Jardins PurDélys Inc.,"SAINT-ISIDORE, QC J0L 2A0",8431-General farm workers,28
Quebec,  Primary Agriculture,Jobry Holstein S.E.N.C.,"SAINT-ALEXANDRE, QC J0J 1S0",8431-General farm workers,1
Quebec,  Primary Agriculture,John Forest Inc.,"Maria, QC G0C 1Y0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Quebec,  Primary Agriculture,Kildare 1 Inc.,"ST-AMBROISE-DE-KILDARE, QC J0K 1C0",8431-General farm workers,1
Quebec,  Primary Agriculture,La Compagnie D'arbres Patrick F. Downey Inc,"SHERBROOKE, QC J1M  1Z",8432-Nursery and greenhouse workers,5
Quebec,  Primary Agriculture,La Ferme Casteljoie inc.,"RIVIÈRE-DU-LOUP, QC G5R 5M6",8431-General farm workers,1
Quebec,  Primary Agriculture,La Ferme des Quatre-Temps Inc.,"Montréal, QC H2Y 2J7",8431-General farm workers,1
Quebec,  Primary Agriculture,La Ferme du Platon Inc.,"SAINTE-CROIX, QC G0S  2H",8431-General farm workers,2
Quebec,  Primary Agriculture,La Ferme Gratien et André Gagné Ltée,"HÉBERTVILLE-STATION, QC G0W 1T0",8431-General farm workers,1
Quebec,  Primary Agriculture,La Ferme Grover Inc.,"LAVAL, QC H7X 4G2",8431-General farm workers,3
Quebec,  Primary Agriculture,La Ferme La Clef des Champs inc.,"SAINTE-CHRISTINE, QC J0H 1H0",8431-General farm workers,2
Quebec,  Primary Agriculture,La Ferme Robrimont senc,"Saint-Pierre-de-la-Rivière-du-Sud, QC G0R 4B0",8431-General farm workers,1
Quebec,  Primary Agriculture,La Jardinerie Fernand Fortier Inc.,"PRINCEVILLE, QC G6L 4K6",8432-Nursery and greenhouse workers,1
Quebec,  Primary Agriculture,La Plantation du Pinacle Inc.,"Coaticook, QC J1A 2S8",8432-Nursery and greenhouse workers,6
Quebec,  Primary Agriculture,La Seigneurie de l'Île d'Orléans inc.,"Saint-François-de-l'Île-d'Orléans, QC G0A 3S0",8432-Nursery and greenhouse workers,2
Quebec,  Primary Agriculture,Lait Brebis du Nord Inc.,"Baie-St-Paul, QC G3Z 2N2","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Quebec,  Primary Agriculture,Le Potager D'Émylou inc.,"Canton Hatley, QC J0B 2C0",8432-Nursery and greenhouse workers,2
Quebec,  Primary Agriculture,Le Potager Grandmont Inc.,"SAINT-GÉDÉON, QC G0W 2P0",8431-General farm workers,2
Quebec,  Primary Agriculture,Le Verger Méli-Mélo Senc,"SAINT-EUSTACHE, QC J7R 2M4",8431-General farm workers,8
Quebec,  Primary Agriculture,Leclerc Agriculture inc.,"St-Augustin-de-Desmaure, QC G3A 1T1",8431-General farm workers,3
Quebec,  Primary Agriculture,L'Équipoule Inc,"MARIEVILLE, QC J3M 1J5",8431-General farm workers,18
Quebec,  Primary Agriculture,Les Atocas de l'Érable inc.,"PLESSISVILLE, QC G6L 1R6",8431-General farm workers,16
Quebec,  Primary Agriculture,Les Chagnon inc.,"Acton Vale, QC J0H 1A0",8431-General farm workers,2
Quebec,  Primary Agriculture,Les Cultures de Chez Nous inc.,"SAINTE-BRIGITTE-DES-SAULTS, QC J0C 1E0",8431-General farm workers,37
Quebec,  Primary Agriculture,Les Cultures du Castor Inc.,"Leclercville, QC G0S 2K0",8431-General farm workers,1
Quebec,  Primary Agriculture,Les Cultures Ferland Inc.,"SAINT-RÉMI, QC J0L 2L0",8431-General farm workers,3
Quebec,  Primary Agriculture,Les Élevages Baillargeon inc.,"Ange-Gardien, QC J0E 1E0",8431-General farm workers,1
Quebec,  Primary Agriculture,Les Élevages Charbonneau Inc.,"SAINT-LOUIS, QC J0G 1K0",8431-General farm workers,4
Quebec,  Primary Agriculture,Les élevages du 6 Inc.,"Stoke, QC J0B 3G0",8431-General farm workers,1
Quebec,  Primary Agriculture,Les Élevages Lemay Inc.,"Saint-Édouard-de-Lotbinière, QC G0S 1Y0",8431-General farm workers,1
Quebec,  Primary Agriculture,Les Élevages Madystar SENC,"La-Visitation-de-Yamaska, QC J0G 1C0",8431-General farm workers,2
Quebec,  Primary Agriculture,Les entreprises agricoles Lacombe inc.,"SAINTE-MARIE-MADELEINE, QC J0H 1S0",8431-General farm workers,2
Quebec,  Primary Agriculture,Les entreprises Bergeron senc,"Saint-Alexandre-d’Iberville,, QC J0J 1S0",8431-General farm workers,1
Quebec,  Primary Agriculture,Les Entreprises Lirane inc.,"Inverness, QC G0S 1K0",8431-General farm workers,1
Quebec,  Primary Agriculture,LES ENTREPRISES MJT INC.,"HENRYVILLE, QC J0J 1E0",8431-General farm workers,1
Quebec,  Primary Agriculture,Les Entreprises Noldeau inc.,"SAINT-EUGÈNE-DE-GUIGUES, QC J0Z 3L0",8431-General farm workers,1
Quebec,  Primary Agriculture,Les Entreprises Pitre Inc.,"Mont-Laurier, QC J9L 3G5",8431-General farm workers,1
Quebec,  Primary Agriculture,Les Entreprises Robert Charette Inc.,"Saint-Gabriel-de-Brandon, QC J0K 2N0",8431-General farm workers,7
Quebec,  Primary Agriculture,Les entreprises Serge Cantin Inc.,"St-Christophe-d'Arthbaska, QC G6R  0S",8431-General farm workers,2
Quebec,  Primary Agriculture,Les Fermes Alcaro inc.,"SAINT-RÉMI, QC J0L 2L0",8431-General farm workers,17
Quebec,  Primary Agriculture,Les Fermes Coddington Inc.,"Melbourne, QC J0B 2B0",8431-General farm workers,2
Quebec,  Primary Agriculture,Les Fermes Cotopierre inc.,"Rimouski, QC G5N 1W9",8431-General farm workers,1
Quebec,  Primary Agriculture,Les Fermes Élio Notaro et fils inc,"Sherrington, QC J0L 2N0",8431-General farm workers,30
Quebec,  Primary Agriculture,Les Fermes G.Nadon Inc.,"LAVAL, QC H7J 1G6",8431-General farm workers,4
Quebec,  Primary Agriculture,Les Fermes Jan-Nik Inc.,"SAINTE-MARIE-MADELEINE, QC J0H 1S0",8431-General farm workers,2
Quebec,  Primary Agriculture,Les Fermes Michel Beaulieu Inc.,"SAINT-ÉDOUARD, QC J0L 1Y0",8431-General farm workers,7
Quebec,  Primary Agriculture,Les Fermes Parent-Beauregard inc.,"Saint-Joachim-de-Shefford, QC J0E 2G0",8431-General farm workers,2
Quebec,  Primary Agriculture,Les Fermes Serbi Inc.,"Saint-Eustache, QC J7R 4K3",8431-General farm workers,1
Quebec,  Primary Agriculture,Les Fermes V. Forino & fils inc.,"Sherrington, QC J0L 2N0",8431-General farm workers,8
Quebec,  Primary Agriculture,Les Gazons Ste-Julie Ltée,"Les Coteaux, QC J7X 1G4",8431-General farm workers,1
Quebec,  Primary Agriculture,Les Immeubles Clément Dubois Inc.,"LÉVIS, QC G6V 6E1",8431-General farm workers,1
Quebec,  Primary Agriculture,Les Jardiniers Idéal Ltée,"Saint-Michel, QC J0L 2J0",8431-General farm workers,4
Quebec,  Primary Agriculture,Les Jardins d'Ambroise Inc.,"Saint-Ambroise-de-Kildare, QC J0K 1C0",8431-General farm workers,3
Quebec,  Primary Agriculture,Les jardins d'Arlington,"STANBRIDGE EAST, QC J0J 2H0",8431-General farm workers,3
Quebec,  Primary Agriculture,Les Jardins de la Côte Double senc.,"St-Césaire, QC J0L 1T0",8431-General farm workers,3
Quebec,  Primary Agriculture,Les Jardins d'Oka Inc.,"Oka, QC J0N 1E0",8431-General farm workers,17
Quebec,  Primary Agriculture,Les Jardins IEC Dubuc Inc.,"St-Édouard, QC J0L 1Y0",8431-General farm workers,3
Quebec,  Primary Agriculture,Les Jardins Lefort inc,"Sainte-Clotilde, QC J0L 1W0",8431-General farm workers,2
Quebec,  Primary Agriculture,Les Jardins Martin Riendeau inc,"SAINT-RÉMI, QC J0L 2L0",8431-General farm workers,4
Quebec,  Primary Agriculture,Les Jardins Michel Corbeil Inc.,"Saint-Eustache, QC J7R 4K3",8432-Nursery and greenhouse workers,1
Quebec,  Primary Agriculture,Les Jardins Paul Cousineau & Fils Inc.,"St-Constant, QC J5A 0R2",8431-General farm workers,1
Quebec,  Primary Agriculture,Les jardins Raymond Inc.,"Saint-Michel, QC J0L 2J0",8431-General farm workers,4
Quebec,  Primary Agriculture,Les Jardins Vegibec inc.,"Oka, QC J0N 1E0",8431-General farm workers,41
Quebec,  Primary Agriculture,Les Maraichers Bombardier Inc.,"ST-EDOUARD, QC J0L  1Y",8431-General farm workers,2
Quebec,  Primary Agriculture,Les Maraîchers Saint-Sulpice Inc.,"SAINT-SULPICE, QC J5W 3X3",8431-General farm workers,4
Quebec,  Primary Agriculture,Les Patates Turcot Inc,"St-Lin-Laurentides, QC J5M 2A1",8431-General farm workers,1
Quebec,  Primary Agriculture,Les Plantations de la Baie S.E.N.C.,"CARLETON-SUR-MER, QC G0C 1J0",8432-Nursery and greenhouse workers,12
Quebec,  Primary Agriculture,Les Porcs Marineau Inc.,"Lyster, QC G0S 1V0",8431-General farm workers,1
Quebec,  Primary Agriculture,Les Productions Horticoles Demers inc,"Lévis, QC G7A 0R7",8431-General farm workers,20
Quebec,  Primary Agriculture,Les Produits Forino inc.,"St-Clotilde de Châteauguay, QC J0L 1W0",8431-General farm workers,1
Quebec,  Primary Agriculture,Les Serres Biologico Inc.,"SAINTE-SOPHIE, QC J5J 2V3",8432-Nursery and greenhouse workers,2
Quebec,  Primary Agriculture,Les Serres Demers Inc.,"Lévis, QC G7A 0R7",8432-Nursery and greenhouse workers,30
Quebec,  Primary Agriculture,Les Serres Lamarche SENC,"Compton, QC J0B 1L0",8432-Nursery and greenhouse workers,2
Quebec,  Primary Agriculture,Les Serres Lefort Inc,"Ste-Clotilde, QC J0L 1W0",8432-Nursery and greenhouse workers,52
Quebec,  Primary Agriculture,Les serres Royales inc.,"SAINT-JÉRÔME, QC J7Z 7M2",8431-General farm workers,4
Quebec,  Primary Agriculture,Les serres Royales inc.,"SAINT-JÉRÔME, QC J7Z 7M2",8432-Nursery and greenhouse workers,4
Quebec,  Primary Agriculture,Les Serres Sagami Inc.,"Sainte-Marthe de Vaudreuil, QC J0P 1W0",8432-Nursery and greenhouse workers,1
Quebec,  Primary Agriculture,Les Serres Savoura Danville Inc.,"SAINTE-SOPHIE, QC J5J 2V3",8432-Nursery and greenhouse workers,5
Quebec,  Primary Agriculture,Les Serres Savoura Saint-Étienne inc.,"SAINTE-SOPHIE, QC J5J 2V3",8432-Nursery and greenhouse workers,2
Quebec,  Primary Agriculture,Les Serres Vert Cannabis Inc.,"Mirabel, QC J7N 1P5",8432-Nursery and greenhouse workers,114
Quebec,  Primary Agriculture,Les Verdures de l'Isle,"Trois-Pistoles, QC G0L 4K0",8431-General farm workers,1
Quebec,  Primary Agriculture,Les Vergers Cataphard et fils inc.,"Saint-Joseph-du-Lac, QC J0N 1M0",8431-General farm workers,4
Quebec,  Primary Agriculture,Les Vergers Denis Charbonneau inc.,"Mont Saint-Grégoire, QC J0J 1K0",8431-General farm workers,2
Quebec,  Primary Agriculture,Les Vergers Multi-Pommes Inc.,"St-Joseph-du-Lac, QC J0N 1M0",8431-General farm workers,8
Quebec,  Primary Agriculture,Les Viandes Biologiques de Charlevoix inc.,"SAINT-URBAIN, QC G0A 4K0",8431-General farm workers,1
Quebec,  Primary Agriculture,L'Oiselier de St-Bernard inc.,"St-Bernard, QC G0S 2G0",8431-General farm workers,4
Quebec,  Primary Agriculture,Luma Génétique Inc.,"SAINT-BERNARD, QC G0S 2G0",8431-General farm workers,2
Quebec,  Primary Agriculture,Machinerie L.A.M. inc,"Inverness, QC G0S 1K0",8431-General farm workers,3
Quebec,  Primary Agriculture,Maraîcher DJM Inc.,"L'ASSOMPTION, QC J5W 4Y6",8431-General farm workers,1
Quebec,  Primary Agriculture,Maraîchers MG inc. (Les),"SAINT-LIN-LAURENTIDES, QC J5M 2A2",8431-General farm workers,1
Quebec,  Primary Agriculture,Mario Côté inc,"Stoke, QC J0B 3G0",8431-General farm workers,4
Quebec,  Primary Agriculture,Mas & Fils Jardiniers Ltée,"Saint-Michel, QC J0L 2J0",8431-General farm workers,16
Quebec,  Primary Agriculture,Méloporc inc.,"SAINT-THOMAS, QC J0K 3L0",8431-General farm workers,3
Quebec,  Primary Agriculture,Messi-Beau Inc,"SAINT-CÉSAIRE, QC J0L 1T0",8431-General farm workers,2
Quebec,  Primary Agriculture,Multiporc inc.,"SAINT-WENCESLAS, QC G0Z 1J0",8431-General farm workers,1
Quebec,  Primary Agriculture,N & L ST-Denis SENC.,"Oka, QC J0N 1E0",8431-General farm workers,17
Quebec,  Primary Agriculture,Napierveau Ltée,"Saint-Hyacinthe, QC J2R 1L1",8431-General farm workers,3
Quebec,  Primary Agriculture,Nation de l'érable Brien inc,"St-Anne-de-la-Rochelle, QC J0E 2B0",8431-General farm workers,4
Quebec,  Primary Agriculture,Novafruit inc.,"SAINT-PAUL-D'ABBOTSFORD, QC J0E 1A0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Quebec,  Primary Agriculture,Novafruit inc.,"SAINT-PAUL-D'ABBOTSFORD, QC J0E 1A0",8431-General farm workers,46
Quebec,  Primary Agriculture,Nutrableu inc.,"Normandin, QC G8M 4S6",8431-General farm workers,36
Quebec,  Primary Agriculture,Nutrimix ltée,"WICKHAM, QC J0C 1S0",8431-General farm workers,7
Quebec,  Primary Agriculture,O Saine Terre,"L'Assomption, QC J5W 4Y1",8431-General farm workers,2
Quebec,  Primary Agriculture,Ovac Inc.,"WICKHAM, QC J0C 1S0",8431-General farm workers,6
Quebec,  Primary Agriculture,Paradis des fraises J. Auclair & Fils inc.,"Lavaltrie, QC J5T 3P4",8431-General farm workers,17
Quebec,  Primary Agriculture,Patates Dolbec Inc.,"Saint-Ubalde, QC G0A 4L0",8431-General farm workers,2
Quebec,  Primary Agriculture,Patates Dolbec Inc.,"Saint-Ubalde, QC G0A 4L0",8611-Harvesting labourers,3
Quebec,  Primary Agriculture,Patoine et Frères Inc.,"FORTIERVILLE, QC G0S 1J0",8431-General farm workers,6
Quebec,  Primary Agriculture,Pépinière et Paysages Marcel Marin inc.,"St-Augustin-de-Desmaures, QC G3A 1W7","8255-Contractors and supervisors, landscaping, grounds maintenance and horticulture services",1
Quebec,  Primary Agriculture,Pigeon 2006 inc,"Saint come, QC J0K 2B0",8431-General farm workers,25
Quebec,  Primary Agriculture,Plantations Nicholas Inc.,"SAINTE-CLOTILDE-DE-BEAUCE, QC G0N 1C0",8432-Nursery and greenhouse workers,7
Quebec,  Primary Agriculture,Pomi Inc,"FRANKLIN, QC J0S 1E0",8431-General farm workers,17
Quebec,  Primary Agriculture,Pomme de Terre Lanaudoise inc. (La),"JOLIETTE, QC J6E 0L1",8431-General farm workers,2
Quebec,  Primary Agriculture,Porc SB inc.,"SAINT-ELZÉAR, QC G0S 2J1",8431-General farm workers,1
Quebec,  Primary Agriculture,Porcherie Marigro Inc,"St-Rémi de Tingwick, QC J0A 1K0",8431-General farm workers,1
Quebec,  Primary Agriculture,Potager Mont-Rouge Senc,"ROUGEMONT, QC J0L 1M0",8431-General farm workers,2
Quebec,  Primary Agriculture,Production Laitière Gagné inc.,"COATICOOK, QC J1A 2S4",8431-General farm workers,1
Quebec,  Primary Agriculture,Productions D. Riendeau Inc.,"Sant-Rémi, QC J0L 2L0",8431-General farm workers,6
Quebec,  Primary Agriculture,Productions maraîchères Mailhot inc.,"St-Alexis-de-Montcalm, QC J0K 1T0",8431-General farm workers,2
Quebec,  Primary Agriculture,Produits Mont-Blanc (9071-1979QC inc.),"N.-Dame-de-Lourdes, QC J0K 1K0",8431-General farm workers,6
Quebec,  Primary Agriculture,Produits Ricard Inc. (Les),"St-Alexis, QC J0K 1T0",8431-General farm workers,12
Quebec,  Primary Agriculture,Qualité Delbi inc,"Côteau-du-lac, QC J0P 1B0",8431-General farm workers,3
Quebec,  Primary Agriculture,R. Paré et fils inc.,"Compton, QC J0B 1L0",8431-General farm workers,1
Quebec,  Primary Agriculture,R. Pinsonneault & fils Ltée,"Saint-Michel, QC J0L 2J0",8431-General farm workers,7
Quebec,  Primary Agriculture,R.Robitaille et fils inc.,"Farnham, QC J2N 2N4",8431-General farm workers,1
Quebec,  Primary Agriculture,Ranch Alain Belhumeur Inc.,"SAINT-CUTHBERT, QC J0K 2C0",8431-General farm workers,2
Quebec,  Primary Agriculture,Réséco Inc.,"St-Wenceslas, QC G0Z 1J0",8431-General farm workers,6
Quebec,  Primary Agriculture,RGR Guinois inc.,"Ste-Clotilde, QC J0L 1W0",8431-General farm workers,30
Quebec,  Primary Agriculture,Rose Drummond 2017 inc.,"Drummondville, QC J2B 8A9",8432-Nursery and greenhouse workers,1
Quebec,  Primary Agriculture,RPAO S.E.C.,"SAINTE-MARIE, QC G6E 0L9",8431-General farm workers,1
Quebec,  Primary Agriculture,Service Avicole JGL (9091-8558 Québec Inc.),"VICTORIAVILLE, QC G6T  2B",8431-General farm workers,4
Quebec,  Primary Agriculture,Sogeporc Inc.,"St-Hyacinthe, QC J2S 4B6","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Quebec,  Primary Agriculture,Terrassement Goupil Inc.,"PINTENDRE, QC G6C 1P9",8432-Nursery and greenhouse workers,1
Quebec,  Primary Agriculture,Théorêt et Fils Maître Maraîcher Inc.,"Ile-Bizard, QC H9E 1K3",8431-General farm workers,5
Quebec,  Primary Agriculture,Tozer Multi-ressources & Services inc.,"Bonaventure, QC G0C 1E0",8431-General farm workers,3
Quebec,  Primary Agriculture,Verger Caron Inc.,"FRELIGHSBURG, QC J0J 1C0",8431-General farm workers,31
Quebec,  Primary Agriculture,Verger Coeur de Pomme Senc.,"Oka, QC J0N 1E0",8431-General farm workers,12
Quebec,  Primary Agriculture,Verger des Bois-Francs inc.,"PRINCEVILLE, QC G6L 4K6",8431-General farm workers,84
Quebec,  Primary Agriculture,Verger Henryville senc,"HENRYVILLE, QC J0J 1E0",8431-General farm workers,1
Quebec,  Primary Agriculture,Verger Maïa Inc.,"Saint-Joseph-du-Lac, QC J0N 1M0",8431-General farm workers,3
Quebec,  Primary Agriculture,Verger Messier senc,"St-Jean-Baptiste-de-Rouville, QC J0L 2B0",8431-General farm workers,6
Quebec,  Primary Agriculture,Verger Roger Côté inc.,"ROUGEMONT, QC J0L 1M0",8431-General farm workers,6
Quebec,  Primary Agriculture,Verger Thomson inc.,"ST-PAUL-D'ABBOTSFORD, QC J0E 1A0",8431-General farm workers,94
Quebec,  Primary Agriculture,Verger Yvan Duchesne Inc.,"MONT-SAINT-GRÉGOIRE, QC J0J 1K0",8431-General farm workers,2
Quebec,  Primary Agriculture,Vergers DM Boileau inc,"Havelock, QC J0S 2C0",8431-General farm workers,12
Quebec,  Primary Agriculture,Vergers et Jardins Caouette SENC,"L'ISLET, QC G0R 1X0",8431-General farm workers,2
Quebec,  Primary Agriculture,Vergers et serres St-Paul senc,"SAINT-PAUL-D'ABBOTSFORD, QC J0E 1A0",8431-General farm workers,27
Quebec,  Primary Agriculture,Vergers Paul Jodoin Inc.,"St-Jean-Baptiste, QC J0L 2B0",8431-General farm workers,20
Quebec,  Primary Agriculture,Vert Nature inc,"Sherrington, QC J0L 2N0",8431-General farm workers,125
Quebec,  Primary Agriculture,vieux saule holstein inc.,"SAINT-ESPRIT, QC J0K 2L0",8431-General farm workers,1
Quebec,  Primary Agriculture,Vignoble de l'Orpailleur Inc.,"DUNHAM, QC J0E 1M0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Quebec, Global Talent Stream,6362222 Canada Inc,"Montréal, QC H3E 3B3",2173-Software engineers and designers,1
Quebec, Global Talent Stream,9178-8877 Québec Inc.,"Montréal, QC H1M 2S5",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,9208-3401 Québec inc.,"Québec, QC G2J 0C4",2174-Computer programmers and interactive media developers,2
Quebec, Global Talent Stream,9208-3401 Québec inc.,"Québec, QC G2J 0C4",2175-Web designers and developers,1
Quebec, Global Talent Stream,9280-0366 Québec Inc.,"Montréal, QC H2T 1X3",5241-Graphic designers and illustrators,1
Quebec, Global Talent Stream,9348-8104 Québec Inc.,"Montreal, QC H4C 2C7",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,9370-3437 Québec Inc,"Montréal, QC H3B  2E",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Agence du revenu du Québec,"Québec, QC G1X 4A5",2171-Information systems analysts and consultants,5
Quebec, Global Talent Stream,agileDSS,"Montréal, QC H2Y 2G3",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,ALTEN Canada Inc.,"Montréal, QC H3B 4N4",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,ALTEN Canada Inc.,"Montréal, QC H3B 4N4",2174-Computer programmers and interactive media developers,2
