"Employers who were issued a negative Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and business location in 2018 (October-December)",,,,,
Province/Territory,Stream,Employer,Address,Occupaitons under NOC 2011,Requested Positions
,,Suncor Energy Services Inc,"CALGARY, AB T2P 3E3","7302-Contractors and supervisors, heavy equipment operator crews",1
,,Superior Flood & Fire Restoration Inc.,"CALGARY, AB T2P 5C5",1523-Production logistics co-ordinators,1
,,"Superior Screens, Conveyors & Crushers, Inc.","CALGARY, AB T2C 1H8",0601-Corporate sales managers,1
,,Top Fashion Jewellery and Scenic Inc.,"EDMONTON, AB T6R 2M5",4163-Business development officers and marketing researchers and consultants,1
,,Welcome Inn Ltd,"SWAN HILLS, AB T0G 2C0",6312-Executive housekeepers,1
,,,,"6313-Accommodation, travel, tourism and related services supervisors",1
,,Wespen Industries Ltd.,"Calgary, AB T2C 2H2",0111-Financial managers,1
,,YYC Doctors Corp,"CALGARY, AB T1Y 5S5",3111-Specialist physicians,1
,   Low Wage,1007318 Alberta Ltd o/a Subway,"Cold Lake, AB T9M 1P2",6311-Food service supervisors,2
,,1072995 Alberta Ltd.,"Sherwood Park, AB T8H 2S9",6322-Cooks,1
,,1213166 Alberta Ltd,"Calgary, AB T2Y 4S6",6322-Cooks,1
,,1257128 Alberta Ltd. o/a Gregoire Carwash,"Fort McMurray, AB T9H 3R2",6315-Cleaning supervisors,1
,,1352517 Alberta Ltd.,"Red Deer, AB T4P 0S8",6311-Food service supervisors,1
,,1404402 Alberta Ltd,"Taber, AB T1G 1C9",6311-Food service supervisors,1
,,1447028 Alberta Ltd.  o/a Domino's Pizza,"ROCKYVIEW, AB T4A 0N1",0631-Restaurant and food service managers,1
,,1570081 Alberta Ltd,"Canmore, AB T1W 2T8",4214-Early childhood educators and assistants,1
,,1589220 Alberta Ltd. o/a Lamplighter Inn,"Three Hills, AB T0M 2A0",6315-Cleaning supervisors,1
,,1603988 Alberta Ltd. o/a 24/7 Esso /Fas Gas/Pioneer Pizza,"SYLVAN LAKE, AB T4S 0A5",6311-Food service supervisors,1
,,1641654 Alberta Ltd. o/a 2 for 1 Pizza Express,"BARRHEAD, AB T7N 1A3",6311-Food service supervisors,1
,,1667278 Alberta Ltd,"Hardisty, AB T0B 1V0",6211-Retail sales supervisors,1
,,1686226 Alberta Ltd,"Pincher Creek, AB T0K 1W0",6315-Cleaning supervisors,1
,,1724220 Alberta Ltd.,"Edmonton, AB T6J 5H2","6313-Accommodation, travel, tourism and related services supervisors",1
,,1729570 Alberta Ltd.  o/a Trust Electrical,"EDMONTON, AB T6T 0K6",1241-Administrative assistants,1
,,1760221 Alberta Ltd,"Grande Prairie, AB T8V 6B5",6311-Food service supervisors,1
,,1786232 Alberta Ltd,"Calgary, AB T2M 0K9",6311-Food service supervisors,1
,,1853456 Alberta Ltd. o/a Cassios Italian Restaurant,"JASPER, AB T0E 1E0",6322-Cooks,1
,,1861574 Alberta Ltd o/a Warburg Esso,"WARBURG, AB T0E 2K0",6211-Retail sales supervisors,1
,,1865549 Alberta Ltd o/a TIM HORTONS,"RED DEER, AB T4N 4E2",6311-Food service supervisors,2
,,1871057 Alberta Inc. o/a Paul's Pizza and Steak House,"Airdrie, AB T4B 1S2",6311-Food service supervisors,1
,,1883656 Alberta Ltd. o/a Springs Motor Inn,"Wainwright, AB T9W 1L2","6313-Accommodation, travel, tourism and related services supervisors",1
,,1911594 ALBERTA LTD. O/A VIKING HOTEL,"VIKING, AB T0B 4N0",1241-Administrative assistants,1
,,,,6315-Cleaning supervisors,1
,,1918644 Alberta Ltd. o/a Boston Pizza Wainwrigh,"Wainwright, AB T9W 1B3",6322-Cooks,1
,,1958740 Alberta Inc. o/a Opa! of Greece,"ROCKY VIEW COUNTY, AB T1Z 0A3",6311-Food service supervisors,1
,,1999179 Alberta Ltd. o/a Fas Gas Plus,"Millet, AB T0C 1Z0",6211-Retail sales supervisors,1
,,2000977 Alberta Ltd. o/a NIXX NEIGHBOURHOOD PUB,"Calgary, AB T2E 3M8",6322-Cooks,1
,,2006922 Alberta Ltd. O/A Tapsilog,"EDMONTON, AB T6H 0K8",6311-Food service supervisors,1
,,2023428 Alberta Ltd,"EDMONTON, AB T5G 3E8",6322-Cooks,1
,,2038254 Alberta Ltd.,"EDMONTON, AB T6H 1S7",6311-Food service supervisors,1
,,396725 Alberta Ltd o/a Lewis Estates Car Wash,"EDMONTON, AB T5Z 3E2",6315-Cleaning supervisors,1
,,581257 Alberta Ltd o/a CROWN LIQUOR STORE,"EDMONTON, AB T6C 4A7",6211-Retail sales supervisors,1
,,7204884 Canada Inc o/a Mobilinq,"GRAND PRAIRIE, AB T8V 3Y2",6211-Retail sales supervisors,1
,,823674 Alberta Inc. o/a Creative Kids Academy (CKA),"Calgary, AB T1Y 5V8",4214-Early childhood educators and assistants,1
,,941624 Alberta Ltd.,"High Level, AB T0H 1Z0",6322-Cooks,1
,,959428 Alberta Ltd,"Fort McMurray, AB T9H 3R2",6311-Food service supervisors,1
,,Atlas Growers Ltd.,"EDMONTON, AB T5J 3H1","0013-Senior managers - financial, communications and other business services",1
,,,,2121-Biologists and related scientists,1
,,Aventa Treatment Founation for Women,"CALGARY, AB T2S 0L6","4153-Family, marriage and other related counsellors",1
,,Avleen Skincare & threading Studio Ltd.,"Chestermere, AB T1X 1M1",6341-Hairstylists and barbers,1
,,Bamboo Garden Ltd,"Banff, AB T1L 1C7",6322-Cooks,1
,,BOA NOVA CONTRACTING LTD.,"EDMONTON, AB T6E 3J4",7291-Roofers and shinglers,1
,,Carbolyn Investments Ltd. o/a Esso Reddi Mart,"Peace River, AB T8S 1R2",6315-Cleaning supervisors,1
,,Choice Janitorial Services Ltd.,"Red Deer, AB T4R 2X2",6315-Cleaning supervisors,3
,,Coltons Consulting & Maintenance Inc,"Rocky View, AB T1X 0K3",7452-Material handlers,1
,,Creekside Support Services Ltd,"Edmonton, AB T6C 4R1","3413-Nurse aides, orderlies and patient service associates",1
,,Dallas Pizza & Spaghetti Ltd,"EDMONTON, AB T6A 1H5",6311-Food service supervisors,1
,,Devon Pizza Ltd.,"Devon, AB T9G 0A6",6322-Cooks,2
,,Hinton Friendship Centre Society,"HINTON, AB T7V 1X6",4212-Social and community service workers,1
,,Honey Bunny Inc.,"GUY, AB T0H 1Y0",2211-Chemical technologists and technicians,1
,,Jasdeep Trucking Ltd.,"CALGARY, AB T3J 0R6",7511-Transport truck drivers,1
,,Jasper Subs Inc o/a Subway,"JASPER, AB T0E 1E0",6311-Food service supervisors,1
,,Karuna Krishna Consulting Inc.,"EDMONTON, AB T6X 1N2",2171-Information systems analysts and consultants,1
,,Kinjo Sushi & Grill Ltd,"Calgary, AB T3A 5R8",6511-Maîtres d'hôtel and hosts/hostesses,2
,,KLB Group Limited,"Red Deer, AB T4N 3Z2","6313-Accommodation, travel, tourism and related services supervisors",1
,,KT Timberlea Ltd o/a KFC/Taco Bell,"Fort McMurray, AB T9K 0M3",6311-Food service supervisors,1
,,,,6322-Cooks,2
,,Lake Louise Holdings Co Ltd o/a Javalanche Cafe,"LAKE LOUISE, AB T0L 1E0",6311-Food service supervisors,2
,,Manuel Latruwe Belgian Patisserie & Bread Shop,"Calgary, AB T2G 5L1",6321-Chefs,1
,,Marathos Tsaprailis Holdings,"Calgary, AB T2Y 2Z3",6311-Food service supervisors,1
,,Mashawi Mix Ltd.,"CALGARY, AB T1Y 2K1",6311-Food service supervisors,1
,,Norfort Gymnastics Association,"Fort McMurray, AB T9H 1W8",5252-Coaches,1
,,Omega Flooring Ltd,"Lethbridge, AB T1J 0J9",7295-Floor covering installers,1
,,Panalta - 3 Investments Ltd,"Olds, AB T4H 1J5",6311-Food service supervisors,1
,,Prosperity 838 Enterprises Ltd. o/a Golden Rice Bowl Restaurant,"Edmonton, AB T6H 4P8",6322-Cooks,1
,,PTL Carrier Ltd,"EDMONTON, AB T6X 2C6",7511-Transport truck drivers,2
,,Ric's Lounge & Grill (Edmonton-Airport) Ltd.,"Edmonton, AB T5Y 0A2",6311-Food service supervisors,1
,,Roadhouse Restaurant Ltd.,"Strathmore, AB T1P 1M6",0631-Restaurant and food service managers,1
,,Skafar Enterprises Ltd o/a Subway,"Edmonton, AB T5X 4C6",1241-Administrative assistants,1
,,Skywatch Security and Automations Ltd.,"Edmonton, AB T5J 3R8",6211-Retail sales supervisors,1
,,Stephen Regulatory Specialists Ltd,"CALGARY, AB T3H 2W2",2131-Civil engineers,1
,,Stepping Stone Child Development Center Inc.,"EDMONTON, AB T5Z 0L3",4214-Early childhood educators and assistants,1
,,Sushi Boat (Sushi Bune) Inc.,"Calgary, AB T3A 5S3",6322-Cooks,1
,,Syphay Restaurant Ltd,"Edmonton, AB T6H 1G9",6311-Food service supervisors,1
,,The Three Amigos Ltd,"EDMONTON, AB T6J 2S3",0631-Restaurant and food service managers,1
,,,,6311-Food service supervisors,1
,,Urban Granite Ltd,"Edmonton, AB T6E 3L4",1522-Storekeepers and partspersons,1
,,Whitecourt Transport Inc.,"WHITECOURT, AB T7S 0A2",7511-Transport truck drivers,1
,  Primary Agriculture,Ben & Donna Walter Farms Ltd,"Lethbridge, AB T1H 5J8",8431-General farm workers,5
,,Bonnyville Forest Nursery Inc.,"BONNYVILLE, AB T9N 2M9",8432-Nursery and greenhouse workers,8
British Columbia,    High Wage,0724135 BC Ltd.,"SQUAMISH, BC V0N 1T0",0631-Restaurant and food service managers,1
,,0772185 BC Ltd.,"Vancouver, BC V6B 2Z4","5131-Producers, directors, choreographers and related occupations",1
,,0890219 BC Ltd o/a Subway,"PRINCE GEORGE, BC V2L 2K5",6321-Chefs,1
,,0945003 BC Ltd o/a Advanced Learning Centre,"Surrey, BC V3W 2V3",4021-College and other vocational instructors,2
,,1003454 BC Ltd O/a D Sign Hub,"Surrey, BC V3W 3A6",7381-Printing press operators,1
,,1173505 B.C. Ltd.,"SURREY, BC V3W 2N8",0621-Retail and wholesale trade managers,1
,,Abbotsford Nissan Ltd.,"ABBOTSFORD, BC V2T 5M1","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,ABC Auto & Window Glass Ltd,"Surrey, BC V3W 0K8",7292-Glaziers,1
,,"Allied Plumbing, Heating & Air Conditioning Ltd","Burnaby, BC V5C 3X1",7251-Plumbers,1
,,Allstar Holdings Inc.,"Vancouver, BC V5L 1T5","7384-Other trades and related occupations, n.e.c.",1
,,Amex Framing Ltd,"VANCOUVER, BC V5X 1S1",7271-Carpenters,2
,,Am-Pri Construction Ltd,"Richmond, BC V6W 1E5",0711-Construction managers,1
,,AS2 Framing Ltd.,"SURREY, BC V3V 7T7",7271-Carpenters,1
,,Aspen Enterprises Inc.,"Surrey, BC V3X 1J4",7271-Carpenters,2
,,Avis Insulation Ltd.,"DELTA, BC V4C 7A9",7293-Insulators,2
,,Barcelos Nordel Restaurants Ltd.  o/a Barcelos,"SURREY, BC V3W 1P8",0631-Restaurant and food service managers,1
,,,,1221-Administrative officers,1
,,Barron Contracting Group Inc.,"RICHMOND, BC V6V 2R6",7295-Floor covering installers,1
,,Bay Bridge Transport Ltd,"SURREY, BC V4N 1C1","7305-Supervisors, motor transport and other ground transit operators",1
,,Best Home Mechanical Ltd,"North Vancouver, BC V7M 3C5",7241-Electricians (except industrial and power system),1
,,BGN Construction Ltd,"Surrey, BC V3W 2S1",7271-Carpenters,3
,,Big Ben Construction Inc.,"Vancouver, BC V5R 5K6",7271-Carpenters,4
,,Boyal Enterprises Ltd,"Abbotsford, BC V2T 1T7",7271-Carpenters,2
,,Cheema Framing Ltd,"SURREY, BC V3W 5S8",7271-Carpenters,1
,,CK Marketing Solutions Inc.,"VANCOUVER, BC V6B 1P2",6411-Sales and account representatives - wholesale trade (non-technical),1
,,Cody Creek Contracting Ltd.,"HOUSTON, BC V0J 1Z0",7511-Transport truck drivers,2
,,Colonial Countertops Ltd.,"Burnaby, BC V5C 4E2",2233-Industrial engineering and manufacturing technologists and technicians,1
,,Consol Construction Solution Inc.,"COQUITLAM, BC V3C 6R1",7271-Carpenters,1
,,"Drs. Pouraslani, Shivji Inc. o/a Capilano Mall Dental Care","North Vancouver, BC V7P 1S3",3411-Dental assistants,1
,,EOS Electrical and Renovations Ltd,"Surrey, BC V3W 0X1",7251-Plumbers,1
,,Fast X Transport Inc.,"ABBOTSFORD, BC V2S 1B4",7511-Transport truck drivers,2
,,Flash Electric Ltd,"SURREY, BC V3S 0Y8","7202-Contractors and supervisors, electrical trades and telecommunications occupations",1
,,Fresco Refrigeration Ltd.,"SALT SPRING ISLAND, BC V8K 2N1",7313-Refrigeration and air conditioning mechanics,1
,,Green Jasmine Enterprises Inc.,"VANCOUVER, BC V6P 6P4","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
,,Gurveer Drywall Ltd,"SURREY, BC V3W 4G2",7271-Carpenters,1
,,Hanami Restaurant Ventures Inc.  o/a Hanami,"RICHMOND, BC V7B 1W2",0631-Restaurant and food service managers,2
,,Hapa Yaletown Investments Ltd. o/a Hapa Izakaya Restaurant,"Vancouver, BC V6K 2M4",6321-Chefs,1
,,Hassan Industries Incorporated,"BURNABY, BC V5A 1M4","0014-Senior managers - health, education, social and community services and membership organizations",1
,,Hawk Security Ltd.,"Port Moody, BC V3H 2B4","0124-Advertising, marketing and public relations managers",1
,,,,0621-Retail and wholesale trade managers,1
,,Highend Kitchen Concept Ltd,"SURREY, BC V3W 4G1",7271-Carpenters,2
,,Horizon Landscape Contractors Inc.,"Langley, BC V2Z 2K2","8255-Contractors and supervisors, landscaping, grounds maintenance and horticulture services",1
,,Humanitas Capital Management Ltd,"VANCOUVER, BC V6E 3P3","0122-Banking, credit and other investment managers",1
,,Ideal Drywall Ltd.,"SURREY, BC V3W 3A8","7284-Plasterers, drywall installers and finishers and lathers",2
,,J Singh Construction Ltd.,"SURREY, BC V3V 6C3",1241-Administrative assistants,1
,,Jack Freight & Disposal Services Ltd.,"DELTA, BC V3W 6Y7",1241-Administrative assistants,1
,,Jay-Smart Technologies Inc,"DELTA, BC V4G 3G1",7246-Telecommunications installation and repair workers,3
,,Jayveer Enterprise Ltd.,"Surrey, BC V3R 1E6","7284-Plasterers, drywall installers and finishers and lathers",5
,,,,7611-Construction trades helpers and labourers,3
,,Kania Industries Inc.,"Nanaimo, BC V9T 5L9","6342-Tailors, dressmakers, furriers and milliners",1
,,Knaps Construction Ltd,"Burnaby, BC V5H 4N2","7204-Contractors and supervisors, carpentry trades",1
,,,,7271-Carpenters,2
,,Kracker Cloud Technologies Inc.,"VANCOUVER, BC V5Y 1K1",2175-Web designers and developers,1
,,L&L Natural Wellness Ltd.,"VICTORIA, BC V8W 1S6",0311-Managers in health care,1
,,Lake City Glass Ltd,"WILLIAMS LAKE, BC V2G 1G6",7292-Glaziers,1
,,"M & H Plumbing, Heating and Gas Ltd","Burnaby, BC V5E 3E2",7251-Plumbers,2
,,M R P Framing Ltd,"Surrey, BC V3W 1R1",7271-Carpenters,2
,,Magriotidis Holdings Ltd,"VANCOUVER, BC V6K 1N7","0651-Managers in customer and personal services, n.e.c.",1
,,MBM Metal Fabricators Inc.,"Langley, BC V1M 0B1",6221-Technical sales specialists - wholesale trade,1
,,MCG Mcintosh Construction Group,"Coquitlam, BC V3J 5G9",7271-Carpenters,2
,,ML Mechanicals Ltd.,"Vancouver, BC V5P 2H2",7251-Plumbers,1
,,MLM National Plumbing.com Inc.,"Richmond, BC V6V 1Z4",7251-Plumbers,1
,,Mr. Rubbish Services Inc.,"SURREY, BC V3W 1A4",2263-Inspectors in public and environmental health and occupational health and safety,1
,,Muti Properties Inc.,"Surrey, BC V3V 2S2","7302-Contractors and supervisors, heavy equipment operator crews",1
,,Nahal Mechanicals Ltd,"SURREY, BC V4N 1C9",7251-Plumbers,2
,,Nickels Custom Cabinets Ltd.,"Richmond, BC V6W 1J1","9224-Supervisors, furniture and fixtures manufacturing",1
,,Norquip Services Ltd.,"BURNABY, BC V5J 1P1",5225-Audio and video recording technicians,1
,,NW Fuel Injection Service (1983) Ltd.,"Surrey, BC V4N 4X5",7312-Heavy-duty equipment mechanics,1
,,Olive Fertility Centre Inc.,"VANCOUVER, BC V5Z 3X7",1243-Medical administrative assistants,1
,,Pacific Rim Fire Protection (2008) Ltd,"Surrey, BC V4A 2H9",2253-Drafting technologists and technicians,1
,,Pandher Painting Co.,"Surrey, BC V3X 3R1",1431-Accounting and related clerks,1
,,Pro Woodwork Ltd,"Surrey, BC V3W 3S8",7271-Carpenters,1
,,Rockland Care Services,"VICTORIA, BC V8S 3P6",3233-Licensed practical nurses,1
,,Royal Craft Construction Ltd,"Surrey, BC V3S 5P1",0711-Construction managers,1
,,S.G.L. Trucking Ltd,"DELTA, BC V4C 5M8","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,Sandco Trucking Ltd.,"RICHMOND, BC V7E 1E8",7312-Heavy-duty equipment mechanics,2
,,Sawed Off Contracting Inc,"SQUAMISH, BC V8B 0A5",7271-Carpenters,1
,,SB Framing Ltd.,"SURREY, BC V3V 1C2",7271-Carpenters,2
,,SK Framing Ltd,"DELTA, BC V4C 1C2","7302-Contractors and supervisors, heavy equipment operator crews",1
,,Sohanpaul & Associates Tax Corp.,"Surrey, BC V3W 1R1",1311-Accounting technicians and bookkeepers,2
,,SoundsGood Auto Services Inc,"Coquitlam, BC V3B 1B8",2242-Electronic service technicians (household and business equipment),1
,,Spa Utopia Vancouver Ltd,"VANCOUVER, BC V6C 3C1",3236-Massage therapists,1
,,Sunburst Skylights Ltd.,"Parksville, BC V9P 2W8",0911-Manufacturing managers,1
,,Supersonic Transport Ltd,"SURREY, BC V3W 3E9","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,Toor Construction Ltd.,"ABBOTSFORD, BC V2S 2Z7",1221-Administrative officers,1
,,TPH Prime Services Ltd,"Surrey, BC V3W 1R1","7302-Contractors and supervisors, heavy equipment operator crews",1
,,Trasolini Pools Ltd,"VANCOUVER, BC V5X 0B2",7282-Concrete finishers,2
,,Tridex Trucking Ltd,"SURREY, BC V3R 8E7",7511-Transport truck drivers,4
,,United Agri Systems Canada Inc,"Abbotsford, BC V4X 1V2",7235-Structural metal and platework fabricators and fitters,1
,,Universal Kitchen Cabinets Ltd.,"SURREY, BC V3W 7B3",9437-Woodworking machine operators,1
,,,,"9536-Industrial painters, coaters and metal finishing process operators",1
,,Vard Electro Canada Inc.,"Vancouver, BC V5M 0A5",2133-Electrical and electronics engineers,1
,,Vinyl Labs Corp,"SURREY, BC V4N 3Y8","9227-Supervisors, other products manufacturing and assembly",1
,,Wortra Enterprises Ltd.,"Coquitlam, BC V3K 1B9",2253-Drafting technologists and technicians,1
,   Low Wage,0719685 B.C. Ltd,"Port Hardy, BC V0N 2P0","6711-Food counter attendants, kitchen helpers and related support occupations",3
,,0874424 BC Ltd o/a Cora Breakfast and Lunch,"KAMLOOPS, BC V1S 0E1",6322-Cooks,1
,,0877412 BC Ltd o/a Togo Sushi UBC,"Vancouver, BC V6S 0B9",6322-Cooks,1
,,0926546 BC Ltd,"SURREY, BC V3T 2W1",6321-Chefs,4
,,1000099 BC Ltd.,"Surrey, BC V3W 2P2","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
,,1019353 B.C. LTD.,"Victoria, BC V8R 6T3",0631-Restaurant and food service managers,1
,,1052151 BC Ltd.,"Surrey, BC V3W 5T4",7611-Construction trades helpers and labourers,1
,,1076281 B.C. LTD.,"COQUITLAM, BC V3B 0L8",6322-Cooks,1
,,2909731 Canada Inc. o/a Pewter Graphics,"Victoria, BC V8W 2K6",6211-Retail sales supervisors,1
,,567506 BC Ltd,"Sun Peaks, BC V0E 5N0",0631-Restaurant and food service managers,1
,,663584 BC Ltd o/a Secret Nail & Beauty Supply,"Vancouver, BC V5V 3E3",6211-Retail sales supervisors,1
,,A & M ENTERPRISE LTD,"Burnaby, BC V5C 5R9","9213-Supervisors, food, beverage and associated products processing",2
,,Abbotsford Garcha Meat Shop Ltd.,"ABBOTSFORD, BC V2T 3S5",6211-Retail sales supervisors,1
,,Abbotsford Nissan Ltd.,"ABBOTSFORD, BC V2T 5M1","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,,Aitemad 2015 Foods Ltd.  o/a Asian Spice,"Surrey, BC V3V 4B9",6311-Food service supervisors,1
,,Arivle Enterprises Ltd (dba) Tim Hortons,"BURNABY, BC V5C 3Y6",6311-Food service supervisors,9
,,Bai Tong Thai Restaurant (Kelowna) Ltd.,"Kelowna, BC V1Y 6N2",6322-Cooks,1
,,Barcelos Nordel Restaurants Ltd.  o/a Barcelos,"SURREY, BC V3W 1P8",6311-Food service supervisors,1
,,BC1102452 (La Tortilla Mexicana),"Victoria, BC V8W 2K6",6321-Chefs,1
,,CONCEPT FLORAL VANCOUVER,"RICHMOND, BC V6E 1H2",5244-Artisans and craftspersons,1
,,Dae-Ji Food Group Inc. o/a Dae-Ji Cutlet House,"Burnaby, BC V3N 4R7",6322-Cooks,1
,,Donald's Market Ltd.,"Vancouver, BC V5L 1V5",6211-Retail sales supervisors,1
,,Fort Nelson  Aboriginal Friendship,"Fort Nelson, BC V0C 1R0",2282-User support technicians,1
,,Guildford Chicken Foods Inc.o/a KFC,"Surrey, BC V3R 7B7",6311-Food service supervisors,1
,,Hollyburn Family Services Ltd.,"North Vancouver, BC V7M 1A5",4212-Social and community service workers,1
,,IB Enterprises Ltd.o/a Cobs Bread Capilano Mall,"North Vancouver, BC V7P 1S3",6332-Bakers,1
,,Image Masters Salon & Spa Inc.,"VANCOUVER, BC V5Z 2V7",6341-Hairstylists and barbers,1
,,Incomax Enterprises Ltd,"SURREY, BC V3T 2W1",6322-Cooks,2
,,J & R Dhaliwal Construction Ltd,"SURREY, BC V3S 5K2",7611-Construction trades helpers and labourers,2
,,J.S.G Dhillon Ltd o/a Nando's Chicken,"LANGLEY, BC V3A 9J9",0631-Restaurant and food service managers,1
,,K. Rawlings Holdings Inc o/a Mount Royal Bagels,"North Vancouver, BC V7L 3V9",6332-Bakers,1
,,Kang & Choi Enterprise Ltd.o/a Gami Sushi,"Richmond, BC V7A 1W6",6322-Cooks,1
,,KNK Food Services Ltd,"DELTA, BC V4C 5A1",6311-Food service supervisors,2
,,KOOTENAY KABAB MEDITERRANEAN CUISINE LTD,"TRAIL, BC V1R 4C3",0631-Restaurant and food service managers,1
,,Loro Child Care Ltd. o/a Kiddie Kollege Daycare,"RICHMOND, BC V6W 1E8",4214-Early childhood educators and assistants,1
,,Mahek Restaurant & Lounge Ltd,"Surrey, BC V3V 4B9",6322-Cooks,3
,,Meadow Sushi Japanese Restaurant Ltd.,"Pitt Meadows, BC V3Y 2E9","6711-Food counter attendants, kitchen helpers and related support occupations",1
,,Megan Holdings Inc,"VICTORIA, BC V8X 5C8",6312-Executive housekeepers,1
,,Mincey O.C. Foods Ltd o/a Dairy Queen,"SURREY, BC V3W 7T9",6311-Food service supervisors,1
,,Minerva Pizza & Restaurants Ltd.,"Vancouver, BC V6M 2A5",0631-Restaurant and food service managers,1
,,Momijian Japanese Cuisine Ltd.,"North Vancovuer, BC V7G 1C3",6322-Cooks,1
,,Mplus Trading & Enterprise Ltd. o/a Fatburger Coquitlam,"Coquitlam, BC V3K 6G9",6311-Food service supervisors,1
,,MSJ Park Enterprise Ltd DBA Subway,"Victoria, BC V9B 2X3",0631-Restaurant and food service managers,1
,,Objects of Desire Fashions Inc.,"VANOUVER, BC V6A 4J6",6222-Retail and wholesale buyers,1
,,PACE HOLDINGS CANADA INC o/a Avis Car,"NORTH VANCOUVER, BC V7R 4S4",6211-Retail sales supervisors,1
,,PASSION8 ENTERPRISES LTD,"Vancouver, BC V5Z 2V9",6332-Bakers,1
,,Prabu Foods Inc.,"SURREY, BC V3W 4E1",6322-Cooks,3
,,Provence Marinaside Foods Ltd.  o/a Provence Marinaside,"VANCOUVER, BC V6Z 2Y3",6321-Chefs,1
,,Rangoli Catering & Sweets Ltd,"SURREY, BC V3S 2A7",6311-Food service supervisors,1
,,Reach For The Stars Montessori Learning Academy Inc.,"BURNABY, BC V5H 4H7",4214-Early childhood educators and assistants,1
,,Sabor Foods Ltd. o/a BG Urban Grill,"Whistler, BC V0N 1B4",6322-Cooks,2
,,Sachdev Enterprises Ltd. (dba) Panago Pizza,"ALDERGROVE, BC V3W 3L6","6711-Food counter attendants, kitchen helpers and related support occupations",1
,,Seacastle Enterprises Inc. o/a Burger King,"VICTORIA, BC V9B 1H9",6311-Food service supervisors,1
,,,,6322-Cooks,1
,,Seneca Building Maintenance Ltd,"SURREY, BC V3W  3A",1311-Accounting technicians and bookkeepers,1
,,Shalom Daycare Inc.,"Victoria, BC V8W 2J3",4214-Early childhood educators and assistants,1
,,Simply Holdings Ltd.,"COQUITLAM, BC V3E 0A8",6332-Bakers,1
,,Skyway Brands Ventures Inc. o/a Tim Hortons,"RICHMOND, BC V7B 1Y7",6332-Bakers,1
,,Snackshot Enterprise Ltd.,"VANCOUVER, BC V6P 4Z2",0631-Restaurant and food service managers,1
,,Spark International Trading Ltd.,"Burnaby, BC V5E 1C4","6711-Food counter attendants, kitchen helpers and related support occupations",1
,,Sundial Management Inc,"Whistler, BC V0N 1B4",6315-Cleaning supervisors,1
,,The Elk Valley Dolphins Swim Club Society,"Fernie, BC V0B 1M0",5252-Coaches,1
,,TM Tilemart Ltd.,"LANGLEY, BC V2Y 1N1",6211-Retail sales supervisors,2
,,Trans Peace Financial Corp.,"Fort St. John, BC V1J 2B3",6311-Food service supervisors,1
,,Vector International Academy Corp.,"VANCOUVER, BC V6E 2R1",1241-Administrative assistants,1
,,Vishvkarma Development Ltd.,"WHITE ROCK, BC V4B 1B7",1311-Accounting technicians and bookkeepers,1
,,"Yuchang Oh, Boksoon Park o/a Sushi Day Restaurant","NORTH VANCOUVER, BC V7J 3S8",6322-Cooks,1
,,Yulancy Enterprises Ltd. o/a Cultures,"Langley, BC V1M 2W5",6322-Cooks,1
,  Primary Agriculture,0912031 BC Ltd.,"DELTA, BC V4C 5A1",8431-General farm workers,20
,,Arise Ventures Ltd,"Oliver, BC V0H 1T0",8431-General farm workers,9
,,"Atlasta Tree Nursery, Inc.","Chilliwack, BC V4Z 0B3",8432-Nursery and greenhouse workers,2
,,Desert Hills Estate Winery Inc.,"Oliver, BC V0H 1T1",0821-Managers in agriculture,1
,,Erica Enterprises Ltd,"PITT MEADOWS, BC V3Y 1Z1",8432-Nursery and greenhouse workers,3
,,Fresh Quality Produce Ltd,"Abbotsford, BC V3G 0C6",8431-General farm workers,9
,,Jaedel Enterprises (1978) Ltd.,"ABBOTSFORD, BC V2T 4X3",0821-Managers in agriculture,3
,,KSG Farms Services Ltd.,"ABBOTSFORD, BC V4X 1S1",8431-General farm workers,50
,,Mark Anthony Group Inc.,"Oliver, BC V0H 1T1",8431-General farm workers,15
,,Meadowland Farms Inc,"Pitt Meadows, BC V3Y 2R9",8431-General farm workers,18
,,Odyssey Ventures Ltd.,"Oliver, BC V0H 1T1","8255-Contractors and supervisors, landscaping, grounds maintenance and horticulture services",2
,,PMK Dhaliwal Enterprises Ltd,"SUREY, BC V3S 6Y7",8431-General farm workers,24
,,Premium Vineyard Management,"Penticton, BC V2A 8M9",8431-General farm workers,5
,,Rainbow Poultry Ltd,"CHILLIWACK, BC V2R 4N9","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,Sahota Farms Ltd,"Abbotsford, BC V3G 2S1",8431-General farm workers,110
Nunavut,    High Wage,Centre de la Petite Enfance les Petits Nanooks,"Iqaluit, NU X0A 0H0",4214-Early childhood educators and assistants,1
,   Low Wage,5514 Nunavut Inc.,"Iqaluit, NU X0A 0H0",6611-Cashiers,1
