"Employers who were issued a positive Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and business location in 2018 (October-December)",,,,, 
Province/Territory,Stream,Employer,Address,Occupaitons under NOC 2011,Approved Positions 
,,WAA MONTRÉAL INC.,"MONTRÉAL, QC H2T 2S6",2152-Landscape architects,1
,  Primary Agriculture,2436-3392 Québec Inc.,"St-Eustache, QC J7R 4K6",8432-Nursery and greenhouse workers,10
,,2549-6308 QUÉBEC INC.,"Stornoway, QC G0Y 1N0",8432-Nursery and greenhouse workers,7
,,2637-5808 Québec inc.(Ferme Genest),"Lévis, QC G7A 4H4",8431-General farm workers,4
,,2746-1912 QUÉBEC INC,"Bury, QC J0B 1J0",8431-General farm workers,1
,,2948-1330 Québec Inc,"St-Roch-de-l'Achigan, QC J0K 3H0",8431-General farm workers,2
,,2962-4343 Québec Inc.,"Saint-Donat, QC G0K 1L0",8431-General farm workers,1
,,3089-9512 QUÉBEC INC.,"ST-LAMBERT-DE-LÉVIS, QC G0S 2W0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,,3104-3052 Québec inc,"COMPTON, QC J0B 1L0",8431-General farm workers,2
,,4377206 Canada Inc.,"Sherbrooke, QC J1M 1Z3",8432-Nursery and greenhouse workers,40
,,4390679 Canada Inc. (Les Multi-Plants Pascal Roy),"St Remi, QC J0L 2L0",8432-Nursery and greenhouse workers,3
,,624899 Nouveau-Brunswick ltée,"St-Lambert, QC G0S 2W0",8431-General farm workers,2
,,6265863 Canada inc.,"Sherbrooke, QC J1M 1Z3",8432-Nursery and greenhouse workers,2
,,6745369 Canada Inc,"Stoke, QC J0B 3G0",8431-General farm workers,3
,,9011-1246 Québec Inc.,"ST-ALEXIS, QC J0K 1T0",8431-General farm workers,1
,,9014-8578 Québec Inc.,"Lévis, QC G6W 5N6",8432-Nursery and greenhouse workers,4
,,9019-6437 QUÉBEC INC.,"RIVIÈRE-OUELLE, QC G0R 1Z0",8431-General farm workers,1
,,9029-0354 Québec Inc,"Saint-Jean-sur-Richelieu, QC J2X 5T9",8431-General farm workers,2
,,9038-7747 Québec Inc,"St-narcisse, QC G0S 1W0",8431-General farm workers,3
,,9042-5893 Qc inc.,"Stoke, QC J0B 3G0",8431-General farm workers,2
,,9054-2291 Québec Inc.,"Rougemont, QC J0L 1M0",8431-General farm workers,10
,,9060-1667 Québec inc.,"Notre-Dame-des-Pins, QC G0M 1K0",8431-General farm workers,4
,,9070-4727 Québec Inc,"HÉBERTVILLE, QC G8N 1K9",8431-General farm workers,3
,,9085-9513 Québec Inc.,"Lotbinière, QC G0S 1S0",8431-General farm workers,3
,,9092-1248 Québec Inc.,"SAINT-AMBROISE, QC G7P 2A2",8431-General farm workers,2
,,9093-5537 QUÉBEC INC.,"Scott, QC G0S 3G0",8431-General farm workers,1
,,9102-9934 Québec inc,"St-Louis-de-Blandford, QC G0Z 1B0",8431-General farm workers,12
,,9106-6340 QUÉBEC INC.,"SAINT-AMBROISE-DE-KILDARE, QC J0K 1C0",8431-General farm workers,2
,,9132-5969 Québec Inc.,"Blainville, QC J7E 4H5",8432-Nursery and greenhouse workers,4
,,9132-8542 Québec. inc.,"Blainville, QC J7C 0V2",8432-Nursery and greenhouse workers,4
,,9165-4996 Québec Inc.,"Mirabel, QC J7N 2B4",8431-General farm workers,12
,,9168-7368 Québec Inc.,"Plessisville, QC G6L 2Y2",8431-General farm workers,7
,,9169-8241 Québec inc.,"Frelighsburg, QC J0J 1C0",8431-General farm workers,2
,,9196-7273 Québec inc.,"Lyster, QC G0S 1V0",8431-General farm workers,1
,,9198-2025 Québec Inc,"Les Cèdres, QC J7T 1N8",8431-General farm workers,4
,,9199-4582 Québec inc.,"Montmagny, QC G5V 3R9",8431-General farm workers,2
,,9204-3389 Québec Inc. (Ferme Stepido),"LUSKVILLE, QC J0X 2G0",8431-General farm workers,1
,,9205-6449 Québec Inc.,"Havelock, QC J0S 2C0",8431-General farm workers,7
,,9218-7954 Québec inc.,"Saint-Thomas, QC J0K 3L0",8431-General farm workers,1
,,9239-0640 Québec Inc.,"Saint-Urbain, QC G0A 4K0",8431-General farm workers,2
,,9247-9880 Québec Inc,"Mirabel, QC J7N 2Z3",8431-General farm workers,2
,,9254-8155 Québec inc.,"Sainte-Marie, QC G6E 3A7",8431-General farm workers,2
,,9256-8963 Québec Inc.,"Saint-Élie-de-Caxton, QC G0X 2N0",8432-Nursery and greenhouse workers,2
,,9262-1960 Québec inc.,"St-Jean-Baptiste, QC J0L 2B0",8432-Nursery and greenhouse workers,4
,,9263-1266 Québec inc.,"VICTORIAVILLE, QC G6R 0B1",8431-General farm workers,2
,,9284-3531 Québec inc.(David Thibault),"COATICOOK, QC J1A 2A2",8432-Nursery and greenhouse workers,3
,,9285-6335 Québec Inc.,"Lévis, QC G6V 7M5",8432-Nursery and greenhouse workers,4
,,9288-0004 Quebec inc.,"ST-LOUIS-DE-GONZAGUE, QC J0S 1T0",8431-General farm workers,2
,,9302-8066 Québec,"EAST-FARNHAM, QC J2K 4H8",8431-General farm workers,1
,,9305-4633 Québec inc.(La maison du miel),"LÉVIS, QC G7A 2N4",8431-General farm workers,1
,,9329-5541 Québec inc (Jardins Ste-Clotilde),"Ste-Clotilde, QC J0L 1W0",8431-General farm workers,24
,,9329-5558 Québec inc,"Ste-Clotilde, QC J0L 1W0",8431-General farm workers,23
,,9332-9860 Québec inc.,"ST-CHRYSOSTOME, QC J0S 1R0",8431-General farm workers,1
,,Agritabex Inc.,"St-Thomas, QC J0K 3L0",8431-General farm workers,1
,,Arbovert Pépinière inc.,"ST-LAMBERT-DE-LAUZON, QC G0S 2W0",8432-Nursery and greenhouse workers,3
,,Atocas Bédard Inc.,"St-Louis-de-Blandford, QC G0Z 1B0",8431-General farm workers,8
,,Atocas Blandford inc.,"Laurierville, QC G0S 1P0",8431-General farm workers,4
,,Atocas Notre Dame Inc.,"Sainte-Sophie-d'Halifax, QC G0P 1L0",8431-General farm workers,10
,,Atocas Somerset SENC,"VICTORIAVILLE, QC G6T 1J8",8431-General farm workers,2
,,Atocas St-François Inc.,"ST-LOUIS DE BLANDFORD, QC G0Z 1B0",8431-General farm workers,7
,,Atocas St-Louis Inc.,"Laurierville, QC G0S 1P0",8431-General farm workers,4
,,Atocas Villeroy inc.,"Plessisville, QC G6L 2Y2",8431-General farm workers,3
,,Au Royaume des Fines Herbes Inc.,"Ste-Anne-des-Plaines, QC J0N 1H0",8432-Nursery and greenhouse workers,6
,,Aux Aubépines 2002 inc.,"St-Polycarpe, QC J0P 1X0",8432-Nursery and greenhouse workers,12
,,Benjoporc inc.,"Ste-Geneviève-de-Batiscan, QC G0X 2R0",8431-General farm workers,2
,,Bergeroy Holstein inc.,"St-Samuel, QC G0Z 1G0",8431-General farm workers,2
,,Bio Saveur Inc,"Laval, QC H7E 4P2",8431-General farm workers,2
,,Blais productions inc.,"St-Anselme, QC G0R 2N0",8431-General farm workers,4
,,C & G Jetté Inc.,"Mirabel, QC J7N 2V1",8431-General farm workers,5
,,C. JOLYPORC INC.,"Ayer's Cliff, QC J0B 1C0",8431-General farm workers,2
,,Canards Des Monts Inc,"ST-JUDE, QC J0H 1P0",8431-General farm workers,7
,,Canards du Boisé inc.,"SAINTE-HÉLÈNE-DE-BAGOT, QC J0H 1M0",8431-General farm workers,2
,,Canneberges Austin inc.,"Saint-Flavien, QC G0S 2M0",8431-General farm workers,3
,,Canneberges Bécancour Management inc.,"St-Louis-de-Blandford, QC G0Z 1B0",8431-General farm workers,6
,,Canneberges Bieler Inc.,"St-Louis-de-Blandford, QC G0Z 1B0",8431-General farm workers,15
,,Canneberges Côté & Bradette,"Notre-Dame-de-Lourdes, QC G0S 1T0",8431-General farm workers,3
,,Canneberges L & S SEC,"St-Lucien, QC J0C 1N0",8431-General farm workers,51
,,Canneberges Sakota inc,"Notre-Dame-de-Lourdes, QC G0S 1T0",8431-General farm workers,4
,,Cèdrière St-Edmond Inc,"St-Edmond-De-Grantham, QC J0C 1K0",8432-Nursery and greenhouse workers,3
,,Centre du Jardin Deux-Montagnes Inc.,"St-Eustache, QC J7R 0J2",8432-Nursery and greenhouse workers,8
,,Centre horticole Julie Moraldo St-Nicolas Inc.,"Levis, QC G7A 2X6",8432-Nursery and greenhouse workers,1
,,DANIEL LAVIOLETTE PAYSAGISTE INC,"Saint-Placide, QC J0V 2B0",8431-General farm workers,4
,,Denis Leguerrier Fils et Fille Senc,"Blainville, QC J7E 4H5",8431-General farm workers,2
,,Denis Thivierge Maraicher inc,"St-Laurent-de-l'Île-d'Orléans, QC G0A 3Z0",8431-General farm workers,2
,,Domaine des Côtes d'Ardoises (2010) inc.,"Montréal, QC H2T 3E6",8431-General farm workers,4
,,Domaine JMG Trottier Inc.,"Oka, QC J0N 1E0",8431-General farm workers,16
,,Durasphalte inc.,"Sherbrooke, QC J1N 3G7",8432-Nursery and greenhouse workers,116
,,Entreprise Dubreuil inc,"Saint-Dominique, QC J0H 1L0",8431-General farm workers,2
,,Entreprises Gaudreault Vanier inc.,"St-Gabriel-de-Brandon, QC J0K 2N0",8431-General farm workers,2
,,Équiporc inc.,"St-Camille, QC J0A 1G0",8431-General farm workers,3
,,Érablière du Lac Simon inc.,"Franklin, QC J0S 1E0",8431-General farm workers,1
,,Érablière Labrecque inc.,"St-Bernard, QC G0S 2G0",8431-General farm workers,2
,,Érablière MT Inc.,"SAINT-UBALDE, QC G0A 4L0",8431-General farm workers,2
,,Excel-Serres ltee,"St-Damase, QC J0H 1J0",8432-Nursery and greenhouse workers,10
,,Exforad Inc.,"Rivière-Rouge, QC J0T 1T0",8431-General farm workers,4
,,Ferdinand Hervieux Inc.,"LANORAIE, QC J0K 1E0",8431-General farm workers,2
,,Ferme  Sylvain Beaudry Inc.,"Upton, QC J0H 2E0",8431-General farm workers,3
,,Ferme A & R BOULET INC.,"St-François-de-la-rivière-du-sud, QC G0R 3A0",8431-General farm workers,1
,,Ferme A. Hogue & Fils inc.,"St-Lin-Laurentides, QC J5M 1Z6",8431-General farm workers,2
,,FERME A.L. POIRIER S.E.N.C.,"Saint-Blaise-sur-Richelieu, QC J0J 1W0",8431-General farm workers,1
,,Ferme Algério inc.,"St-Henri, QC G0R 3E0",8431-General farm workers,3
,,Ferme Allfond Inc.,"St-Bruno-de-Guigues, QC J0Z 2G0",8431-General farm workers,1
,,Ferme Amico Inc.,"LÉVIS, QC G6Z 0C3",8431-General farm workers,1
,,Ferme André Laberge Inc.,"ST-LOUIS-DE-GONZAGUE, QC J0S 1T0",8431-General farm workers,1
,,Ferme Annick inc.,"BAIE-DES-SABLES, QC G0J 1C0",8431-General farm workers,1
,,Ferme Arwijk S.E.N.C,"Saint-Valentin, QC J0J 2E0",8431-General farm workers,1
,,Ferme Aston Inc.,"ST-LÉONARD-D'ASTON, QC J0C 1M0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,,,,8431-General farm workers,8
,,Ferme Auger inc.,"Saint-Léon-le-Grand, QC J0K 2W0",8431-General farm workers,1
,,Ferme Aux Saveurs des Monts Inc.,"Val-des-Monts, QC J8N 7V3",8431-General farm workers,3
,,FERME AVICOLE JEAN BRODEUR INC,"SAINT-PIE, QC J0H 1W0",8431-General farm workers,2
,,Ferme Bard Inc.,"Ste-Anne-de-La-Pocatière, QC G0R 1Z0",8431-General farm workers,2
,,Ferme Baril Bon Lait Inc.,"LORRAINVILLE, QC J0Z 2R0",8431-General farm workers,1
,,Ferme Bastien Inc.,"St-Lin-Laurentides, QC J5M 1Y6",8431-General farm workers,5
,,Ferme Beaudry et fils inc.,"St-Valérien, QC J0H 2B0",8431-General farm workers,1
,,Ferme Beaux-Lieux Ltée,"RIVIÈRE-BLEUE, QC G0L 2B0",8431-General farm workers,1
,,Ferme Benjo 2003 inc.,"St-Zéphirin-de-Courval, QC J0G 1V0",8431-General farm workers,1
,,Ferme Benoit Vernier Inc.,"St-Zotique, QC J0P 1Z0",8431-General farm workers,48
,,Ferme Berg Inc.,"WARWICK, QC J0A 1M0",8431-General farm workers,3
,,Ferme Bernerhof Inc.,"Upton, QC J0H 2E0",8431-General farm workers,1
,,Ferme BJR Hugi enr.,"Saint-Théodore-d'Acton, QC J0H 1Z0",8431-General farm workers,3
,,Ferme Bon-Conseil inc.,"Notre-Dame-du-Bon-Conseil, QC J0C 1A0",8431-General farm workers,6
,,Ferme Bourdeau et Fils senc,"Franklin, QC J0S 1N0",8431-General farm workers,1
,,Ferme BR Dynamique Inc.,"St-Patrice-de-Beaurivage, QC G0S 1B0",8431-General farm workers,1
,,Ferme Breault et frères inc,"COMPTON, QC J0B 1L0",8431-General farm workers,4
,,Ferme Brienz inc.,"Kingsey Falls, QC J0A 1B0",8431-General farm workers,2
,,Ferme Carolait inc.,"Ste-Évariste-de-Forsyth, QC G0M 1S0",8431-General farm workers,1
,,Ferme Carpentier & Fils Inc.,"Béarn, QC J0Z 1G0",8431-General farm workers,1
,,Ferme Charles Charette et fils inc.,"ST-LÉON-LE-GRAND, QC J0K 2W0",8431-General farm workers,1
,,FERME CHARRIÈRE & FILS INC,"CHAMPLAIN, QC G0X 1X0",8431-General farm workers,1
,,Ferme Choisel Inc.,"St-Blaise-sur-le-Richelieu, QC J0J 1W0",8431-General farm workers,1
,,Ferme Clairbois inc.,"Ste-Clotilde-de-Horton, QC J0A 1H0",8431-General farm workers,1
,,Ferme Cleanne inc.,"Saint-Henri, QC G0R 3E0",8431-General farm workers,1
,,Ferme Cloutier et Frères senc,"St-André d'Argenteuil, QC J0V 1X0",8431-General farm workers,1
,,Ferme Comaro Inc.,"Pont-Rouge, QC G3H 1C5",8431-General farm workers,1
,,Ferme Comestar Holstein Inc.,"Victoriaville, QC G6T 0S9",8431-General farm workers,4
,,Ferme Constant Cardinal Limitée,"Ste-Brigitte-des-Saults, QC J0C 1E0",8431-General farm workers,3
,,Ferme Coquelicot Inc.,"Stratford, QC G0Y 1P0",8431-General farm workers,1
,,Ferme Counard SENC,"Saint-Ephrem-de-Beauce, QC G0M 1R0",8431-General farm workers,1
,,Ferme Couvrette & Fils Senc.,"Mirabel, QC J7N 2Y5",8431-General farm workers,1
,,Ferme D. Vanasse Inc,"Ayer's Cliff, QC J0B 1C0",8432-Nursery and greenhouse workers,14
,,Ferme d'Albanel Inc.,"Albanel, QC G8M 3L3",8431-General farm workers,3
,,Ferme Daniel Coutu Inc.,"St-Thomas, QC J0K 3L0",8431-General farm workers,3
,,Ferme Dara,"Bécancour, QC G9H 3P1",8431-General farm workers,3
,,Ferme de la plaine Holstein Inc.,"L'ISLE-VERTE, QC G0L 1L0",8431-General farm workers,1
,,Ferme de l'Hétrière (1993) Enr,"St-Charles-de-Bellechasse, QC G0R 2T0",8431-General farm workers,2
,,Ferme Deland senc,"Henryville, QC J0J 1E0",8431-General farm workers,2
,,Ferme d'en Bas inc.,"Saint-Esprit, QC J0K 2L0",8431-General farm workers,3
,,FERME DENIS & ANDRÉ MORIN INC.,"Saint-Gabriel-de-Brandon, QC J0K 2N0",8431-General farm workers,3
,,Ferme des Flandres 1985 senc.,"St-Télesphore, QC J0P 1Y0",8431-General farm workers,1
,,Ferme des Ormes S.E.N.C.,"Pierreville, QC J0G 1J0",8431-General farm workers,20
,,FERME DES PERLES INC.,"SAINT-PASCAL, QC G0L 3Y0",8431-General farm workers,1
,,Ferme des Ruisseaux Senc.,"Alma, QC G8B 5V2",8431-General farm workers,3
,,Ferme Deslacs Ltée,"Victoriaville, QC G6R 0V2",8431-General farm workers,1
,,Ferme Donabelle senc,"COMPTON, QC J0B 1L0",8431-General farm workers,17
,,Ferme Donar inc.,"ST-CYRILLE-DE-WENDOVER, QC J1Z 1N8",8431-General farm workers,1
,,Ferme Dony inc,"SAINT-BASILE, QC G0A 3G0",8431-General farm workers,1
,,Ferme D'Or inc.,"Sainte-Sophie d'Halifax, QC G0P 1L0",8431-General farm workers,5
,,Ferme Dorésimo inc.,"Sainte-Cécile-de-Lévrard, QC G0X 2M0",8431-General farm workers,2
,,Ferme Douporc inc.,"ST-ALEXIS, QC J0K 1T0",8431-General farm workers,2
,,Ferme Drapeau et Bélanger inc.,"Sainte-Françoise, QC G0S 2N0",8431-General farm workers,3
,,Ferme Drogue 2005 Inc.,"MONT ST-GRÉGOIRE, QC J0J 1K0",8431-General farm workers,1
,,Ferme du Barrage Inc.,"Weedon, QC J0B 3J0",8431-General farm workers,1
,,Ferme du Cabouron Inc.,"Saint-Romain, QC G0Y 1L0",8431-General farm workers,1
,,Ferme du Domaine 2000 inc.,"SHAWINIGAN, QC G9P 5G6",8431-General farm workers,1
,,Ferme Du Fleuve G.V.A. Prémont inc.,"Ste-Famille, I.O, QC G0A 3P0",8431-General farm workers,1
,,Ferme du Littoral inc.,"BAIE-DES-SABLES, QC G0J 1C0",8431-General farm workers,2
,,Ferme du Petit 5 Inc.,"St-Alexandre, QC G0L 2G0",8431-General farm workers,1
,,FERME DU PIONNIER INC.,"Sainte-Sophie-d'Halifax, QC G0P 1L0",8431-General farm workers,2
,,Ferme EDPA inc.,"St-Édouard, QC J0L 1Y0",8431-General farm workers,2
,,Ferme Éric Sépul Inc.,"SAINT-SÉBASTIEN, QC J0J 2C0",8431-General farm workers,2
,,Ferme Estermann inc.,"Dundee, QC J0S 1L0",8431-General farm workers,2
,,Ferme Famille St-Hilaire senc.,"St-Odilon, QC G0S 3A0",8431-General farm workers,1
,,FERME FATRAN INC,"Saint-Liboire, QC J0H 1R0",8431-General farm workers,4
,,Ferme Faucher et fils inc.,"St-Ephrem, QC G0M 1R0",8431-General farm workers,1
,,Ferme Fernand Lachance et fils inc.,"Saint-Évariste-de-Forsyth, QC G0M 1S0",8431-General farm workers,2
,,Ferme Fernand Rondeau et fils inc.,"LANORAIE, QC J0K 1E0",8431-General farm workers,7
,,Ferme Filiale St-Ludger inc.,"ST-LUDGER, QC G0M 1W0",8431-General farm workers,1
,,Ferme Filiking Inc.,"Mirabel, QC J7N 2Z3",8431-General farm workers,1
,,Ferme Fleury et Fils inc.,"ST-CHRISTOPHE-D'ARTHABASKA, QC G6S 0M5",8431-General farm workers,1
,,Ferme Floroma Inc,"PONT-ROUGE, QC G3H 1S3",8431-General farm workers,2
,,Ferme Forget 2001 Inc,"Saint-Jérôme, QC J7Y 5E7",8431-General farm workers,1
,,Ferme Fortale Holstein inc,"St-Christophe-d'Arthabska, QC G6S 0N9",8431-General farm workers,2
,,Ferme François Cormier 2009 inc.,"ST-GUILLAUME, QC J0C 1L0",8431-General farm workers,2
,,Ferme François Gosselin inc.,"Saint-Laurent-de-l'Île-d'Orléans, QC G0A 3Z0",8431-General farm workers,106
,,Ferme G.M.S. Beaudry inc,"Upton, QC J0H 2E0",8431-General farm workers,8
,,Ferme Gaérol Inc.,"STE-EVARISTE-DE-FORSYTH, QC G0M 1S0",8431-General farm workers,2
,,Ferme Gambler + Inc.,"Tingwick, QC J0A 1L0",8431-General farm workers,4
,,Ferme Garonne Inc,"Saint-Odilon, QC G0S 3A0",8431-General farm workers,1
,,Ferme Gaston Richard inc.,"SAINT-BASILE, QC G0A 3G0",8431-General farm workers,1
,,Ferme Geliporc inc.,"SAINT-TITE, QC G0X 3H0",8431-General farm workers,1
,,Ferme Geneva Friola inc.,"Ste-Brigitte-des-Saults, QC J0C 1E0",8431-General farm workers,2
,,Ferme Genlouis Inc,"Yamaska, QC J0G 1W0",8431-General farm workers,2
,,Ferme Gérard Renaud Inc.,"Mirabel, QC J7N 3A1",8431-General farm workers,5
,,Ferme Germado et fils inc.,"St-Wenceslas, QC G0Z 1J0",8431-General farm workers,2
,,Ferme Gerville inc.,"Baie-du-Febvre, QC J0G 1A0",8431-General farm workers,1
,,Ferme Gilles Landry Inc.,"Rivière-Ouelle, QC G0L 2C0",8431-General farm workers,1
,,Ferme Girelou Inc.,"St-Wenceslas, QC G0Z 1J0",8431-General farm workers,5
,,Ferme GMS (9183-7815 Qc inc.),"SAINT-ROCH-DE-L'ACHIGAN, QC J0K 3H0",8431-General farm workers,4
,,Ferme Guy Champagne Inc.,"LANORAIE, QC J0K 1E0",8431-General farm workers,34
,,Ferme Guymari Inc.,"Tingwick, QC J0A 1L0",8431-General farm workers,1
,,Ferme H. Daigneault & fils Inc.,"St. Michel, QC J0L 2J0",8431-General farm workers,4
,,Ferme H.Y Mélançon senc,"Saint-Léon-le-Grand, QC J0K 2W0",8431-General farm workers,1
,,Ferme Héritage Jersey inc.,"LAC-ETCHEMIN, QC G0R 1S0",8431-General farm workers,1
,,Ferme Hillside,"KINNEAR'S MILLS, QC G0N 1K0",8431-General farm workers,1
,,Ferme Hugo inc.,"SAINT-HUGUES, QC J0H 1N0",8431-General farm workers,1
,,Ferme Imaro SENC,"Deschaillons-sur-St-Laurent, QC G0S 1G0",8431-General farm workers,1
,,Ferme Isabelle Inc.,"Coteau-du-Lac, QC J0P 1B0",8431-General farm workers,2
,,Ferme J. Ouimet inc.,"St-Roch de l'Achigan, QC J0K 3H0",8431-General farm workers,8
,,Ferme J. Veillette Inc.,"St-Maurice, QC G0X 2X0",8431-General farm workers,1
,,Ferme J.M. Puppynck inc.,"Sainte-Hélène, QC J0H 1M0",8431-General farm workers,1
,,Ferme Jacques Michaud Inc.,"Sherrington, QC J0L 2N0",8431-General farm workers,2
,,Ferme Jarret et Frères inc.,"Ange-Gardien, QC J0E 1E0",8431-General farm workers,1
,,Ferme Jean Desrochers inc.,"Saint-Jacques, QC J0K 2R0",8431-General farm workers,2
,,Ferme Jean-Luc Bibeau inc.,"St-Michel, QC J0L 2J0",8431-General farm workers,5
,,Ferme Jean-Noël Gagné inc.,"St-Bernard, QC G0S 2G0",8431-General farm workers,1
,,Ferme Jean-Yves Gamelin inc.,"Pierreville, QC J0G 1J0",8431-General farm workers,11
,,Ferme JNP Marcotte inc.,"St-Basile, QC G0A 3G0",8431-General farm workers,1
,,Ferme Jocy inc.,"Saint-Modeste, QC G0L 3W0",8431-General farm workers,1
,,Ferme Jolicap inc.,"Cap-Saint-Ignace, QC G0R 1H0",8431-General farm workers,1
,,Ferme Jolyvale inc.,"SAINT-JANVIER-DE-JOLY, QC G0S 1M0",8431-General farm workers,2
,,Ferme JP Côté et fils inc.,"Neuville, QC G0A 2R0",8431-General farm workers,5
,,FERME KAROBERT INC,"Saint-Anselme, QC G0R 2N0",8431-General farm workers,1
,,Ferme KDK inc.,"ST-HONORÉ-DE-SHENLEY, QC G0M 1V0",8431-General farm workers,1
,,Ferme Kingsey inc.,"Kingsey-Falls, QC J0A 1B0",8431-General farm workers,2
,,Ferme L. & J. Gagnon Inc.,"Saint-Adelphe-de-Champlain, QC G0X 2G0",8431-General farm workers,1
,,Ferme L.Campbell & Fils Inc.,"Sainte-Sabine, QC J0J 2B0",8431-General farm workers,1
,,Ferme la Bichette inc.,"Tingwick, QC J0A 1L0",8431-General farm workers,3
,,Ferme La Fougère Inc.,"COMPTON, QC J0B 1L0",8431-General farm workers,2
,,Ferme La Seigneurie SENC,"SAINT-CAMILLE, QC J0A 1G0",8431-General farm workers,1
,,Ferme La Tremblaie S.E.N.C,"Les Éboulements, QC G0A 2M0",8431-General farm workers,1
,,Ferme Laganiere & Fils (2000) Inc.,"Champlain, QC G0X 1C0",8431-General farm workers,1
,,Ferme Lait Vallons Inc.,"SAINTE-AGATHE-DE-LOTBINIÈRE, QC G0S 2A0",8431-General farm workers,1
,,Ferme Laitière Ambijoie inc.,"Mirabel, QC J7N 2R8",8431-General farm workers,2
,,Ferme Laitière Blondin Inc.,"St-Placide, QC J0V 2B0",8431-General farm workers,2
,,Ferme Laitière du Village inc.,"SAINTE-AGATHE-DE-LOTBINIÈRE, QC G0S 2A0",8431-General farm workers,1
,,Ferme Laitière Philie inc.,"SAINT-MATHIEU, QC J0L 2H0",8431-General farm workers,2
,,FERME LAIT'S GO INC.,"SAINT-BRUNO-DE-GUIGUES, QC J0Z 2G0",8431-General farm workers,1
,,Ferme Landrynoise inc.,"ST-ALBERT, QC J0C 1A0",8431-General farm workers,2
,,Ferme L'Authentic,"WARWICK, QC J0A 1M0",8431-General farm workers,1
,,FERME LEBLOND 2007 INC,"COATICOOK, QC J1A 2S5",8431-General farm workers,1
,,Ferme Lecduff inc.,"St-Germain-de-Grantham, QC J0C 1K0",8431-General farm workers,2
,,Ferme Ledzep 2000 inc,"ST-FRANÇOIS, QC G0R 1A0",8431-General farm workers,1
,,Ferme Légil Inc.,"Princeville, QC G6L 4K4",8431-General farm workers,2
,,Ferme Léonce Plante SENC,"Saint-Laurent-de-l'Île-d'Orléans, QC G0A 3Z0",8431-General farm workers,34
,,Ferme Leportage SENC,"Ste-Clotilde-de-Horton, QC J0A 1H0",8431-General farm workers,3
,,Ferme Lexya Holstein et jersey SENC,"VAL-JOLI, QC J1S 0H1",8431-General farm workers,1
,,Ferme Liégeoise SENC.,"ALBANEL, QC G8M 3L7",8431-General farm workers,1
,,Ferme Lise Charbonneau inc.,"SAINT-ROCH-OUEST, QC J0K 3H0",8431-General farm workers,8
,,Ferme Louis Gosselin inc.,"Saint-Laurent-de-l'Île-d'Orléans, QC G0A 3Z0",8431-General farm workers,38
,,Ferme Louis&Francine Charbonneau s.e.n.c.,"St-Eustache, QC J7R 0E2",8432-Nursery and greenhouse workers,3
,,Ferme Lubéric inc.,"Rivière-Ouelle, QC G0L 2C0",8431-General farm workers,1
,,FERME LUDGINE INC.,"LAC-DROLET, QC G0Y 1C0",8431-General farm workers,2
,,Ferme Lunick Inc.,"St-Eugène-de-Guigues, QC J0Z 3L0",8431-General farm workers,2
,,Ferme M. et G. L'Heureux inc.,"Saint-Henri, QC G0R 3E0",8431-General farm workers,3
,,Ferme M.G. Proulx Inc.,"St-Placide, QC J0V 2B0",8431-General farm workers,2
,,Ferme Malegi & Fils inc.,"SAINT-JOSEPH-DES-ÉRABLES, QC G0S 2V0",8431-General farm workers,1
,,Ferme Mapi inc.,"Franklin, QC J0S 1E0",8431-General farm workers,2
,,Ferme Maraîchère A. Guinois & Fils Inc.,"St-Jacques-le-Mineur, QC J0J 1Z0",8431-General farm workers,24
,,Ferme Marcel Blais et Famille Inc,"LA PATRIE, QC J0B 1Y0",8431-General farm workers,1
,,Ferme Marcel Nadeau et Frères Inc,"St-Bernard, QC G0S 2G0",8431-General farm workers,1
,,Ferme Marcoutin Inc,"Ste-Marie, QC G6E 3A8",8431-General farm workers,1
,,Ferme Marichon,"ST-JEAN-PORT-JOLI, QC G0R 3G0",8431-General farm workers,1
,,Ferme Massi Inc.,"Shawinigan, QC G9T 5K5",8431-General farm workers,2
,,Ferme Michel & Normand Piché Inc.,"Cap-Santé, QC G0A 1L0",8431-General farm workers,5
,,Ferme Michel Cossette inc,"Saint-Narcisse, QC G0X 2Y0",8431-General farm workers,1
,,Ferme Michel et Matthieu Cloutier inc.,"Coaticook, QC J1A 2S2",8431-General farm workers,5
,,Ferme Michel Pouliot Inc.,"Albanel, QC G8M 3L3",8431-General farm workers,2
,,Ferme Mondou et Robert inc.,"LORRAINVILLE, QC J0Z 2R0",8431-General farm workers,2
,,Ferme Nadeau 2006 inc.,"Laurierville, QC G0S 1P0",8431-General farm workers,2
,,Ferme Nauly 2001 inc.,"Tingwick, QC J0A 1L0",8431-General farm workers,1
,,FERME NIC ET PIC inc,"SAINT-ZÉPHIRIN-DE-COURVAL, QC J0G 1V0",8431-General farm workers,1
,,Ferme Noël Fortin & Fils Inc.,"St-Bernard, QC G0S 2G0",8431-General farm workers,3
,,Ferme Norlou inc.,"St-Luc-de-Vincennes, QC G0X 3K0",8431-General farm workers,1
,,Ferme Olympe inc.,"Ste-Brigitte-des-Saults, QC J0C 1E0",8431-General farm workers,3
