"Employers Who Were Issued a Positive Labour Market Impact Assessment (LMIA) by Program Stream, National Occupational Classification (NOC) 2011 and Business Location, January to March 2020",,,,, 
Province/Territory,Program Stream,Employer ,Address,Occupation,Approved Positions 
Quebec,  Primary Agriculture,Techni-Veaux Inc.,"FORTIERVILLE, G0S 1J0",8431-General farm workers,1
Quebec,  Primary Agriculture,Tembris Inc,"NOTRE-DAME-DU-NORD, J0Z3B0",8431-General farm workers,2
Quebec,  Primary Agriculture,Terrassement Goupil Inc.,"PINTENDRE, G6C1P9",8432-Nursery and greenhouse workers,5
Quebec,  Primary Agriculture,Terre Ferme (La),"Sainte-Julienne, J0K2T0",8431-General farm workers,2
Quebec,  Primary Agriculture,Théorêt et Fils Maître Maraîcher Inc.,"Ile-Bizard, H9E1K3",8431-General farm workers,6
Quebec,  Primary Agriculture,Tourbière Lavigne S.E.N.C.,"Mirabel, J7N2Y7",8431-General farm workers,1
Quebec,  Primary Agriculture,Trans Porcité Inc.,"SAINT-ELZÉAR, G0S2J1",8431-General farm workers,1
Quebec,  Primary Agriculture,Transvol ltée,"St-Charles-De-Bellechasse, G0R2T0",8431-General farm workers,50
Quebec,  Primary Agriculture,Ty-D Holsteins Inc,"CAP-SANTÉ, G0A1L0",8431-General farm workers,1
Quebec,  Primary Agriculture,Union Libre cidre et vin Inc.,"DUNHAM, J0E1M0",8431-General farm workers,1
Quebec,  Primary Agriculture,V.G. Culture inc.,"Sainte-Clotilde, J0L1W0",8431-General farm workers,5
Quebec,  Primary Agriculture,Val des Rosacées SENC,"Mirabel, J7N 2P7",8431-General farm workers,3
Quebec,  Primary Agriculture,Vallée des Prairies Inc.,"Saint-François-de-la-Rivière-du-Sud, G0R3A0",8432-Nursery and greenhouse workers,2
Quebec,  Primary Agriculture,Verger Caron Inc.,"FRELIGHSBURG, J0J1C0",8431-General farm workers,60
Quebec,  Primary Agriculture,Verger Choquette Inc,"Ange Gardien, J0E1E0",8431-General farm workers,3
Quebec,  Primary Agriculture,Verger Coeur de Pomme Senc.,"Oka, J0N1E0",8431-General farm workers,4
Quebec,  Primary Agriculture,Verger des Horizons Inc,"Warwick, J0A1M0",8431-General farm workers,10
Quebec,  Primary Agriculture,Verger du père de la fraise,"Saint-Paul-d'Abbotsford, J0E1A0",8431-General farm workers,14
Quebec,  Primary Agriculture,Verger Gibouleau Inc.,"Laval, H7J1A3",8431-General farm workers,9
Quebec,  Primary Agriculture,Verger Henryville senc,"HENRYVILLE, J0J1E0",8431-General farm workers,1
Quebec,  Primary Agriculture,Verger Lacroix Inc.,"Saint-Joseph-du-Lac, J0N1M0",8431-General farm workers,10
Quebec,  Primary Agriculture,Verger Maïa Inc.,"Saint-Joseph-du-Lac, J0N1M0",8431-General farm workers,5
Quebec,  Primary Agriculture,Verger Mico SENC.,"Saint-Joseph-du-Lac, J0N1M0",8431-General farm workers,8
Quebec,  Primary Agriculture,Verger Nicolet Inc.,"Grand St-Esprit, J0G 1B0",8431-General farm workers,6
Quebec,  Primary Agriculture,Verger R et J Bouchard inc.,"Saint-Paul-d'Abbotsford, J0E1A0",8431-General farm workers,14
Quebec,  Primary Agriculture,Verger Thomson inc.,"ST-PAUL-D'ABBOTSFORD, J0E1A0",8431-General farm workers,29
Quebec,  Primary Agriculture,Vergers DM Boileau inc,"HAVELOCK, J0S2C0",8431-General farm workers,18
Quebec,  Primary Agriculture,Vergers du Lac SENC,"Saint-Joseph-du-Lac, J0N1M0",8431-General farm workers,14
Quebec,  Primary Agriculture,Vergers et Jardins Caouette SENC,"L'ISLET, G0R1X0",8431-General farm workers,1
Quebec,  Primary Agriculture,Vergers Paul Jodoin Inc.,"St-Jean-Baptiste, J0L2B0",8431-General farm workers,12
Quebec,  Primary Agriculture,Vergers Pierre Tremblay et Fils Inc.,"MONT-SAINT-GRÉGOIRE, J0J 1K0",8431-General farm workers,9
Quebec,  Primary Agriculture,Vergers Rochon Inc.,"Mirabel, J7N2R9",8431-General farm workers,10
Quebec,  Primary Agriculture,Vergers Stevenson inc.,"Franklin, J0S1E0",8431-General farm workers,30
Quebec,  Primary Agriculture,Vert Nature inc,"SHERRINGTON, J0L2N0",8431-General farm workers,10
Quebec,  Primary Agriculture,Victoire et Michel Palardy,"Sainte-Madeleine, J0H1S0",8431-General farm workers,3
Quebec,  Primary Agriculture,vieux saule holstein inc.,"SAINT-ESPRIT, J0K2L0",8431-General farm workers,2
Quebec,  Primary Agriculture,Vignoble Camy Inc.,"Saint-Bernard-de-Lacolle, J0J1V0",8431-General farm workers,4
Quebec,  Primary Agriculture,Vignoble du Ruisseau,"DUNHAM, J0E1M0",8431-General farm workers,8
Quebec,  Primary Agriculture,Vignoble Gagliano Inc,"DUNHAM, J0E1M0",8431-General farm workers,3
Quebec,  Primary Agriculture,Vignoble Kobloth et Fils Inc.,"Saint-Bruno-de-Montarville, J3V0L8",8431-General farm workers,1
Quebec,  Primary Agriculture,Vignoble le Cep d'Argent,"Magog, J1X3W5",8431-General farm workers,5
Quebec,  Primary Agriculture,Vignoble Saint-Armand Inc.,"SAINT-ARMAND, J0J1T0",8431-General farm workers,9
Quebec,  Primary Agriculture,Vivaces Marie Michel Inc.,"SAINT- CONSTANT, J5A 2E7",8432-Nursery and greenhouse workers,1
Quebec, Global Talent Stream,10063908 Canada inc.,"MONTRÉAL, H3B1H9",2173-Software engineers and designers,1
Quebec, Global Talent Stream,10148636 Canada Inc,"Boucherville, J4B7T9",2174-Computer programmers and interactive media developers,7
Quebec, Global Talent Stream,10148636 Canada Inc,"Boucherville, J4B7T9",2283-Information systems testing technicians,6
Quebec, Global Talent Stream,2dev inc.,"MONTRÉAL, H4C2C7",2174-Computer programmers and interactive media developers,2
Quebec, Global Talent Stream,4355768 Canada Inc. (Crak Media),"Québec, G1K8G3",2175-Web designers and developers,3
Quebec, Global Talent Stream,6362222 Canada Inc,"Montréal, H3E3B3",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,7900490 Canada Inc.,"WAKEFIELD, J0X3G0",3113-Dentists,1
Quebec, Global Talent Stream,9082-5902 Québec inc.,"Chapais, G0W1H0",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,9178-8877 Québec Inc.,"Montréal, H1M2S5",2173-Software engineers and designers,1
Quebec, Global Talent Stream,9208-3401 Québec inc.,"Québec, G2J0C4",2174-Computer programmers and interactive media developers,3
Quebec, Global Talent Stream,9208-3401 Québec inc.,"Québec, G2J0C4",2175-Web designers and developers,1
Quebec, Global Talent Stream,9245-1855 Québec inc.,"MONTRÉAL, H3B1A7",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,9357-9811 Québec Inc,"Laval, H7L4Z7",2132-Mechanical engineers,1
Quebec, Global Talent Stream,9384-1914 Québec Inc.,"MONTRÉAL, H3A1R9",2171-Information systems analysts and consultants,3
Quebec, Global Talent Stream,Adglobe Canada Inc.,"Montréal, H3B 0G4",5241-Graphic designers and illustrators,1
Quebec, Global Talent Stream,Adnia Conseils Inc,"Québec, G1N4G2",2171-Information systems analysts and consultants,2
Quebec, Global Talent Stream,Agence du revenu du Québec,"Québec, G1X4A5",2147-Computer engineers (except software engineers and designers),1
Quebec, Global Talent Stream,Agence du revenu du Québec,"Québec, G1X4A5",2171-Information systems analysts and consultants,27
Quebec, Global Talent Stream,Agence du revenu du Québec,"Québec, G1X4A5",2172-Database analysts and data administrators,3
Quebec, Global Talent Stream,Agence du revenu du Québec,"Québec, G1X4A5",2173-Software engineers and designers,2
Quebec, Global Talent Stream,AKKA Group North America Inc.,"Montréal, H3A2W5",2173-Software engineers and designers,1
Quebec, Global Talent Stream,Algolux Inc.,"Montreal, H3K1G6",2173-Software engineers and designers,1
Quebec, Global Talent Stream,Alithya Canada Inc.,"Montréal, H3B5M2",2171-Information systems analysts and consultants,2
Quebec, Global Talent Stream,Alogient Inc.,"MONTRÉAL, H3B1H9",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,ALTEN Canada Inc.,"Montréal, H3B4N4",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,ALTEN Canada Inc.,"Montréal, H3B4N4",2174-Computer programmers and interactive media developers,2
Quebec, Global Talent Stream,Amaris Conseil Inc,"Montréal, H2Y2W8",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Animation Squeeze Studio inc.,"QUÉBEC, G1K3J3","5131-Producers, directors, choreographers and related occupations",1
Quebec, Global Talent Stream,Animation Squeeze Studio inc.,"QUÉBEC, G1K3J3",5241-Graphic designers and illustrators,1
Quebec, Global Talent Stream,ArcelorMittal Exploitation Minière Canada S.E.N.C.,"MONTRÉAL, H3A2S9","0016-Senior managers - construction, transportation, production and utilities",1
Quebec, Global Talent Stream,Artistes Folks Inc,"Montréal, H2H 1T7",5241-Graphic designers and illustrators,1
Quebec, Global Talent Stream,ASTEK Canada Inc.,"Montréal, H2Y1M6",2172-Database analysts and data administrators,1
Quebec, Global Talent Stream,ASTEK Canada Inc.,"Montréal, H2Y1M6",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,Astucemedia Inc.,"Montreal, H3C5X5","5131-Producers, directors, choreographers and related occupations",1
Quebec, Global Talent Stream,Atomic Fiction Canada Inc.,"MONTRÉAL, H3A2J5",5241-Graphic designers and illustrators,4
Quebec, Global Talent Stream,Bastos du Canada Ltée,"Louisville, J5V0A7",0911-Manufacturing managers,1
Quebec, Global Talent Stream,Beenox inc.,"Quebec, G1K3H3",2174-Computer programmers and interactive media developers,2
Quebec, Global Talent Stream,Beenox inc.,"Quebec, G1K3H3","5131-Producers, directors, choreographers and related occupations",1
Quebec, Global Talent Stream,Beenox inc.,"Quebec, G1K3H3",5241-Graphic designers and illustrators,1
Quebec, Global Talent Stream,Behaviour Interactive Inc.,"MONTRÉAL, H2S3H1",2174-Computer programmers and interactive media developers,2
Quebec, Global Talent Stream,Behavox Software (Canada) Inc.,"Montreal, H3A3G4",0213-Computer and information systems managers,1
Quebec, Global Talent Stream,Bioastra Technologies inc.,"Montréal, H4P2R2",2134-Chemical engineers,1
Quebec, Global Talent Stream,Busbud Inc,"MONTRÉAL, H2T1X6",2175-Web designers and developers,2
Quebec, Global Talent Stream,CGI Information Systems & Management Consultants Inc.,"Montreal, H3G1T4",2171-Information systems analysts and consultants,8
Quebec, Global Talent Stream,CGI Information Systems & Management Consultants Inc.,"Montreal, H3G1T4",2172-Database analysts and data administrators,1
Quebec, Global Talent Stream,CGI Information Systems & Management Consultants Inc.,"Montreal, H3G1T4",2173-Software engineers and designers,1
Quebec, Global Talent Stream,CGI Information Systems & Management Consultants Inc.,"Montreal, H3G1T4",2174-Computer programmers and interactive media developers,2
Quebec, Global Talent Stream,Chrome Inc.,"Montréal, H3B0E5",2173-Software engineers and designers,1
Quebec, Global Talent Stream,Ciao Technologies Inc,"QUÉBEC, G1W2R2",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Ciao Technologies Inc,"QUÉBEC, G1W2R3",2174-Computer programmers and interactive media developers,2
Quebec, Global Talent Stream,Cinesite Inc.,"MONTRÉAL, H2Y0A3",2173-Software engineers and designers,2
Quebec, Global Talent Stream,Cinesite Inc.,"MONTRÉAL, H2Y0A3","5131-Producers, directors, choreographers and related occupations",2
Quebec, Global Talent Stream,Cinesite Inc.,"MONTRÉAL, H2Y0A3",5241-Graphic designers and illustrators,3
Quebec, Global Talent Stream,COFOMO DÉVELOPPEMENT INC.,"Montréal, H3B4W5",2171-Information systems analysts and consultants,6
Quebec, Global Talent Stream,COFOMO DÉVELOPPEMENT INC.,"Montréal, H3B4W5",2173-Software engineers and designers,1
Quebec, Global Talent Stream,COFOMO DÉVELOPPEMENT INC.,"Montréal, H3B4W5",2174-Computer programmers and interactive media developers,9
Quebec, Global Talent Stream,Commerce International Chuyiyu inc.,"Pointe-Claire, H9R5N2",2173-Software engineers and designers,1
Quebec, Global Talent Stream,Compulsion Games Inc.,"Montreal, H4C2Z6",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,Concept Zenit Inc.,"BROSSARD, J4X1H9",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,Conseillers en gestion et informatique CGI Inc.,"Montreal, H3G1T4",0213-Computer and information systems managers,8
Quebec, Global Talent Stream,Conseillers en gestion et informatique CGI Inc.,"Montreal, H3G1T4",2171-Information systems analysts and consultants,21
Quebec, Global Talent Stream,Conseillers en gestion et informatique CGI Inc.,"Montreal, H3G1T4",2172-Database analysts and data administrators,5
Quebec, Global Talent Stream,Conseillers en gestion et informatique CGI Inc.,"Montreal, H3G1T4",2173-Software engineers and designers,1
Quebec, Global Talent Stream,Conseillers en gestion et informatique CGI Inc.,"Montreal, H3G1T4",2174-Computer programmers and interactive media developers,29
Quebec, Global Talent Stream,Conseillers en gestion et informatique CGI Inc.,"Montreal, H3G1T4",2175-Web designers and developers,9
Quebec, Global Talent Stream,Conseillers en gestion et informatique CGI Inc.,"Montreal, H3G1T4",2283-Information systems testing technicians,1
Quebec, Global Talent Stream,Copper Scroll Conseil Inc.,"Montréal, H2V2X9",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Corporation Interactive Eidos,"Montréal, H3A1L4",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,Corporation Interactive Eidos,"Montréal, H3A1L4",5241-Graphic designers and illustrators,2
Quebec, Global Talent Stream,Cossette Numérique Inc.,"MONTRÉAL, H3G1X1",2175-Web designers and developers,1
Quebec, Global Talent Stream,Coveo Solutions Inc.,"Québec, G1W2K7",2173-Software engineers and designers,1
Quebec, Global Talent Stream,Coveo Solutions Inc.,"Québec, G1W2K7",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,Current Lighting Solutions Canada Inc.,"Lachine, H8T3M6",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Digital Domain Productions Québec Ltd.,"MONTRÉAL, H2T1A8",5241-Graphic designers and illustrators,12
Quebec, Global Talent Stream,Direxyon Technologies Inc,"Montréal, H2Z1B1",2174-Computer programmers and interactive media developers,2
Quebec, Global Talent Stream,Drakya inc.,"Laval, H7L0G5",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,Dynacom Technologies inc.,"Laval, H7L5E3",2175-Web designers and developers,1
Quebec, Global Talent Stream,Egyde Conseils Inc.,"QUÉBEC, G1N4H9",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Element 54 Inc.,"Westmount, H3Z 2M6",2172-Database analysts and data administrators,1
Quebec, Global Talent Stream,Élément AI Inc,"MONTRÉAL, H2S3G9",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,En Toute Confiance Inc.,"MONTRÉAL, H2Z2B9",2171-Information systems analysts and consultants,3
Quebec, Global Talent Stream,Entreprises Nolk Inc.,"Saint-Bruno-de-Montarville, J3V0B3",2173-Software engineers and designers,1
Quebec, Global Talent Stream,Équipements Frontmatec inc.,"St-Anselme, G0R2N0",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,ESET Canada Recherche Inc.,"Montréal, H3B1B1",2171-Information systems analysts and consultants,2
Quebec, Global Talent Stream,Expertus Technologies Inc.,"Montréal, H3A1V4",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,Explorance inc.,"Montreal, H3A1T1",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,Ezo Inc.,"Québec, G2L1X1",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,Fluent Inc.,"Montréal, H3G 2E3",2175-Web designers and developers,1
Quebec, Global Talent Stream,GDG Info Inc.,"QUÉBEC, G1K9C5",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Gestisoft Inc.,"MONTRÉAL, H3C2M7",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Gestisoft Inc.,"MONTRÉAL, H3C2M7",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,GFT Technologies Canada Inc.,"Québec, G1W0E8",0213-Computer and information systems managers,1
Quebec, Global Talent Stream,GFT Technologies Canada Inc.,"Québec, G1W0E8",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,GFT Technologies Canada Inc.,"Québec, G1W0E8",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,Groupe Askida Inc.,"Montréal, H2Y2P5",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Groupe Conseil Era Inc.,"VERDUN, H3E1J4",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Groupe CT,"Laval, H1C 2T8",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,Groupe In-RGY Consultation Inc,"MONTRÉAL, H2Y1Y3",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Groupe Metalogique Inc.,"QUÉBEC, G2K2H6",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Groupe Metalogique Inc.,"QUÉBEC, G2K2H7",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,Groupe Nexio Inc.,"MONTRÉAL, H3A2J5",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,Groupe Technologies Desjardins inc.,"Montréal, H5B1B2",2171-Information systems analysts and consultants,17
Quebec, Global Talent Stream,Groupe Technologies Desjardins inc.,"Montréal, H5B1B2",2174-Computer programmers and interactive media developers,3
Quebec, Global Talent Stream,Groupe Voxco Inc.,"Montréal, H3G1R8","0013-Senior managers - financial, communications and other business services",1
Quebec, Global Talent Stream,HGC Technologies Inc,"Montréal, H3A3H3",2171-Information systems analysts and consultants,2
Quebec, Global Talent Stream,HGC Technologies Inc,"Montréal, H3A3H3",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,Hopper Inc.,"Montréal, H2S2X3",2173-Software engineers and designers,1
Quebec, Global Talent Stream,Hyasynth Biologicals Inc,"Montréal, H2X1Y4","0013-Senior managers - financial, communications and other business services",1
Quebec, Global Talent Stream,iBwave Solutions Inc,"Saint-Laurent, H4N3L4","0013-Senior managers - financial, communications and other business services",1
Quebec, Global Talent Stream,IEG Data Processing Consultants Inc.,"Montréal, H4N 2L3",2174-Computer programmers and interactive media developers,2
Quebec, Global Talent Stream,Innovatus Capital Partners (Canada) Ltd.,"Montreal, H3B1A6",1112-Financial and investment analysts,1
Quebec, Global Talent Stream,Inossem Canada Inc.,"BEACONSFIELD, H9W2V7",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Institut Québécois d'Intelligence Artificielle,"MONTRÉAL, H2S3H1",2173-Software engineers and designers,1
Quebec, Global Talent Stream,Izonesolutionsmetrix.com Inc.,"Montreal, H2T3B3",2174-Computer programmers and interactive media developers,2
Quebec, Global Talent Stream,Jeux Mino Inc.,"MONTRÉAL, H3A2G4",2172-Database analysts and data administrators,2
Quebec, Global Talent Stream,Jeux Mino Inc.,"MONTRÉAL, H3A2G4",2173-Software engineers and designers,1
Quebec, Global Talent Stream,Kaloom Inc,"Montreal, H3C2G9",2173-Software engineers and designers,1
Quebec, Global Talent Stream,Klanik Canada Inc.,"MONTRÉAL, H3B2E3",2173-Software engineers and designers,1
Quebec, Global Talent Stream,Labarre Gauthier Inc,"MONTRÉAL, H2X2T7",2175-Web designers and developers,1
Quebec, Global Talent Stream,Larian Québec Inc.,"Québec, G1K3C7",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,Larian Québec Inc.,"Québec, G1K3C7","5131-Producers, directors, choreographers and related occupations",1
Quebec, Global Talent Stream,Larochelle Groupe Conseil Inc.,"Montréal, H3B2N2",2171-Information systems analysts and consultants,5
Quebec, Global Talent Stream,Les Applications Mobiles Agyl Inc.,"QUÉBEC, G1K3J3",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,Les Entreprises DBM Reflex Inc.,"Laval, H7L5C7","0013-Senior managers - financial, communications and other business services",1
Quebec, Global Talent Stream,LES LABORATOIRES INTERDATA INC,"MONTREAL, H2S1R4",2173-Software engineers and designers,1
Quebec, Global Talent Stream,Les services conseils ABNA inc,"Québec, G1V2M2",0213-Computer and information systems managers,1
Quebec, Global Talent Stream,Les services conseils ABNA inc,"Québec, G1V2M2",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Les Solutions OpsLock Canada Inc.,"Montréal, H2T 2A4",0601-Corporate sales managers,1
Quebec, Global Talent Stream,Les systèmes médicaux Intelerad Inc.,"MONTRÉAL, H2L4L8",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,Levio Conseils Inc.,"QUÉBEC, G1W0C4",2171-Information systems analysts and consultants,16
Quebec, Global Talent Stream,Levio Conseils Inc.,"QUÉBEC, G1W0C4",2174-Computer programmers and interactive media developers,10
Quebec, Global Talent Stream,LOGICIEL LAVASOFT CANADA INC.,"Ville Saint-Laurent, H4A2Z2",2173-Software engineers and designers,1
Quebec, Global Talent Stream,LOGICIEL LAVASOFT CANADA INC.,"Ville Saint-Laurent, H4A2Z2",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,Logiciels Etiya Canada Inc.,"MONTRÉAL, H3B2E3",0213-Computer and information systems managers,1
Quebec, Global Talent Stream,Ludia inc,"Montreal, H2Y2P5",2172-Database analysts and data administrators,1
Quebec, Global Talent Stream,Maltem Canada inc.,"Montreal, H3B2E3",2171-Information systems analysts and consultants,2
Quebec, Global Talent Stream,MELS Studios et Postproduction s.e.n.c.,"Montréal, H2L4P2","5131-Producers, directors, choreographers and related occupations",1
Quebec, Global Talent Stream,Modulus Data Inc.,"LÉVIS, G6V3P5",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Modulus Data Inc.,"LÉVIS, G6V3P5",2173-Software engineers and designers,1
Quebec, Global Talent Stream,Momentum Technologies inc.,"Québec, G2J0B9",2171-Information systems analysts and consultants,3
Quebec, Global Talent Stream,Momentum Technologies inc.,"Québec, G2J0B9",2172-Database analysts and data administrators,1
Quebec, Global Talent Stream,Momentum Technologies inc.,"Québec, G2J0B9",2173-Software engineers and designers,1
Quebec, Global Talent Stream,Momentum Technologies inc.,"Québec, G2J0B9",2174-Computer programmers and interactive media developers,4
Quebec, Global Talent Stream,Myca Santé Inc.,"Québec, G1P0A4",2175-Web designers and developers,1
Quebec, Global Talent Stream,Néosoft Technologies inc.,"Québec, G3K2P6",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,Novaquark Inc.,"Montréal, H3B1K9",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,Noviflow Inc.,"Montréal, H4C2K1",2173-Software engineers and designers,1
Quebec, Global Talent Stream,OCTOSAFES Inc,"Québec, G2E2G2",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Orthosoft ULC,"MONTRÉAL, H3C2N6",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,"OSF Global Services, Inc","Quebec, G2K2H6",2173-Software engineers and designers,1
Quebec, Global Talent Stream,Planbox Inc.,"Laval, H7L4S4",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,Plusgrade Solutions ULC,"Montréal, H3A 2M8",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Processia Solutions Canada Inc.,"Laval, H7T2Z5",2173-Software engineers and designers,1
Quebec, Global Talent Stream,Productions Double Negative Montreal Ltee,"Montreal, H2Y1A6","5131-Producers, directors, choreographers and related occupations",2
Quebec, Global Talent Stream,Productions Double Negative Montreal Ltee,"Montreal, H2Y1A6",5241-Graphic designers and illustrators,40
Quebec, Global Talent Stream,Pureload Software Canada Inc.,"Saint-Pie, J0H1W0",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,QSL Canada Inc.,"Montreal, H3A2S9",0714-Facility operation and maintenance managers,1
Quebec, Global Talent Stream,Quantum Mob Inc.,"Montreal, H3W1J1",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Raymond Chabot Grant Thornton Administration S.E.N.C.,"MONTRÉAL, H3B4L8",0125-Other business services managers,1
Quebec, Global Talent Stream,Raymond Chabot Grant Thornton Administration S.E.N.C.,"MONTRÉAL, H3B4L8",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Recherche en extrusion Dienamex,"Saint Eustache, J7R 0L3",7232-Tool and die makers,1
Quebec, Global Talent Stream,REDEFINE FX LTD.,"MONTRÉAL, H2Y1A6",5241-Graphic designers and illustrators,5
Quebec, Global Talent Stream,Rodéo FX Inc.,"MONTRÉAL, H3C2M6",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,Rodéo FX Inc.,"MONTRÉAL, H3C2M6",5241-Graphic designers and illustrators,13
Quebec, Global Talent Stream,Savoir-Faire Linux Inc.,"Montréal, H2R2Y5",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Scanline VFX Montreal Inc.,"MONTRÉAL, H3B2S2",5241-Graphic designers and illustrators,17
Quebec, Global Talent Stream,Serti Informatique Inc.,"Montréal, H1J2S5",2175-Web designers and developers,1
Quebec, Global Talent Stream,Services Appwapp inc.,"Montréal, H4C2E1",2175-Web designers and developers,1
Quebec, Global Talent Stream,Société Conseil Groupe LGS,"Québec, G1V4K5",2147-Computer engineers (except software engineers and designers),1
Quebec, Global Talent Stream,Société Conseil Groupe LGS,"Québec, G1V4K5",2171-Information systems analysts and consultants,3
Quebec, Global Talent Stream,Société Conseil Groupe LGS,"Québec, G1V4K5",2174-Computer programmers and interactive media developers,7
Quebec, Global Talent Stream,Société de Conseil en Informatique Agylis Canada Inc.,"Montréal, H2Y1W8",0213-Computer and information systems managers,1
Quebec, Global Talent Stream,Solutions Beyond Technologies,"MONTRÉAL, H3C 2M1",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,Solutions XPR inc.,"Québec, G1G4X4",2173-Software engineers and designers,1
Quebec, Global Talent Stream,SpaceBridge Inc.,"Saint-Laurent, H4T1E3",0213-Computer and information systems managers,1
Quebec, Global Talent Stream,Spark Microsystems International Inc.,"Montréal, H3C4J1","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
Quebec, Global Talent Stream,Spiria Digital inc.,"Montréal, H2R2X1",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,Stradigi AI Inc.,"MONTRÉAL, H3A1T1",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Stradigi AI Inc.,"MONTRÉAL, H3A1T1",2173-Software engineers and designers,1
Quebec, Global Talent Stream,Stradigi AI Inc.,"MONTRÉAL, H3A1T1",2174-Computer programmers and interactive media developers,2
Quebec, Global Talent Stream,Studios Framestore Inc.,"Montréal, H2T3B3",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,Studios Framestore Inc.,"Montréal, H2T3B3",5241-Graphic designers and illustrators,11
Quebec, Global Talent Stream,SweetIQ Analytics Corp.,"MONTRÉAL, H3B2S2",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,Systèmes Wise Canada Inc.,"Montrèal, H2Y3X7",2173-Software engineers and designers,1
Quebec, Global Talent Stream,TandemLaunch Inc.,"Montreal, H4C2K1",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,"Technicolor Canada, Inc. et ses divisions","MONTRÉAL, H3C1T2","5131-Producers, directors, choreographers and related occupations",1
Quebec, Global Talent Stream,Technologies AdGear Inc.,"MONTRÉAL, H2Y2H2",2173-Software engineers and designers,1
Quebec, Global Talent Stream,Technologies Expretio Inc.,"MONTRÉAL, H2W1Z5",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Technologies Plotly Inc.,"Montréal, H2T2A3",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,Technology Evaluation Centers Inc.,"LONGUEUIL, J4K5B1",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Technology Evaluation Centers Inc.,"LONGUEUIL, J4K5B1",2175-Web designers and developers,1
